Samplenr,Seedlingnr,Plot,Record,Date,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
1.01.2,1.01,1,2,September_2015,D.glaucifolia,1,Light,0,43.9,43.9,23,15,0,2,,
1.01.0,1.01,1,0,July_2015,D.glaucifolia,1,Light,0,15.2,,10,,,,,
1.01.1,1.01,1,1,August_2015,D.glaucifolia,1,Light,0,,35.2,17,,,,,
1.01.3,1.01,1,3,September_2016,D.glaucifolia,1,Light,0,162,,136,136,,30,138.04,66.13
2.01.0,2.01,2,0,July_2015,C.glauca,4,Shadow,0,14.6,,1,,,,,
2.01.2,2.01,2,2,September_2015,C.glauca,4,Shadow,0,11,12.5,3,1,1,0.5,,
2.01.1,2.01,2,1,August_2015,C.glauca,4,Shadow,0,,13.5,0,,,,,
2.01.3,2.01,2,3,September_2016,C.glauca,4,Shadow,1,,,,,,,,
2.02.0,2.02,2,0,July_2015,C.glauca,4,Shadow,0,19.2,,5,,,,,
2.02.2,2.02,2,2,September_2015,C.glauca,4,Shadow,1,0,,0,0,3,,,
2.02.3,2.02,2,3,September_2016,C.glauca,4,Shadow,1,,,,,,,,
2.02.1,2.02,2,1,August_2015,C.glauca,4,Shadow,0,,19.1,5,,,,,
2.03.0,2.03,2,0,July_2015,C.glauca,4,Shadow,0,12.7,,2,,,,,
2.03.3,2.03,2,3,September_2016,C.glauca,4,Shadow,0,22.5,,5,5,,15,0.66,0.34
2.03.2,2.03,2,2,September_2015,C.glauca,4,Shadow,0,20.8,20.8,5,0,0,0.1,,
2.03.1,2.03,2,1,August_2015,C.glauca,4,Shadow,1,,,,,,,,
2.04.3,2.04,2,3,September_2016,C.glauca,4,Shadow,1,,,,,,,,
2.04.0,2.04,2,0,July_2015,C.glauca,4,Shadow,0,10,,1,,,,,
2.04.2,2.04,2,2,September_2015,C.glauca,4,Shadow,1,0,,0,0,2,,,
2.04.1,2.04,2,1,August_2015,C.glauca,4,Shadow,0,,10.6,1,,,,,
3.01.3,3.01,3,3,September_2016,L.glaber,4,Light,1,,,,,,,,
3.01.0,3.01,3,0,July_2015,L.glaber,4,Light,0,16.3,,3,,,,,
3.01.2,3.01,3,2,September_2015,L.glaber,4,Light,0,19.9,19.9,0,0,8,,,
3.01.1,3.01,3,1,August_2015,L.glaber,4,Light,0,,17.3,0,,,,,
3.02.0,3.02,3,0,July_2015,L.glaber,4,Light,0,14.6,,3,,,,,
3.02.2,3.02,3,2,September_2015,L.glaber,4,Light,1,0,,0,0,0,,,
3.02.3,3.02,3,3,September_2016,L.glaber,4,Light,1,,,,,,,,
3.02.1,3.02,3,1,August_2015,L.glaber,4,Light,0,,14.4,0,,,,,
3.03.0,3.03,3,0,July_2015,L.glaber,4,Light,0,16.1,,1,,,,,
3.03.3,3.03,3,3,September_2016,L.glaber,4,Light,1,,,,,,,,
3.03.2,3.03,3,2,September_2015,L.glaber,4,Light,0,11.7,11.7,0,0,3,,,
3.03.1,3.03,3,1,August_2015,L.glaber,4,Light,0,,9.7,0,,,,,
3.04.3,3.04,3,3,September_2016,L.glaber,4,Light,1,,,,,,,,
3.04.0,3.04,3,0,July_2015,L.glaber,4,Light,0,18.4,,8,,,,,
3.04.2,3.04,3,2,September_2015,L.glaber,4,Light,0,17.2,17.2,0,0,0,,,
3.04.1,3.04,3,1,August_2015,L.glaber,4,Light,0,,17.8,0,,,,,
4.01.3,4.01,4,3,September_2016,D.glaucifolia,4,Shadow,1,,,,,,,,
4.01.0,4.01,4,0,July_2015,D.glaucifolia,4,Shadow,1,,,,,,,,
4.01.2,4.01,4,2,September_2015,D.glaucifolia,4,Shadow,0,17.6,17.6,2,2,1,80,,
4.01.1,4.01,4,1,August_2015,D.glaucifolia,4,Shadow,1,,,,,,,,
4.02.0,4.02,4,0,July_2015,D.glaucifolia,4,Shadow,0,14.2,,6,,,,,
4.02.2,4.02,4,2,September_2015,D.glaucifolia,4,Shadow,0,15,15,11,11,0,3,,
4.02.3,4.02,4,3,September_2016,D.glaucifolia,4,Shadow,0,15,,3,3,,20,0.34,0.35
4.02.1,4.02,4,1,August_2015,D.glaucifolia,4,Shadow,0,,16.9,9,,,,,
