lab_num,CSP,sample_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
3378,CSP04,CSP04-S-1-1,5,4.5,3.7,0.33,5.24,< 0.05,16
3379,CSP04,CSP04-S-1-2,10,4.5,3.8,0.21,3.3,< 0.05,15.6
3380,CSP04,CSP04-S-1-3,20,4.4,3.9,0.13,1.84,< 0.05,14.6
3381,CSP04,CSP04-S-1-4,30,4.5,3.9,0.08,1.08,< 0.05,13.6
3382,CSP04,CSP04-S-1-5,40,4.5,3.9,0.06,0.76,< 0.05,11.9
3383,CSP04,CSP04-S-1-6,50,4.7,3.8,0.05,0.54,< 0.05,11.3
3385,CSP12,CSP12-S-1-1,5,4.9,3.9,0.22,4.13,< 0.05,18.8
3386,CSP12,CSP12-S-1-2,10,4.8,4,0.11,2.03,< 0.05,17.8
3387,CSP12,CSP12-S-1-3,20,4.9,4.1,0.07,1.13,< 0.05,17.2
3388,CSP12,CSP12-S-1-4,30,4.8,4,0.05,0.74,< 0.05,14.8
3389,CSP12,CSP12-S-1-5,40,4.9,4,0.04,0.42,< 0.05,10
3390,CSP12,CSP12-S-1-6,50,4.8,3.9,0.03,0.29,< 0.05,11.7
3392,CSP13,CSP13-S-1-1,5,4.7,3.9,0.12,2.33,< 0.05,19.8
3393,CSP13,CSP13-S-1-2,10,4.7,4,0.07,1.22,< 0.05,17.6
3394,CSP13,CSP13-S-1-3,20,4.6,3.9,0.05,0.79,0.05481838807463646,16.5
3395,CSP13,CSP13-S-1-4,30,4.7,3.9,0.03,0.46,< 0.05,13.9
3396,CSP13,CSP13-S-1-5,40,4.8,3.9,0.03,0.32,< 0.05,10
3397,CSP13,CSP13-S-1-6,50,4.9,3.9,<0.02,0.21,< 0.05,NA
3433,CSP01,CSP01-S-1-1,5,4.9,3.7,0.2,3.6,< 0.05,18.4
3434,CSP01,CSP01-S-1-2,10,4.8,3.8,0.12,2.09,< 0.05,17.7
3435,CSP01,CSP01-S-1-3,20,4.7,3.7,0.08,1.42,< 0.05,16.8
3436,CSP01,CSP01-S-1-4,30,4.8,3.7,0.05,0.73,< 0.05,14.1
3437,CSP01,CSP01-S-1-5,40,4.8,3.7,0.05,0.61,< 0.05,12.8
3438,CSP01,CSP01-S-1-6,50,4.5,3.6,0.04,0.42,< 0.05,10.8
3440,CSP02,CSP02-S-1-1,5,4.7,3.7,0.31,5.1,< 0.05,16.5
3441,CSP02,CSP02-S-1-2,10,4.7,3.8,0.15,2.33,< 0.05,15.2
3442,CSP02,CSP02-S-1-3,20,4.7,3.9,0.13,1.73,< 0.05,13.7
3443,CSP02,CSP02-S-1-4,30,4.8,3.8,0.08,1.14,< 0.05,13.8
3444,CSP02,CSP02-S-1-5,40,4.7,3.8,0.06,0.66,< 0.05,11.5
3445,CSP02,CSP02-S-1-6,50,4.7,3.8,0.05,0.55,< 0.05,11.1
3447,CSP05,CSP05-S-1-1,5,4.8,3.9,0.13,2.73,< 0.05,20.7
3448,CSP05,CSP05-S-1-2,10,4.8,4,0.07,1.3,< 0.05,18.3
3449,CSP05,CSP05-S-1-3,20,4.8,4,0.04,0.63,< 0.05,15.9
3450,CSP05,CSP05-S-1-4,30,4.9,4,0.04,0.49,< 0.05,13.4
3451,CSP05,CSP05-S-1-5,40,5,4,0.03,0.35,< 0.05,11
3452,CSP05,CSP05-S-1-6,50,5.1,4,0.02,0.25,< 0.05,11.5
3454,CSP08,CSP08-S-1-1,5,4.5,3.7,0.22,4.6,< 0.05,20.7
3455,CSP08,CSP08-S-1-2,10,4.6,3.8,0.13,2.5,< 0.05,19.5
3456,CSP08,CSP08-S-1-3,20,4.6,3.9,0.11,2.12,< 0.05,19.8
3457,CSP08,CSP08-S-1-4,30,4.6,3.8,0.07,1.23,< 0.05,17.4
3458,CSP08,CSP08-S-1-5,40,4.7,3.8,0.05,0.67,< 0.05,12.7
3459,CSP08,CSP08-S-1-6,50,4.7,3.8,0.04,0.61,< 0.05,15.6
3461,CSP09,CSP09-S-1-1,5,4.3,3.5,0.26,4.66,< 0.05,18.1
3462,CSP09,CSP09-S-1-2,10,4.4,3.7,0.14,2.55,< 0.05,18
3463,CSP09,CSP09-S-1-3,20,4.8,3.8,0.09,1.5,< 0.05,16.2
3464,CSP09,CSP09-S-1-4,30,4.8,3.9,0.06,1.03,< 0.05,15.9
3465,CSP09,CSP09-S-1-5,40,4.8,3.8,0.04,0.59,< 0.05,14.3
3466,CSP09,CSP09-S-1-6,50,4.9,3.8,0.03,0.42,< 0.05,12.2
3468,CSP16,CSP16-S-1-1,5,5,3.8,0.13,2.38,< 0.05,18.8
3469,CSP16,CSP16-S-1-2,10,4.9,3.8,0.09,1.67,< 0.05,19.6
3470,CSP16,CSP16-S-1-3,20,4.4,3.7,0.07,1.21,< 0.05,17.4
3471,CSP16,CSP16-S-1-4,30,4.5,3.7,0.04,0.7,< 0.05,17.1
