Age,CSP,depth,horizon,lab_num,sample_num,PLFA,Bacteria,Fungi
Medium,CSP01,0-5cm,Ah,3177,CSP01-P-1-1,22.236,19.128,2.712
Medium,CSP01,10-30cm,Ah+Bv,3179,CSP01-P-1-3,6.457999999999999,5.754,0.632
Medium,CSP01,30-50cm,Bv,3180,CSP01-P-1-4,2.558,2.324,0.224
Medium,CSP01,5-10cm,Bv+Ah,3178,CSP01-P-1-2,15.22,13.324,1.586
Old,CSP02,0-10cm,Ah,3186,CSP02-P-1-1,15.282,12.46,2.598
Old,CSP02,10-30cm,Ah+Bv,3187,CSP02-P-1-3,6.774,6.146,0.588
Old,CSP02,30-50cm,Bv,3188,CSP02-P-1-4,2.768,2.614,0.132
Old,CSP04,0-5cm,Ah,3332,CSP04-P-1-1,46.198,40.328,4.77
Old,CSP04,40-50cm,II f(Ah+Bv),3334,CSP04-P-1-3,4.058,3.644,0.35
Old,CSP04,5-40cm,M,3333,CSP04-P-1-2,15.382,13.482,1.584
Medium,CSP05,0-5cm,Ah,3337,CSP05-P-1-1,18.855999999999998,16.316,2.04
Medium,CSP05,10-30cm,II Ah+Al-Bv,3339,CSP05-P-1-3,4.827999999999999,4.388,0.42
Medium,CSP05,30-50cm,III Bt,3340,CSP05-P-1-4,4.372,3.952,0.42
Medium,CSP05,5-10cm,Bv+Ah,3338,CSP05-P-1-2,10.57,9.35,1.02
Medium,CSP08,0-10cm,Ah,3183,CSP08-P-1-1,30.768,26.62,3.322
Medium,CSP08,10-30cm,Ah+Bv,3184,CSP08-P-1-2,17.532,15.452,1.69
Medium,CSP08,30-50cm,ilCv+ixC,3185,CSP08-P-1-3,5.894,5.314,0.474
Medium,CSP09,0-10cm,Ah,3342,CSP09-P-1-1,23.137999999999998,20.418,2.22
Medium,CSP09,10-20cm,Ah+Bv,3343,CSP09-P-1-2,12.568,11.308,1.04
Medium,CSP09,20-30cm,Bv1,3344,CSP09-P-1-3,12.958,12.038,0.76
Medium,CSP09,30-50cm,Bv2,3345,CSP09-P-1-4,3.024,2.704,0.24
Old,CSP12,0-5cm,Ah,3347,CSP12-P-1-1,7.523999999999999,6.478,0.978
Old,CSP12,10-30cm,Bv,3349,CSP12-P-1-3,7.7860000000000005,6.948,0.682
Old,CSP12,30-50cm,II Bv,3350,CSP12-P-1-4,2.288,2.058,0.2
Old,CSP12,5-10cm,Ah+Bv,3348,CSP12-P-1-2,10.916,9.658,1.038
Old,CSP13,0-5cm,Ah,3352,CSP13-P-1-1,28.054000000000002,25.174,2.28
Old,CSP13,10-30cm,Ah+Al-Bv,3354,CSP13-P-1-3,7.337999999999999,6.558,0.64
Old,CSP13,30-50cm,II Btv,3355,CSP13-P-1-4,1.1280000000000001,1.088,0.04
Old,CSP13,5-10cm,Bv+Ah,3353,CSP13-P-1-2,16.428,14.568,1.54
Young,CSP16,0-5cm,Ah,3357,CSP16-P-1-1,42.53,37.34,4.296
Young,CSP16,20-50cm,Bv,3359,CSP16-P-1-3,4.731999999999999,4.25,0.422
Young,CSP16,5-20cm,Ah+Bv,3358,CSP16-P-1-2,19.753999999999998,17.648,1.732
Young,CSP17,0-5cm,Ah,3362,CSP17-P-1-1,32.268,28.988,2.66
Young,CSP17,20-50cm,II Bv+xC,3364,CSP17-P-1-3,4.712,4.292,0.34
Young,CSP17,5-20cm,Ah-Bv,3363,CSP17-P-1-2,16.79,14.93,1.54
Young,CSP25,0-5cm,Ah,3371,CSP25-P-1-1,28.08,24.118,3.318
Young,CSP25,10-30cm,Ah+Bv,3373,CSP25-P-1-3,9.056,8.086,0.818
Young,CSP25,30-50cm,II Bv+Cv,3374,CSP25-P-1-4,3.56,3.222,0.272
Young,CSP25,5-10cm,Bv+Ah,3372,CSP25-P-1-2,15.654,13.676,1.628
Young,CSP26,0-5cm,Ah,4491,CSP26-P-1-1,28.58,26,2.06
Young,CSP26,10-30cm,Bv-Cv(Bt),4493,CSP26-P-1-3,9.186,8.246,0.78
Young,CSP26,30-50cm,Cv,4494,CSP26-P-1-4,4.958,4.538,0.32
Young,CSP26,5-10cm,Bv+Ah-Al,4492,CSP26-P-1-2,18.47,16.19,1.84
