plot_number,PTAG,sample_num,lab_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
X13,p124130,EXPA-S-X13-1,4858,5,5.06,3.9,0.24330297112464905,3.2993035316467285,< 0.05,13.560473661279
X13,p124130,EXPA-S-X13-2,4859,10,5.04,3.87,0.21959595382213593,2.8164491653442383,< 0.05,12.82559681234132
X13,p124130,EXPA-S-X13-3,4860,20,5.01,3.87,0.16273906826972961,1.8077616691589355,< 0.05,11.108344716357145
X13,p124130,EXPA-S-X13-4,4861,30,5,3.91,0.13287310302257538,1.2240030765533447,< 0.05,9.2118197641955
X13,p124130,EXPA-S-X13-5,4862,40,4.98,3.94,0.10559971630573273,0.9572445750236511,< 0.05,9.064840404042684
X13,p124130,EXPA-S-X13-6,4863,50,5.01,3.91,0.10349428653717041,0.9241837859153748,< 0.05,8.929804889117722
L9,p112090,EXPA-S-L9-1,4864,5,5.02,3.79,0.23708193004131317,3.4664382934570312,< 0.05,14.621267394157709
L9,p112090,EXPA-S-L9-2,4865,10,4.83,3.74,0.19393683969974518,2.7531380653381348,< 0.05,14.196055115678737
L9,p112090,EXPA-S-L9-3,4866,20,4.78,3.72,0.12076269835233688,1.2392956018447876,< 0.05,10.262238412634856
L9,p112090,EXPA-S-L9-4,4867,30,4.72,3.65,0.10718715935945511,1.0080963373184204,< 0.05,9.40501029547524
L9,p112090,EXPA-S-L9-5,4868,40,4.77,3.68,0.08427246659994125,0.484271377325058,< 0.05,5.746495823173111
L9,p112090,EXPA-S-L9-6,4869,50,5.03,3.75,0.07775577902793884,0.39521512389183044,< 0.05,5.082774924675677
J7,p110070,EXPA-S-J7-1,4870,5,5.17,3.86,0.2702164947986603,3.5488057136535645,< 0.05,13.133194242260444
J7,p110070,EXPA-S-J7-2,4871,10,5,3.74,0.23180291056632996,2.8282225131988525,< 0.05,12.200979298702817
J7,p110070,EXPA-S-J7-3,4872,20,4.95,3.72,0.18417872488498688,2.089184045791626,< 0.05,11.343243075964653
J7,p110070,EXPA-S-J7-4,4873,30,4.85,3.68,0.167572021484375,1.6395219564437866,< 0.05,9.783983877026042
J7,p110070,EXPA-S-J7-5,4874,40,4.72,3.66,0.14002768695354462,1.2033902406692505,< 0.05,8.593945003665493
J7,p110070,EXPA-S-J7-6,4875,50,4.85,3.68,0.10380537807941437,0.8247181177139282,< 0.05,7.944849611577861
V16,p122160,EXPA-S-V16-1,4876,5,4.66,3.63,0.22469662129878998,3.4097180366516113,< 0.05,15.174763273888058
V16,p122160,EXPA-S-V16-2,4877,10,4.59,3.65,0.21927304565906525,3.2148497104644775,< 0.05,14.661399447440786
V16,p122160,EXPA-S-V16-3,4878,20,4.5,3.64,0.1718256026506424,2.289666175842285,< 0.05,13.325523906339257
