CSP,Trap,Species,Species_Tax,Genus,Subfamily,Individuals
CSP01,CSP01_NE,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,16
CSP01,CSP01_NE,Aphaenogaster_sp.2,Aphaenogaster sp.2,Aphaenogaster,Myrmicinae,1
CSP01,CSP01_NE,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,1
CSP01,CSP01_NE,Brachyponera_sp.1,Brachyponera sp.1,Brachyponera,Ponerinae,1
CSP01,CSP01_NE,Camponotus_friedae,Camponotus friedae,Camponotus,Formicinae,1
CSP01,CSP01_NE,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,11
CSP01,CSP01_NE,Carebara_melasolena,Carebara melasolena,Carebara,Myrmicinae,1
CSP01,CSP01_NE,Crematogaster_cf._subnuda,Crematogaster cf. subnuda,Crematogaster,Myrmicinae,1
CSP01,CSP01_NE,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,12
CSP01,CSP01_NE,Leptogenys_laozi,Leptogenys laozi,Leptogenys,Ponerinae,1
CSP01,CSP01_NE,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,2
CSP01,CSP01_NE,Pheidole_noda,Pheidole noda,Pheidole,Myrmicinae,2
CSP01,CSP01_NE,Technomyrmex_obscurior,Technomyrmex obscurior,Technomyrmex,Dolichoderinae,1
CSP01,CSP01_NE,Tetramorium_shensiense,Tetramorium shensiense,Tetramorium,Myrmicinae,7
CSP01,CSP01_NW,Aenictus_hodgsoni,Aenictus hodgsoni,Aenictus,Dorylinae,6
CSP01,CSP01_NW,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,17
CSP01,CSP01_NW,Brachyponera_chinensis,Brachyponera chinensis,Brachyponera,Ponerinae,1
CSP01,CSP01_NW,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,11
CSP01,CSP01_NW,Camponotus_compressus,Camponotus compressus,Camponotus,Formicinae,5
CSP01,CSP01_NW,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,13
CSP01,CSP01_NW,Carebara_sp.1,Carebara sp.1,Carebara,Myrmicinae,1
CSP01,CSP01_NW,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,8
CSP01,CSP01_NW,Gnamptogenys_panda,Gnamptogenys panda,Gnamptogenys,Ectatomminae,2
CSP01,CSP01_NW,Leptogenys_kitteli,Leptogenys kitteli,Leptogenys,Ponerinae,5
CSP01,CSP01_NW,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,8
CSP01,CSP01_NW,Pheidole_noda,Pheidole noda,Pheidole,Myrmicinae,6
CSP01,CSP01_NW,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,1
CSP01,CSP01_NW,Tetramorium_shensiense,Tetramorium shensiense,Tetramorium,Myrmicinae,5
CSP01,CSP01_SE,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,30
CSP01,CSP01_SE,Aphaenogaster_sp.3,Aphaenogaster sp.3,Aphaenogaster,Myrmicinae,6
CSP01,CSP01_SE,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,9
CSP01,CSP01_SE,Camponotus_friedae,Camponotus friedae,Camponotus,Formicinae,2
CSP01,CSP01_SE,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,13
CSP01,CSP01_SE,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,3
CSP01,CSP01_SE,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,1
CSP01,CSP01_SE,Pheidole_noda,Pheidole noda,Pheidole,Myrmicinae,1
CSP01,CSP01_SE,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,1
CSP01,CSP01_SW,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,12
CSP01,CSP01_SW,Aphaenogaster_sp.3,Aphaenogaster sp.3,Aphaenogaster,Myrmicinae,4
CSP01,CSP01_SW,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,9
CSP01,CSP01_SW,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,10
CSP01,CSP01_SW,Camponotus_sp.8,Camponotus sp.8,Camponotus,Formicinae,1
CSP01,CSP01_SW,Crematogaster_cf._rogenhoferi,Crematogaster cf. var rogenhoferi,Crematogaster,Myrmicinae,7
CSP01,CSP01_SW,Formica_japonica,Formica japonica,Formica,Formicinae,1
CSP01,CSP01_SW,Leptogenys_laozi,Leptogenys laozi,Leptogenys,Ponerinae,1
CSP01,CSP01_SW,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,8
CSP01,CSP01_SW,Pheidole_noda,Pheidole noda,Pheidole,Myrmicinae,4
CSP01,CSP01_SW,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,1
CSP01,CSP01_SW,Prenolepis_naoroji,Prenolepis naoroji,Prenolepis,Formicinae,1
CSP01,CSP01_SW,Prenolepis_umbra,Prenolepis umbra,Prenolepis,Formicinae,7
CSP02,CSP02_NE,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,53
CSP02,CSP02_NE,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,2
CSP02,CSP02_NE,Camponotus_friedae,Camponotus friedae,Camponotus,Formicinae,44
CSP02,CSP02_NE,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,2
CSP02,CSP02_NE,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,24
CSP02,CSP02_NE,Leptogenys_kitteli,Leptogenys kitteli,Leptogenys,Ponerinae,31
CSP02,CSP02_NE,Liometopum_sinense,Liometopum sinense,Liometopum,Dolichoderinae,4
CSP02,CSP02_NE,Myrmecina_sauteri,Myrmecina sauteri,Myrmecina,Myrmicinae,1
CSP02,CSP02_NE,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,2
CSP02,CSP02_NE,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,3
CSP02,CSP02_NE,Technomyrmex_obscurior,Technomyrmex obscurior,Technomyrmex,Dolichoderinae,11
CSP02,CSP02_NE,Tetramorium_shensiense,Tetramorium shensiense,Tetramorium,Myrmicinae,7
CSP02,CSP02_NW,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,7
CSP02,CSP02_NW,Brachyponera_chinensis,Brachyponera chinensis,Brachyponera,Ponerinae,1
CSP02,CSP02_NW,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,21
CSP02,CSP02_NW,Camponotus_friedae,Camponotus friedae,Camponotus,Formicinae,63
CSP02,CSP02_NW,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,15
CSP02,CSP02_NW,Carebara_melasolena,Carebara melasolena,Carebara,Myrmicinae,1
CSP02,CSP02_NW,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,8
CSP02,CSP02_NW,Leptogenys_kitteli,Leptogenys kitteli,Leptogenys,Ponerinae,24
CSP02,CSP02_NW,Nylanderia_sp.5,Nylanderia sp.5,Nylanderia,Formicinae,2
CSP02,CSP02_NW,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,4
CSP02,CSP02_NW,Prenolepis_umbra,Prenolepis umbra,Prenolepis,Formicinae,1
CSP02,CSP02_SE,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,53
CSP02,CSP02_SE,Aphaenogaster_sp.3,Aphaenogaster sp.3,Aphaenogaster,Myrmicinae,1
CSP02,CSP02_SE,Brachyponera_chinensis,Brachyponera chinensis,Brachyponera,Ponerinae,8
CSP02,CSP02_SE,Brachyponera_luteipes,Brachyponera luteipes,Brachyponera,Ponerinae,3
CSP02,CSP02_SE,Camponotus_friedae,Camponotus friedae,Camponotus,Formicinae,14
CSP02,CSP02_SE,Camponotus_pseudoirritans,Camponotus pseudoirritans,Camponotus,Formicinae,8
CSP02,CSP02_SE,Ectomomyrmex_astutus,Ectomomyrmex astutus,Ectomomyrmex,Ponerinae,36
CSP02,CSP02_SE,Leptogenys_kitteli,Leptogenys kitteli,Leptogenys,Ponerinae,19
CSP02,CSP02_SE,Odontomachus_monticola,Odontomachus monticola,Odontomachus,Ponerinae,1
CSP02,CSP02_SE,Odontomachus_sp.2,Odontomachus sp.2,Odontomachus,Ponerinae,1
CSP02,CSP02_SE,Polyrhachis_illaudata,Polyrhachis illaudata,Polyrhachis,Formicinae,5
CSP02,CSP02_SE,Technomyrmex_obscurior,Technomyrmex obscurior,Technomyrmex,Dolichoderinae,11
CSP02,CSP02_SE,Tetramorium_aptum,Tetramorium aptum,Tetramorium,Myrmicinae,1
CSP02,CSP02_SE,Tetramorium_shensiense,Tetramorium shensiense,Tetramorium,Myrmicinae,7
CSP02,CSP02_SW,Aenictus_hodgsoni,Aenictus hodgsoni,Aenictus,Dorylinae,3
CSP02,CSP02_SW,Aphaenogaster_sp.1,Aphaenogaster sp.1,Aphaenogaster,Myrmicinae,2
