species,lifeform,CSP01,CSP02,CSP03,CSP04,CSP05,CSP06,CSP07,CSP08,CSP09,CSP10,CSP11,CSP12,CSP13,CSP14,CSP15,CSP16,CSP17,CSP18,CSP19,CSP20,CSP21,CSP22,CSP23,CSP24,CSP25,CSP26,CSP27
Acer cordatum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actinidia chinensis,3a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinidia lanceolata,3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adenostemma lavenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adinandra millettii,2,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,11,1,0,0,0,0,0,4,1,1,8,0
Ainsliaea macroclinidioides,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,1,0,0,0,0,2,0
Akebia trifoliata,3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Alangium kurzii,2,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
Albizia kalkora,2,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,1
Alniphyllum fortunei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,2,0,0,9
Ampelopsis sinica,3a,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachniodes pseudo-aristata,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aralia chinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ardisia brevicaulis,2,0,3,0,24,0,0,0,4,7,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0
Ardisia crenata,2,1,5,2,3,0,2,10,2,1,15,1,1,0,12,4,0,1,13,4,0,23,0,1,0,0,3,11
Ardisia punctata,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Aristolochia tubiflora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arthraxon hispidus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Arundinella hirta,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,63,0,0,40,0,0,14,0,0
Aster ageratoides,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0,0,0,0,0,0
Berchemia kulingensis,3a,0,0,0,0,5,0,4,0,0,0,1,0,1,0,1,9,2,0,6,8,0,0,0,1,0,3,2
Callicarpa giraldii,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callicarpa rubella,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Camellia chekiangoleosa,2,0,0,0,0,0,1,6,0,0,0,29,0,0,0,1,2,0,5,0,0,6,0,0,0,0,0,26
Camellia fraterna,2,0,5,0,21,0,1,0,16,5,0,21,0,1,14,6,0,6,10,7,0,2,0,13,5,2,47,0
Camellia oleifera,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,0,0,0
Camellia sinensis,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex spec.,1,0,26,0,3,1,0,1,3,4,1,2,1,0,0,5,1,7,7,0,41,6,4,1,0,0,0,5
Castanea henryi,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
