Species,Individual,Indiv_Sample,Family,Genus,Leaf toughness,Phenolics,Tannin
Acer davidii,Site A-Ace dav-F36-1413,4,Aceraceae,Acer,0.117678,107.7935234,88.58018367
Acer davidii,Site A-Ace dav-R20-1501,2,Aceraceae,Acer,0.07354875,141.9930726,128.6476441
Acer davidii,Site A-Ace dav-F36-1413,3,Aceraceae,Acer,0.1470975,112.5644962,198.9317425
Acer davidii,Site A-Ace dav-M26-1818,7,Aceraceae,Acer,0.117678,104.7378548,139.1689021
Acer davidii,Site A-Ace dav-R20-1501,4,Aceraceae,Acer,0.11277475,144.973163,198.9229798
Acer davidii,Site A-Ace dav-F36-1413,6,Aceraceae,Acer,0.09316175,122.8063782,183.1308004
Acer davidii,Site A-Ace dav-F36-1413,2,Aceraceae,Acer,0.12258125,115.4057048,147.3981196
Acer davidii,Site A-Ace dav-R20-1501,7,Aceraceae,Acer,0.0686455,113.7281072,231.7762883
Acer davidii,Site A-Ace dav-R20-1501,3,Aceraceae,Acer,0.10296825,135.3868456,236.4874741
Acer davidii,Site A-Ace dav-F36-1413,1,Aceraceae,Acer,0.098065,113.089732,276.1296542
Acer davidii,Site A-Ace dav-M26-1818,6,Aceraceae,Acer,0.13238775,115.3984535,201.3919688
Acer davidii,Site A-Ace dav-M26-1818,5,Aceraceae,Acer,0.12258125,94.37060078,128.2760232
Acer davidii,Site A-Ace dav-M26-1818,1,Aceraceae,Acer,0.1274845,126.50624,304.2322072
Acer davidii,Site A-Ace dav-M26-1818,4,Aceraceae,Acer,0.13238775,127.5438382,280.4281902
Acer davidii,Site A-Ace dav-R20-1501,1,Aceraceae,Acer,0.0882585,118.5681259,189.9644159
Acer davidii,Site A-Ace dav-M26-1818,2,Aceraceae,Acer,0.12258125,119.8531352,277.0113021
Acer davidii,Site A-Ace dav-R20-1501,5,Aceraceae,Acer,0.078452,129.8729524,103.1818705
Acer davidii,Site A-Ace dav-M26-1818,3,Aceraceae,Acer,0.16180725,103.7391286,232.4378574
Acer davidii,Site A-Ace dav-R20-1501,6,Aceraceae,Acer,0.07354875,149.2565537,252.6204016
Adinandra millettii,CSP9-Adi mil-369528,6,Theaceae,Adinandra,1.000263,146.7637076,214.0954395
Adinandra millettii,CSP9-Adi mil-369528,5,Theaceae,Adinandra,0.706068,106.1613623,78.05403608
Adinandra millettii,CSP9-Adi mil-369528,2,Theaceae,Adinandra,0.6374225,75.95064872,80.52858178
Adinandra millettii,CSP9-Adi mil-369638,2,Theaceae,Adinandra,0.98065,94.11032567,142.7286457
Adinandra millettii,CSP9-Adi mil-369528,7,Theaceae,Adinandra,0.764907,135.8078048,173.8841087
Adinandra millettii,CSP9-Adi mil-369528,1,Theaceae,Adinandra,0.706068,100.9616122,178.4739153
Adinandra millettii,CSP5-Adi mil-363898,5,Theaceae,Adinandra,1.1277475,90.3738791,177.5212236
Adinandra millettii,CSP9-Adi mil-369528,3,Theaceae,Adinandra,0.843359,90.11054265,272.0963274
Adinandra millettii,CSP9-Adi mil-369638,1,Theaceae,Adinandra,0.8727785,63.13602883,69.44822965
Adinandra millettii,CSP5-Adi mil-363898,7,Theaceae,Adinandra,0.921811,112.5264027,148.8439937
Adinandra millettii,CSP9-Adi mil-369638,7,Theaceae,Adinandra,0.941424,70.57479723,129.0675714
Adinandra millettii,CSP9-Adi mil-369528,4,Theaceae,Adinandra,0.804133,143.0594187,292.9507634
Adinandra millettii,CSP5-Adi mil-363898,6,Theaceae,Adinandra,0.8335525,92.56139518,103.7810141
Adinandra millettii,CSP5-Adi mil-363898,2,Theaceae,Adinandra,0.8727785,123.3882641,168.3774538
Adinandra millettii,CSP9-Adi mil-369638,6,Theaceae,Adinandra,0.7354875,76.8219616,94.77550957
Adinandra millettii,CSP5-Adi mil-363898,4,Theaceae,Adinandra,1.1473605,68.2541893,2.385221781
Adinandra millettii,CSP5-Adi mil-363898,3,Theaceae,Adinandra,0.8923915,92.75457753,82.28352104
Adinandra millettii,CSP5-Adi mil-363898,1,Theaceae,Adinandra,0.98065,113.0111961,145.2354677
Adinandra millettii,CSP9-Adi mil-369638,4,Theaceae,Adinandra,1.059102,110.9018287,240.0768237
Adinandra millettii,CSP9-Adi mil-369638,5,Theaceae,Adinandra,0.8335525,63.18258688,150.7188422
Adinandra millettii,CSP9-Adi mil-369638,3,Theaceae,Adinandra,1.1277475,68.14207674,93.35742795
Alniphyllum fortunei,Site B-Aln for-F24-1113,3,Styracaceae,Alniphyllum,0.18142025,64.02628502,9.288358746
Alniphyllum fortunei,Site B-Aln for-F24-1113,1,Styracaceae,Alniphyllum,0.19122675,101.5825914,216.633501
Alniphyllum fortunei,Site B-Aln for-F24-1113,6,Styracaceae,Alniphyllum,0.2059365,46.1332568,2.816194598
Alniphyllum fortunei,Site B-Aln for-F24-1113,5,Styracaceae,Alniphyllum,0.2059365,70.23682506,123.8516194
Alniphyllum fortunei,Site B-Aln for-J29-0502,3,Styracaceae,Alniphyllum,0.176517,77.0316141,150.9383227
Alniphyllum fortunei,Site B-Aln for-J29-0502,5,Styracaceae,Alniphyllum,0.2255495,36.24806211,2.7364905
Alniphyllum fortunei,Site B-Aln for-H29-1711,7,Styracaceae,Alniphyllum,0.18142025,104.6313216,240.7039782
Alniphyllum fortunei,Site B-Aln for-F24-1113,7,Styracaceae,Alniphyllum,0.17161375,55.25859757,103.2517409
Alniphyllum fortunei,Site B-Aln for-H29-1711,3,Styracaceae,Alniphyllum,0.2059365,103.8312115,211.9794422
Alniphyllum fortunei,Site B-Aln for-H29-1711,4,Styracaceae,Alniphyllum,0.19613,84.81567755,180.4192789
Alniphyllum fortunei,Site B-Aln for-F24-1113,2,Styracaceae,Alniphyllum,0.215743,122.0379093,192.1929729
Alniphyllum fortunei,Site B-Aln for-J29-0502,1,Styracaceae,Alniphyllum,0.274582,72.51960449,89.55695386
Alniphyllum fortunei,Site B-Aln for-H29-1711,2,Styracaceae,Alniphyllum,0.156904,101.2812344,103.939339
Alniphyllum fortunei,Site B-Aln for-H29-1711,1,Styracaceae,Alniphyllum,0.2255495,114.2950982,240.497649
Alniphyllum fortunei,Site B-Aln for-H29-1711,5,Styracaceae,Alniphyllum,0.1667105,102.0271112,238.8515974
Alniphyllum fortunei,Site B-Aln for-H29-1711,6,Styracaceae,Alniphyllum,0.20103325,101.3006946,191.0038465
Alniphyllum fortunei,Site B-Aln for-J29-0502,6,Styracaceae,Alniphyllum,0.22064625,107.9582728,174.3497116
Camellia chekiangoleosa,CSP20-Cam che-NoTag,4,Theaceae,Camellia,1.470975,110.7233796,253.2170547
Camellia chekiangoleosa,CSP20-Cam che-NoTag,6,Theaceae,Camellia,1.3631035,109.7312508,186.8302972
Camellia chekiangoleosa,CSP20-Cam che-NoTag,5,Theaceae,Camellia,1.431749,79.94722317,110.3891379
Camellia chekiangoleosa,Site A-Cam che-H28-0714,2,Theaceae,Camellia,1.314071,83.6603882,27.2974901
Camellia chekiangoleosa,Site A-Cam che-H28-0714,4,Theaceae,Camellia,0.862972,80.76973284,0.475421937
Camellia chekiangoleosa,CSP20-Cam che-NoTag,7,Theaceae,Camellia,1.5592335,111.2146672,176.8949406
Camellia chekiangoleosa,CSP20-Cam che-NoTag,2,Theaceae,Camellia,1.451362,85.78499969,176.2277464
Camellia chekiangoleosa,Site A-Cam che-H28-0714,6,Theaceae,Camellia,1.0492955,133.7316621,142.144277
Camellia chekiangoleosa,Site A-Cam che-M19-1203,2,Theaceae,Camellia,0.78452,95.86774321,9.985283747
Camellia chekiangoleosa,Site A-Cam che-M19-1203,7,Theaceae,Camellia,0.608003,98.62577304,160.1632932
Camellia chekiangoleosa,Site A-Cam che-M19-1203,1,Theaceae,Camellia,0.608003,101.9752807,52.10535599
Camellia chekiangoleosa,CSP20-Cam che-NoTag,1,Theaceae,Camellia,1.4611685,100.6182677,205.8069428
Camellia chekiangoleosa,CSP20-Cam che-NoTag,3,Theaceae,Camellia,1.196393,110.6383232,173.1921225
Camellia chekiangoleosa,Site A-Cam che-M19-1203,6,Theaceae,Camellia,0.647229,85.23014896,73.62821133
Camellia chekiangoleosa,Site A-Cam che-H28-0714,5,Theaceae,Camellia,0.882585,97.18780521,30.79757604
Camellia chekiangoleosa,Site A-Cam che-M19-1203,4,Theaceae,Camellia,0.921811,97.99340721,2.250756919
Camellia chekiangoleosa,Site A-Cam che-M19-1203,5,Theaceae,Camellia,0.961037,93.90595019,9.169194426
Camellia chekiangoleosa,Site A-Cam che-M19-1203,3,Theaceae,Camellia,0.686455,101.0396161,37.12172266
Castanea henryi,Site A-Cas hen-F34-1400,5,Fagaceae,Castanea,0.19122675,93.40516332,43.87410403
Castanea henryi,Site A-Cas hen-F35-1012,2,Fagaceae,Castanea,0.14219425,100.5646431,29.50355506
Castanea henryi,Site A-Cas hen-F35-1012,3,Fagaceae,Castanea,0.1470975,90.18616913,78.77334804
Castanea henryi,Site A-Cas hen-F34-1400,6,Fagaceae,Castanea,0.176517,112.1524032,44.19772836
Castanea henryi,Site A-Cas hen-F35-1012,1,Fagaceae,Castanea,0.12258125,109.067308,82.978389
Castanea henryi,Site A-Cas hen-F35-1012,6,Fagaceae,Castanea,0.15200075,92.67105281,166.4025113
Castanea henryi,Site A-Cas hen-F35-1012,7,Fagaceae,Castanea,0.1470975,110.4723335,187.334182
Castanea henryi,Site A-Cas hen-F35-1012,4,Fagaceae,Castanea,0.1274845,95.07996671,234.6398752
Castanea henryi,Site A-Cas hen-F35-1012,5,Fagaceae,Castanea,0.17161375,98.91140478,230.8944162
Castanea henryi,Site A-Cas hen-F34-1400,1,Fagaceae,Castanea,0.22064625,97.52332198,48.51521792
Castanea henryi,Site A-Cas hen-F34-1400,3,Fagaceae,Castanea,0.19122675,96.66731876,80.73301864
Castanea henryi,Site A-Cas hen-F34-1400,4,Fagaceae,Castanea,0.2255495,95.19192614,47.52281731
Castanea henryi,Site A-Cas hen-F34-0702,5,Fagaceae,Castanea,0.2451625,131.161945,115.6078531
Castanea henryi,Site A-Cas hen-F34-0702,6,Fagaceae,Castanea,0.23045275,138.2106942,82.35708615
Castanea henryi,Site A-Cas hen-F34-0702,7,Fagaceae,Castanea,0.215743,76.16217369,241.3963131
Castanea henryi,Site A-Cas hen-F34-0702,3,Fagaceae,Castanea,0.19613,121.7256498,76.04091633
Castanea henryi,Site A-Cas hen-F34-0702,4,Fagaceae,Castanea,0.23045275,117.1647247,101.4280347
Castanea henryi,Site A-Cas hen-F34-0702,1,Fagaceae,Castanea,0.1863235,92.66092573,162.4405399
Castanea henryi,Site A-Cas hen-F34-0702,2,Fagaceae,Castanea,0.20103325,130.4865679,101.883823
Castanopsis eyrei,Site A-Cas eyr-F28-1811,7,Fagaceae,Castanopsis,1.0296825,117.0755865,105.4676989
Castanopsis eyrei,Site B-Cas eyr-J24-1212,5,Fagaceae,Castanopsis,0.686455,117.6939012,223.7835535
Castanopsis eyrei,Site B-Cas eyr-J24-1212,4,Fagaceae,Castanopsis,0.666842,120.6525927,225.3909489
Castanopsis eyrei,Site B-Cas eyr-J24-1212,7,Fagaceae,Castanopsis,0.5393575,135.1532742,212.5812473
Castanopsis eyrei,Site B-Cas eyr-J24-1212,6,Fagaceae,Castanopsis,0.58839,103.920792,205.8716327
Castanopsis eyrei,Site A-Cas eyr-P27-1709,2,Fagaceae,Castanopsis,0.764907,139.3680394,354.8596186
Castanopsis eyrei,CSP16-Cas eyr-370121,2,Fagaceae,Castanopsis,1.5984595,121.8685184,308.5823587
Castanopsis eyrei,Site B-Cas eyr-M20-0310,9,Fagaceae,Castanopsis,1.0296825,95.50271468,196.6317492
Castanopsis eyrei,Site A-Cas eyr-P27-1709,1,Fagaceae,Castanopsis,0.7943265,120.8488532,219.5515981
Castanopsis eyrei,Site B-Cas eyr-J24-1212,2,Fagaceae,Castanopsis,0.490325,127.7099029,312.5309439
Castanopsis eyrei,Site A-Cas eyr-F28-1811,5,Fagaceae,Castanopsis,1.2454255,135.1081887,257.6519435
Castanopsis eyrei,Site A-Cas eyr-F28-1811,2,Fagaceae,Castanopsis,1.2258125,131.4906832,186.8129644
Castanopsis eyrei,Site B-Cas eyr-J24-1212,1,Fagaceae,Castanopsis,0.529551,133.1047518,268.7833841
Castanopsis eyrei,Site B-Cas eyr-M20-0310,1,Fagaceae,Castanopsis,0.98065,118.2677394,132.9270344
Castanopsis eyrei,Site A-Cas eyr-F28-1811,6,Fagaceae,Castanopsis,1.1473605,108.6485571,182.7141546
Castanopsis eyrei,Site A-Cas eyr-P27-1709,3,Fagaceae,Castanopsis,0.882585,121.0631178,260.0363856
Castanopsis eyrei,Site B-Cas eyr-J24-0910,1,Fagaceae,Castanopsis,0.745294,99.80830887,133.3766999
Castanopsis eyrei,CSP9-Cas eyr-369634,4,Fagaceae,Castanopsis,0.804133,99.22291645,71.15044039
Castanopsis eyrei,CSP16-Cas eyr-370121,3,Fagaceae,Castanopsis,1.196393,109.3768907,316.9591839
Castanopsis eyrei,Site B-Cas eyr-J24-1212,3,Fagaceae,Castanopsis,0.549164,106.1120733,210.6546285
Castanopsis eyrei,CSP16-Cas eyr-370121,4,Fagaceae,Castanopsis,1.333684,119.4317492,283.7812427
Castanopsis eyrei,Site A-Cas eyr-P27-1709,4,Fagaceae,Castanopsis,0.686455,144.5992543,301.9000517
Castanopsis eyrei,Site A-Cas eyr-F28-1811,3,Fagaceae,Castanopsis,0.78452,112.0976744,182.6484451
Castanopsis eyrei,CSP9-Cas eyr-369634,5,Fagaceae,Castanopsis,0.862972,108.0207997,160.9220419
Castanopsis eyrei,Site A-Cas eyr-F28-1811,4,Fagaceae,Castanopsis,1.019876,113.5822236,186.537437
Castanopsis eyrei,Site B-Cas eyr-M20-0310,10,Fagaceae,Castanopsis,1.00516625,85.38526379,205.6138685
Castanopsis eyrei,Site B-Cas eyr-J24-0001,5,Fagaceae,Castanopsis,0.7354875,95.83367165,222.1115605
Castanopsis eyrei,Site B-Cas eyr-J24-0001,6,Fagaceae,Castanopsis,0.9120045,102.0435944,140.1599249
Castanopsis eyrei,CSP9-Cas eyr-369634,3,Fagaceae,Castanopsis,0.7943265,106.0631697,200.0326431
Castanopsis eyrei,Site B-Cas eyr-M20-0310,2,Fagaceae,Castanopsis,0.90710125,78.47495155,161.7049529
Castanopsis eyrei,CSP16-Cas eyr-370121,5,Fagaceae,Castanopsis,1.2846515,133.6937576,330.7927669
Castanopsis eyrei,CSP9-Cas eyr-369634,2,Fagaceae,Castanopsis,0.78452,89.05971874,221.0167189
Castanopsis eyrei,CSP16-Cas eyr-370121,6,Fagaceae,Castanopsis,1.37291,135.7397214,337.6445359
Castanopsis eyrei,Site B-Cas eyr-J24-0001,7,Fagaceae,Castanopsis,0.902198,99.28289005,82.22854108
Castanopsis eyrei,CSP9-Cas eyr-369634,6,Fagaceae,Castanopsis,0.804133,97.80465289,177.9223937
