Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,Cd214,Cd228,stomata.density,average.length,average.width,Phenolics,Tannin
A-13-B34,David Eichenberg,Castanopsis eyrei,2011,A,,B34,212,t102340010212,,,0.9,380,811.4,8.32,422.222222222222,1.243,46.087,37.065,,,,0.19,8.66,0.23,9.22,2.92,1.15,3.94,1.41,2.86,0.08,0,0.02,0,0.04,0.01,0,0,0,,,,,
A-4-B34,David Eichenberg,Choerospondias axillaris,2011,A,,B34,505,t102340010505,,,7.18,2570,28448.39,11.71,357.938718662953,1.367,46.834,34.262,,,,,,,,,,,,,,,,,,,,,,,,,79.441,61.523
A-27-B34,David Eichenberg,Acer davidii,2011,A,,B34,0704,t102340010704,,,6.44,2090,2903.94,21.12,324.534161490683,1.62,45.874,28.312,,,,0.529,23.081,0.383,11.7,6.011,3.682,1.75,1.485,3.967,0.132,0,0.002,0,0.071,0.003,0.001,0,0,,,,,
A-6-B34,David Eichenberg,Liquidambar formosana,2011,A,,B34,1009,t102340011009,,,4.8,1640,4311.37,12.41,341.666666666667,1.456,46.323,31.826,,,,1.268,17.149,0.442,12.126,5.14,5.421,2.219,1.567,3.137,0.125,0.002,0.016,0,0.038,0.007,0.015,0,0,,,,99.027,96.394
A-17-B34,David Eichenberg,Cinnamomum camphora,2011,A,,B34,1011,t102340011011,,,1.69,630,2435.64,10.04,372.781065088757,1.475,46.998,31.867,,,,,,,,,,,,,,,,,,,,,,,,,25.041,34.478
A-22-B34,David Eichenberg,Triadica cochinchinensis,2011,A,,B34,1111,t102340011111,,,2.76,860,1732.63,15.4,311.594202898551,1.908,46.27,24.257,,,,,,,,,,,,,,,,,,,,,,,,,196.511,313.198
A-3-B34,David Eichenberg,Schima superba,2011,A,,B34,1411,t102340011411,,,3.46,1280,3337.58,10.51,369.942196531792,1.307,47.924,36.668,,,,1.662,11.43,0.243,14.913,3.801,2.735,1.895,1.143,2.923,0.337,0.002,0.005,0,0.029,0.007,0.003,0,0,,,,,
A-1-B34,David Eichenberg,Castanea henryi,2011,A,,B34,1512,t102340011512,,,1.43,610,2305.47,12.63,426.573426573427,2.07,48.118,23.243,,,,0.435,12.65,0.267,14.648,3.423,2.586,6.097,1.442,4.138,0.116,0.002,0.018,0.022,0.057,0.014,0.005,0,0.003,,,,,
A-11-B38/C38,David Eichenberg,Cyclobalanopsis glauca,2011,A,,B38/C38,507,t102381010507,,,4.8,2290,2977.07,7.09,477.083333333333,1.311,46.837,35.727,,,,,,,,,,,,,,,,,,,,,,,,,30.899,64.281
B-13-D25,David Eichenberg,Castanopsis eyrei,2011,B,,D25,1811,t204250011811,,,1.3,600,649.12,7.87,461.538461538462,1.542,47.852,31.026,,,,0.26,6.921,0.218,9.624,2.64,2.705,2.252,1.235,2.409,0.258,0.001,0.011,0.009,0.019,0.011,0.006,0,0,,,,235.029,202.989
B-37-D26,David Eichenberg,Idesia polycarpa,2011,B,,D26,1115,t204260011115,,,15.6,5380,7026.85,12.17,344.871794871795,2.318,46.729,20.162,,,,0.111,18.751,0.145,19.374,6.924,1.215,1.544,1.296,7.904,0.999,0.014,0.009,0,0.097,0.002,0.007,0,0,,,,,
