trees_ID,tree_spec,site,PLOT_NO,TREE_R,Iridomyrmex anceps,Crematogaster cf. rogenhoferi,Crematogaster cf. nawai,Camponotus vitiosus,Pristomyrmex punctatus,Alticinae sp.1,Crematogaster cf. biroi,Alticinae sp.2,Tapinoma melanocephalum,Diptera sp.2,Ochetellus glaber,Alticinae sp.3,Monomorium chinense,Chrysomelidae sp.1,Lepisiota opaca,Halictinae sp.1,Nylanderia bourbonica,Salticidae sp.3,Coleoptera 1,Chrysomelidae sp.4,Polyrhachis dives,Diptera sp.1,Diptera sp.5,Diptera sp.8,Diptera sp.13,Diptera sp.14,Diptera sp.15,Diptera sp.24,Theridiidae sp.1,Halictinae sp.3,Halictinae sp.2,Elateridae sp.2,Coccinellidae sp.1,Chrysomelidae sp.2,Dilobocondyla fouqueti,Diptera sp.3,Diptera sp.4,Diptera sp.7,Diptera sp.9,Diptera sp.10,Diptera sp.11,Diptera sp.12,Diptera sp.16,Diptera sp.17,Diptera sp.18,Diptera sp.19,Diptera sp.20,Diptera sp.21,Diptera sp.22,Diptera sp.25,Diptera sp.26,Salticidae sp.1,Salticidae sp.2,Braconidae sp.1,Braconidae sp.2,Mutillidae sp.1,Chrysomelidae sp.3,Campsosternus auratus,Bruchidae sp.1
0405,Ailanthus altissima,B,Y23,1,0,21,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0406,Ailanthus altissima,B,Y23,1,0,1,0,8,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0410,Ailanthus altissima,B,Y23,1,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0505,Ailanthus altissima,B,Y23,1,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0605,Ailanthus altissima,B,Y23,1,0,14,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0607,Ailanthus altissima,B,Y23,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0707,Ailanthus altissima,B,Y23,1,2,5,0,0,0,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0708,Ailanthus altissima,B,Y23,1,0,11,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0406,Ailanthus altissima,B,S9,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0504,Ailanthus altissima,B,S9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
