event,camp,begin,end,type,sc,loss_f,loss_o,am_b,am_v,int_v,peak_v,top5_v,am_t,int_t,peak_t,top5_t,wind_v,pwind_v
1,1,2008-08-24 12:00:00,2008-08-26 12:00:00,SCS,90,46.81,19.39,39.65,,,,,,,,,,
2,1,2008-08-27 12:00:00,2008-08-28 12:00:00,SCS,110,65.21,21.76,42.12,,,,,,,,,,
3,1,2008-08-30 12:00:00,2008-08-31 12:00:00,SCS,120,32.8,9.93,20.96,,,,,,,,,,
4,1,2008-09-03 12:00:00,2008-09-05 12:00:00,SCS,135,48.51,17.91,40.51,,,,,,,,,,
5,1,2008-09-10 12:00:00,2008-09-11 12:00:00,SCS,45,37.31,16.69,32.79,,,,,,,,,,
6,2,2009-07-24 12:00:00,2009-07-25 16:00:00,"SCB, SCS",450,85.02,49.28,103.13,67.34,5.86,60,55.73,83.7,8.04,87.6,63.36,0.39,3.8
7,2,2009-07-26 12:00:00,2009-07-30 12:00:00,"SCB, SCS",225,65.86,48.21,111.14,68.31,3.99,41.16,33.79,90.2,7.03,39.6,34.32,0.39,2.2
8,3,2010-05-27 12:00:00,2010-05-29 12:00:00,"SCB, SCS",300,44.42,9.447001419457093,49.16,26.15,1.27,10.08,8.98,39.9,2.72,13.2,11.04,0.5,1.9
9,3,2010-06-01 12:00:00,2010-06-02 12:00:00,"SCB, SCS",300,4.31,0.9025797534513146,3.44,1.8,0.48,1.68,1.18,2.8,1.29,2.4,1.68,0.42,1.1
10,3,2010-06-08 12:00:00,2010-06-09 12:00:00,"SCB, SCS",300,57.59,18.773658871787344,21.11,33.95,2.05,24,18.65,,,,,0.91,5.8
11,3,2010-06-14 12:00:00,2010-06-14 12:00:00,"SCB, SCS",300,13.73,1.8051595069026292,2.36,3.8,1.69,12.72,5.23,,,,,0.49,5.5
12,3,2010-06-17 12:00:00,2010-06-18 12:00:00,"SCB, SCS",300,76.93,28.4011762419347,86.25,55.11,4.21,45.24,32.98,70,5.49,27.6,24.72,0.49,1.9
13,3,2010-06-19 12:00:00,2010-06-22 12:00:00,"SCB, SCS",300,28.83,6.618918191976307,27.48,11.61,0.69,6.24,4.61,22.3,1.7,6,4.8,0.47,1.9
