species,spec_fam,family,fix_int,rand_family,rand_spec_in_fam,rand_spec_stem_break,mixed_m_res
Adinandra millettii,Adinandra millettii:Theaceae,Theaceae,-786.9786256,238.1868661,-122.9674161,-671.7591756,-30.03254103
Albizia kalkora,Albizia kalkora:Fabaceae,Fabaceae,-786.9786256,-235.9415311,-124.2332212,-1147.153378,-32.31838976
Alniphyllum fortunei,Alniphyllum fortunei:Styracaeae,Styracaeae,-786.9786256,-103.367196,-214.0847381,-1104.43056,-29.10509068
Camellia chekiangoleosa,Camellia chekiangoleosa:Theaceae,Theaceae,-786.9786256,238.1868661,178.692094,-370.0996655,97.27084455
Camellia fraterna,Camellia fraterna:Theaceae,Theaceae,-786.9786256,238.1868661,365.8859042,-182.9058554,217.5429862
Castanea henryi,Castanea henryi:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-410.1295586,-1274.215959,-103.199347
Castanopsis carlesii,Castanopsis carlesii:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-29.08339656,-893.169797,-6.729955417
Castanopsis eyrei,Castanopsis eyrei:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-9.494293107,-873.5806935,-0.071830465
Castanopsis fargesii,Castanopsis fargesii:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-297.529523,-1161.615923,-36.00110051
Castanopsis sclerophylla,Castanopsis sclerophylla:Fagaceae,Fagaceae,-786.9786256,-77.10777478,121.0448288,-743.0415717,30.54881416
Castanopsis tibetana,Castanopsis tibetana:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-47.02997871,-911.1163791,-61.5083801
Cinnamomum subavenium,Cinnamomum subavenium:Lauraceae,Lauraceae,-786.9786256,63.12557198,251.9887172,-471.8643364,274.8927318
Cleyera japonica,Cleyera japonica:Theaceae,Theaceae,-786.9786256,238.1868661,158.8972733,-389.8944862,346.5357296
Corylopsis glandulifera,Corylopsis glandulifera:Hamamelidaceae,Hamamelidaceae,-786.9786256,109.2303709,254.7148614,-423.0333933,92.54227794
Cunninghamia lanceolata,Cunninghamia lanceolata:Taxodiaceae,Taxodiaceae,-786.9786256,-205.9394963,-259.9469689,-1252.865091,-70.72121107
Cyclobalanopsis glauca,Cyclobalanopsis glauca:Fagaceae,Fagaceae,-786.9786256,-77.10777478,274.780524,-589.3058765,29.56044485
Cyclobalanopsis myrsinifolia,Cyclobalanopsis myrsinaefolia:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-64.70200879,-928.7884092,-8.754633182
Cyclobalanopsis stewardiana,Cyclobalanopsis stewardiana:Fagaceae,Fagaceae,-786.9786256,-77.10777478,92.48033087,-771.6060695,14.83698709
Dalbergia hupeana,Dalbergia hupeana:Fabaceae,Fabaceae,-786.9786256,-235.9415311,-173.5837927,-1196.50395,-227.0666062
Daphniphyllum oldhamii,Daphniphyllum oldhamii:Daphniphyllaceae,Daphniphyllaceae,-786.9786256,-145.2845733,-183.3853396,-1115.648539,-12.77734772
Diospyros japonica,Diospyros glaucifolia:Ebenaceae,Ebenaceae,-786.9786256,-227.0290968,-252.0514923,-1266.059215,-549.8308621
Diospyros japonica,Diospyros japonica:Ebenaceae,Ebenaceae,-786.9786256,-227.0290968,-34.51580829,-1048.523531,-44.98675978
Elaeocarpus chinensis,Elaeocarpus chinensis:Elaeocarpaceae,Elaeocarpaceae,-786.9786256,-218.0537453,-190.686265,-1195.718636,-623.9870101
Elaeocarpus decipiens,Elaeocarpus decipiens:Elaeocarpaceae,Elaeocarpaceae,-786.9786256,-218.0537453,-84.55190523,-1089.584276,-50.12345825
Eurya muricata,Eurya muricata:Theaceae,Theaceae,-786.9786256,238.1868661,210.8277454,-337.9640141,15.11942493
Eurya rubiginosa,Eurya rubiginosa:Theaceae,Theaceae,-786.9786256,238.1868661,16.65591745,-532.1358421,54.30437242
Fraxinus insularis,Fraxinus insularis:Oleaceae,Oleaceae,-786.9786256,-178.03234,-213.8745351,-1178.885501,-349.8825914
Hydrangea chinensis,Hydrangea chinensis:Saxifragaceae,Saxifragaceae,-786.9786256,169.0011769,-69.94088957,-687.9183383,-458.0373077
Ilex buergeri,Ilex buergeri:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,86.47176457,-568.8514806,113.1017029
Ilex chinensis,Ilex chinensis:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,-228.9408443,-884.2640894,-166.6543833
Ilex ficoidea,Ilex ficoidea:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,29.77942196,-625.5438232,194.838006
Ilex litseifolia,Ilex litseifolia:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,243.072685,-412.2505601,132.4911632
Ilex micrococca,Ilex micrococca:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,-65.17982047,-720.5030656,-142.3577566
Ilex pubescens,Ilex pubescens:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,139.0084919,-516.3147532,909.9305965
Ilex purpurea,Ilex purpurea:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,45.71351054,-609.6097346,299.1540886
Ilex suaveolens,Ilex suaveolens:Aquifoliaceae,Aquifoliaceae,-786.9786256,131.6553805,-69.81162459,-725.1348697,-228.6383794
