CSP,target_group,fct_gr,species,silverID,dbh_08,tot_hi,bifurcat,st_incl,stem_azi,stem_azi_grad,stem_azi_rad,mean_rad,cr_a,ad,CI_BD,CI_H,CI_ME,n_neigh,area_neigh,neigh_a,loc_asp,loc_asp_grad,loc_incl,n_sp_neigh,rat_e,age_pl,incl_pl,rare_s,rare_s_se,shannon,rare_fg,rare_fg_se,rd,can_hi,mean_can_hi
CSP01,CSP_01Qs,d,Quercus serrata,363512,9.8,10.3,5.9,10.807781753880267,360,324,5.654866776461628,1.2625,6.943478342404289,0.7575380005591421,5.604854092068429,0.4519965063494266,0.45667061013809357,4,45.36459791783661,0.08817448370742124,308,277.2,40,2,1,3,40,1.7,0.458257569495583,0.95,1.7,0.458257569495583,0.6000300994527858,15.8,15.8
CSP02,CSP_02Ce,e,Castanopsis eyrei,370531,33.1,19.6,12.1,9.071539118624687,240,216,3.7699111843077517,2.85,24.839409198540345,1.228907882428577,21.900096371582645,1.1092101089876707,4.33852032300614,16,277.59112687119415,0.05763872995632244,270,243,36,7,0.75,5,36,1.86315789473684,0.343680583522335,1.714,1.61578947368421,0.486408056865771,0.43119574822055334,21.7,19.711111111111112
CSP02,CSP_02Ch,d,Castanea henryi,370448,24.1,16.3,8.8,21.804488759343943,280,252,4.39822971502571,3.45,23.2,6.565969586031381,23.00866790522652,4.288012809284471,4.693949060957053,15,186.26502843133886,0.08053041478760094,255,229.5,52,8,0.8,5,36,1.90441176470588,0.294025720928483,2.038,1.68382352941176,0.464982698640066,1.9031795901540234,21.633333333333336,21.55
CSP02,CSP_02Qs,d,Quercus serrata,370747,22.1,17.8,6.5,5.303914121518605,300,270,4.71238898038469,2.425,18.961341339959567,0.7188698745407556,10.641363110946047,3.7814850501440245,3.7307897457996595,19,248.84555409084754,0.07635257969311984,290,261,36,7,1,5,36,1.86666666666667,0.339934634239537,1.987,1.68571428571429,0.464230765979199,0.2964411853776312,20.825,21.55
CSP02,CSP_02Ss,e,Schima superba,370309,17.9,16.6,3.3,6.979156633925073,270,243,4.241150082346221,1.1125,12.546120112891803,2.8698910070638073,3.549765026493842,1.852674154534169,1.5750638247986575,11,196.066797510539,0.0561033287617641,270,243,36,7,0.8181818181818182,5,36,1.92424242424242,0.264609836311692,1.907,1.71212121212121,0.452774327196481,0.32245966371503454,22.05,21.55
CSP03,CSP_03Ch,d,Castanea henryi,370997,10.9,10.8,5.7,3.018354888908544,320,288,5.026548245743669,0.9375,4.964041244233401,1.3791348075275618,17.2687450698035,1.9989180350383826,1.1965892817570758,12,91.60884177867838,0.13099172270937887,380,342,43,4,0.6666666666666666,3,43,1.57142857142857,0.494871659305394,1.352,1.57142857142857,0.494871659305394,1.4710771280293993,17.6,20.158333333333335
CSP03,CSP_03Qs,d,Quercus serrata,375585,11.4,12.6,6.2,6.4965057714536565,390,351,6.126105674500097,1.0625,6.366494422504798,2.3018321349722166,16.580967626716134,2.8077581589790905,0.8049603186489379,14,116.89866264007618,0.11976184914197985,380,342,43,3,0.6923076923076923,3,43,1.64761904761905,0.477711855389885,0.991,1.64761904761905,0.477711855389885,2.1664302446797334,16.733333333333334,15.81
CSP03,CSP_03Ss,e,Schima superba,369230,13.2,11.2,7.3,7.0998720619204665,20,18,0.3141592653589793,0.5125,1.6814244199604989,2.209251969118288,0.8807642760266526,1.15959191638135,0.8224797683636791,5,75.42963961269095,0.06628694006326336,0,0,43,2,1,3,43,1.79487179487179,0.403795275590349,0.683,1.69230769230769,0.461538461538462,0.6850393702692366,13.1,15.81
CSP04,CSP_04Ce,e,Castanopsis eyrei,379006,19.171974522292995,11.2,8.8,10.533745405717044,330,297,5.183627878423159,1.35,3.465,7.965707752610561,0.749311883627185,1.818981236563514,1.878074940616951,9,88.24733763933729,0.10198607958896817,300,270,38,5,0.875,5,38,2,2.98023223876953e-08,1.609,1.22222222222222,0.415739709641549,5.9005242611930075,21.25,17.02777777777778
CSP04,CSP_04Qs,d,Quercus serrata,370910,17.3,6.3,4,41.338013453134316,330,297,5.183627878423159,1.95,7.48,4.893772979803221,3.6958020707850228,2.9627243298939354,3.1010558046745182,7,43.008403427644275,0.16275888994057958,330,297,38,6,0.5714285714285714,5,38,1.84444444444444,0.362433476228891,1.906,1.2,0.4,2.509627169129857,12.5,17.47
CSP04,CSP_04Ss,e,Schima superba,375078,43.8,17.8,10.8,16.913073106935233,290,261,4.5553093477052,1.15,16.428136341605946,4.998743781738189,6.189667483237832,3.264510322570608,5.318712551815459,8,141.0260942196458,0.05672709043150647,280,252,38,10,0.9,5,38,1.96428571428571,0.185576872239493,2.197,1.82142857142857,0.382993046241558,0.5433417154063249,18.65,17.47
CSP05,CSP_05Ce,e,Castanopsis eyrei,370577,12.8,14.1,9.4,7.354349501421859,220,198,3.455751918948773,0.65,2.3007159644979667,1.0459918852200107,0.8734667804885974,2.04759506687879,0.9640271353384666,13,145.267244301992,0.08949023616758822,250,225,31,4,0.8461538461538461,3,26,1.59340659340659,0.491197728321472,1.128,1.38461538461538,0.48650425541052,1.6092182849538625,16.333333333333332,17.905555555555555
CSP05,CSP_05Qs,d,Quercus serrata,371835,12.5,12.5,3.8,7.582728925874387,280,252,4.39822971502571,1.5,6.65592062560786,2.022539816464741,0.8583886930400775,0.5800504184834592,0.4638241825523331,3,72.38229473870884,0.04144659976351441,300,270,27,3,0.6666666666666666,3,26,2,1.05367121277235e-08,1.386,1.66666666666667,0.471404520791032,0.16854498470539506,16.8,17.91
CSP05,CSP_05Ss,e,Schima superba,363627,21.7,18.9,2.5,4.593465938673961,250,225,3.9269908169872414,1.0875,3.3200504858550985,0.0014463968646899,2.6661975092129553,1.4433704964483092,4.129824518181599,27,265.90440219984004,0.10154025197261755,240,216,26,5,0.9629629629629629,3,26,1.64814814814815,0.477548035489915,1.153,1.54761904761905,0.497727260961117,0.0013300201054619772,20.583333333333332,17.91
CSP06,CSP_06Ce,e,Castanopsis eyrei,370711,11.8,9.2,4.6,6.252445219220776,220,198,3.455751918948773,1.3125,7.89194452659048,0.8084864963674439,0.8548657272725886,0.8549424128427012,0.7301695058886256,5,58.08804816487527,0.08607622665867785,180,162,22,3,1,3,24,1.8,0.399999999999999,1.242,1.6,0.489897948556635,0.6159897115180526,13.5,15.961111111111109
CSP06,CSP_06Qs,d,Quercus serrata,375235,11.242038216560509,9.2,2.5,4.593465938673961,270,243,4.241150082346221,0.85,3.579384641986031,1.969405701789934,4.1298060066820845,0.8709964167133266,0.8744340271074682,5,52.81017250684442,0.09467872878756416,280,252,29,3,1,3,24,1.52380952380952,0.49943278484293,1.242,1.47619047619048,0.499432784842929,2.316947884458746,13.8,13.37
CSP06,CSP_06Ss,e,Schima superba,375693,11.146496815286623,8.5,6.6,6.099713863364516,230,207,3.6128315516282616,1.225,8.06133762674887,0.28066667410649815,3.994317638403496,1.0354683819592607,0.7058131117612263,6,47.78362426110075,0.12556603005277742,240,216,28,2,1,3,24,1.8,0.399999999999999,0.796,1.33333333333333,0.471404520791032,0.2291156523318352,12.8,13.37
CSP07,CSP_07Ce,e,Castanopsis eyrei,369039,17.292993630573246,12.1,8.1,7.1097108557681885,180,162,2.827433388230814,0.9,2.9912050347822445,0.04489932078384994,1.3672699636616616,1.7238313482492609,1.7560351423933347,6,88.24733763933729,0.06799071972597878,180,162,32,4,1,4,32,1.28571428571429,0.451753951452626,1.079,1,0,0.04988813420427772,17.1,14.566666666666668
CSP07,CSP_07Qs,d,Quercus serrata,370687,12.6,8.4,4.7,12.377937934811898,380,342,5.969026041820607,1.05,2.185,2.726390576184721,0.38715515354767416,0.8692678214182437,0.6536419812287637,6,186.26502843133886,0.03221216591504038,150,135,24,3,1,4,32,1.71428571428571,0.451753951452626,1.004,1.71428571428571,0.451753951452626,2.596562453509258,14.6,14.57
CSP07,CSP_07Ss,e,Schima superba,369045,11.305732484076433,7.6,4.8,15.908488629424793,170,153,2.670353755551324,0.775,3.3671681612358704,1.1828730554310571,4.009000330816254,1.196840660160794,0.5044199614659324,6,162.8601631620949,0.036841422012012806,170,153,32,2,1,4,32,1.76190476190476,0.42591770999996,0.41,1.47619047619048,0.499432784842929,1.5262878134594287,12,14.57
CSP08,CSP_08Ce,e,Castanopsis eyrei,371205,32,16.2,8,1.4326929779681128,380,342,5.969026041820607,2.4125,17.062454307695106,0.29440893182828054,7.0675920335911755,4.401120193675228,5.113255418416646,14,206.1198940020263,0.06792163399745572,385,346.5,40,8,1,3,40,1.88571428571429,0.318157963590354,1.987,1.13333333333333,0.33993463423952,0.12203479039514221,16.733333333333334,17.116666666666667
CSP08,CSP_08Qs,d,Quercus serrata,379833,23.2,12.1,2.5,9.246362000224773,390,351,6.126105674500097,1.2875,6.2734753419568134,1.2875631436406751,2.203285330033205,3.041233336023951,3.153092018115206,11,120.76282160399167,0.09108763652501813,4,3.6,40,8,1,3,40,1.93939393939394,0.238606299212404,2.095,1.31818181818182,0.465770489361798,1.0000490436044078,17.5,17.12
CSP09,CSP_09Ce,e,Castanopsis eyrei,370326,25.5,12.7,5.6,6.162432321416978,360,324,5.654866776461628,3.3,32.474128333791455,0.11109330708965995,5.174291021351867,2.6020524488355803,3.099944570366948,8,116.89866264007618,0.06843534236684563,350,315,45,5,0.875,3,45,1.66666666666666,0.471404520791025,1.581,1.40909090909091,0.491666083017817,0.03366463851201817,21.25,19.375
CSP09,CSP_09Ss,e,Schima superba,369509,15.828025477707007,16.3,8.6,10.09603821003296,370,333,5.811946409141117,1.2875,9.141839796776818,1.0012673693707557,0.9932107016106578,3.392461628018349,4.735806385115581,7,186.26502843133886,0.03758086023421377,350,315,45,5,1,3,45,1.83333333333333,0.372677996249967,1.234,1.66666666666667,0.471404520791032,0.7776833936860238,19.65,20.45
CSP10,CSP_10Ce,e,Castanopsis eyrei,376445,30.318471337579616,9.6,2.7,22.24733874913725,350,315,5.497787143782138,1.5125,10.910265422649871,0.5824756134426119,4.791160533931425,3.7590106275729642,5.137655223845715,8,66.47610054996001,0.1203440023379171,20,18,50,5,0.875,4,50,1.92857142857143,0.257539376818848,1.427,1.25,0.433012701892219,0.3851078435984211,16.4,18.7
CSP10,CSP_10Ch,d,Castanea henryi,376943,24.2,12,5.6,4.099530041951154,30,27,0.47123889803846897,2.375,18.623713033927377,1.5703978951708188,4.099695677161636,1.8123161379874175,2.120499591606307,7,102.07034531513239,0.06858015399466096,20,18,50,4,1,4,50,1.85714285714286,0.34992710611188,1.494,1.46428571428571,0.498722858706033,0.6612201663877132,14.4,13.93
CSP10,CSP_10Qs,d,Quercus serrata,370298,20.6,12.7,4,10.130387543012215,80,72,1.2566370614359172,1.1875,9.615162504873561,3.0975878307064066,2.451709949415987,2.345115817950267,2.8062051296988026,8,120.76282160399167,0.06624555383637683,60,54,50,3,1,4,50,1.69444444444444,0.460642331993805,1.149,1.22222222222222,0.415739709641549,0.3260618769164639,15.65,13.93
CSP10,CSP_10Ss,e,Schima superba,376431,13.7,5.3,5.3,14.342474481888459,30,27,0.47123889803846897,1.3375,9.035556999102571,1.2609832391908347,0.6333478557687577,2.239714086382821,1.7037463100696777,7,98.5203456165759,0.07105131388031043,20,18,50,6,0.8571428571428571,4,50,1.80555555555556,0.395772412465972,1.733,1.22222222222222,0.415739709641549,0.9427912068716522,9.25,13.93
CSP11,CSP_11Ch,d,Castanea henryi,369703,27.547770700636942,19.6,11.2,6.162432321416978,340,306,5.340707511102648,1.7125,11.062824079052449,0.48272849057142475,8.030509620265704,6.276092329870581,5.435514596832422,25,271.7163486089812,0.09200771366163449,300,270,40,6,0.56,4,40,1.73846153846154,0.43947251867954,1.497,1.58769230769231,0.492249996619194,0.2818852499687152,20.26,20.26
CSP12,CSP_12Ce,e,Castanopsis eyrei,375081,25.5,21.3,13.2,4.348912316152161,310,279,4.869468613064179,2.575,19.69582013144114,0.09901129004201129,21.017956593618564,6.654682013246375,5.645864998096843,32,359.68094290949534,0.0889677382992515,320,288,20,7,0.96875,4,20,1.74166666666666,0.437718199555586,1.324,1.24166666666666,0.428093317968037,0.03845098642408205,22.54285714285714,21.40142857142857
CSP12,CSP_12Qs,d,Quercus serrata,370753,16,16.8,12.5,4.593465938673961,320,288,5.026548245743669,0.9375,5.665971131946694,1.6279830970184346,3.3403363003038162,2.6681199035644436,1.5626298908101823,15,211.24069002737767,0.07100904659067313,290,261,20,5,1,4,20,1.6780303030303,0.467231432164937,1.418,1.11931818181818,0.324162541490809,0.29201490529478646,19.6,21.07
CSP13,CSP_13Ce,e,Castanopsis eyrei,379306,19.394904458598724,12.2,6.9,4.159150526983868,180,162,2.827433388230814,1.3625,9.592667118517618,1.755425398883177,2.4166294758317695,2.171062905415544,2.083568918945766,7,206.1198940020263,0.03396081699872786,210,189,25,5,1,5,25,1.69444444444444,0.460642331993805,1.56,1.22222222222222,0.415739709641549,1.2883856138592125,17.15,18.375
