Taxon,CSP,age class,abundance,Taxonomic.assignment
OTU_0001,CSP01,medium,74,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0003,CSP01,medium,22,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0004,CSP01,medium,54,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0005,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae
OTU_0009,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0013,CSP01,medium,6,Fungi;Ascomycota; Leptodontidium
OTU_0014,CSP01,medium,5,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_0019,CSP01,medium,10,Fungi;Ascomycota
OTU_0032,CSP01,medium,64,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Cryptococcus
OTU_0044,CSP01,medium,43,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0048,CSP01,medium,13,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_0050,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypomyces
OTU_0054,CSP01,medium,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Atheliales; Atheliaceae; Piloderma
OTU_0056,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Onygenales; Ascosphaeraceae; Ascosphaera
OTU_0058,CSP01,medium,3,Fungi;Ascomycota
OTU_0059,CSP01,medium,27,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0065,CSP01,medium,4,Fungi;Ascomycota
OTU_0067,CSP01,medium,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Psathyrellaceae; Psathyrella
OTU_0069,CSP01,medium,14,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0070,CSP01,medium,6,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Leotiaceae; Leotia
