Plot,site,abun,observed.div,div_abgd,div_ptp,estimator.ri06,estimator.shan06,estimator.sim06,PD_boot,MPD_boot,MNTD_boot,PD,MPD,MNTD,treerichness,func_div_rao,phylo_div_rao,cwm_la,cwm_sla,cwm_ldmc,cwm_n,cwm_c,cwm_cn,cwm_leaftough,cwm_treevol,cwm_k,cwm_mg,cwm_ca,cwm_na,cwm_p
A_C32,A,24,18,17,18,32.535,27.412,21.291,3.152919489,0.38103526,0.227230663,3.094862905,0.378813901,0.241929156,2,0.328368278,50.49614128,5503.022456,12.41116338,478.4089266,1.607554294,46.01745193,31.03594827,0.190319546,32.53392491,13651.27185,4394.274204,32043.04036,1086.048611,336.1721855
A_E31,A,127,60,58,66,40.706,30.408,20.5,11.00426271,0.460851515,0.271673316,11.17513409,0.469303525,0.294142437,1,0,0,2766.05,11.85,580.82,2.03,47.23,23.77,0.44,1.815387339,11157.1,2702.55,43268.33,833.33,686.57
A_E33,A,217,53,46,56,14.403,12.252,10.229,8.539782374,0.417306913,0.226764423,8.165132927,0.417925765,0.220425355,1,0,0,2087.71,10.42,471.91,1.38,48.05,35.19,0.78,13.10426527,30719.1,11474.72,145630,723.35,301.1
A_E34,A,145,58,54,65,30.12,23.085,16.824,9.989111656,0.446514868,0.239971926,9.971434765,0.450914004,0.249319887,1,0,0,4445.93,11.9,477.69,1.69,46.4,30.35,0.22,32.11072127,13980.56,2974.79,28896.5,1109.45,348.45
A_F21,A,119,53,50,55,32.619,26.107,19.52,9.262521225,0.446340251,0.245911009,9.197851203,0.448925512,0.263013199,1,0,0,2437.59,12.82,540.06,1.66,41.41,25.01,0.39,0.992773482,8537.63,2642.41,40278.33,1258.42,300.54
A_F27,A,147,56,52,62,29.359,23.286,17.182,10.23352843,0.441095171,0.21819829,10.36155338,0.44779358,0.228759131,4,1.838135379,30.38161558,26287.44434,11.19517014,430.5941915,1.522129302,46.01103353,33.52587889,0.187810802,12.05498207,9166.250593,8139.542216,55879.10101,661.0061942,414.1814067
A_G24,A,35,20,20,20,19.6,15.433,12.013,4.453063273,0.455938105,0.316311474,4.432061165,0.447344315,0.327884148,1,0,0,36014.49,13.37,471.28,1.53,47.15,31.58,0.12,0.869369703,12813.93,5816.67,51365.67,633.71,356.98
A_H31,A,23,13,11,13,12.206,8.909,6.086,2.610097058,0.388029704,0.301504762,2.571721411,0.383867031,0.282868176,2,0.466470043,52.49063297,17595.9905,11.81855662,411.1824985,1.507748936,45.99675641,32.12529695,0.171981837,8.707590919,14975.06123,6419.902947,47132.11994,752.6952461,420.6148111
A_I27,A,90,29,28,30,13.623,10.809,8.274,6.440702362,0.457627653,0.283172983,6.281514336,0.469353326,0.281701458,2,1.26074316,24.60036095,27103.02153,11.43441626,422.2816707,1.555217591,45.97987932,32.97077527,0.152046535,3.617470647,9103.09055,8557.08939,57488.65296,608.1005086,423.3243385
A_I28,A,84,26,25,29,8.15,6.899,5.735,5.201826606,0.393743233,0.251740689,5.351390101,0.411550352,0.242340682,1,0,0,6642.67,12.06,425.37,1.36,46.04,34.41,0.19,3.482771307,14832.97,5829.3,47262.33,817.33,337.67
