id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind1,A,p103320,2,2,SP23,5,0.47,18.374,111.894,49.7,23.26,1.06,421.13,260,89.97141855,0.411,141.677,30.1907054,34.73227028,32.16990877,34.73227028,41.85386813,37.39280656
ind10,A,p105310,1,1,SP25,5,0.521,11.728,59.898,43.2,NA,NA,NA,NA,NA,0.432,63.266,3.63050301,4.908738521,6.834927517,8.295768101,9.079202769,9.621127502
ind100,A,p112220,16,5,SP10,6,NA,5.847,53.209,39.3,16.47,0.49,458.23,771,64.41307949,NA,NA,0.502654825,0.950331778,1.5393804,0.785398163,2.010619298,2.544690049
ind101,A,p112220,16,5,SP28,8,0.414,13.459,73.305,38.7,16.39,0.7,NA,NA,NA,0.242,40.344,12.56637061,13.20254313,15.20530844,15.90431281,NA,
ind102,A,p112220,16,6,SP27,4,NA,9.074,82.792,46.8,25.35,0.74,467.36,NA,NA,0.209,102.577,0.502654825,1.130973355,0.950331778,1.5393804,1.327322896,1.767145868
ind103,A,p112220,16,8,SP27,4,NA,NA,NA,43.8,18.48,0.4,462.43,NA,NA,NA,NA,1.5393804,2.269800692,3.300635782,3.801327111,3.801327111,3.463605901
ind104,A,p112220,16,4,SP7,3,NA,8.673,58.743,44.5,14.03,0.44,453.38,423,167.157964,0.201,59.019,1.327322896,3.300635782,2.269800692,4.523893421,2.83528737,10.1787602
ind105,A,p112220,16,5,SP5,13,0.542,6.955,49.596,44.8,13.68,0.36,453.87,540,71.01473589,0.198,68.101,3.801327111,7.306166415,8.814130889,15.90431281,18.09557368,33.69554471
ind106,A,p112220,16,4,SP25,5,0.645,5.1,56.155,43.2,19.48,0.46,438.59,NA,NA,0.204,51.633,3.976078202,8.552985999,12.88249338,8.552985999,13.20254313,15.90431281
ind107,A,p112220,16,6,SP27,NA,0.619,7.669,74.558,NA,20.13,0.48,443.03,696,137.5659441,NA,NA,31.17245311,52.16810951,69.39778172,80.11846665,105.6831769,126.6768698
ind108,A,p112220,16,7,SP23,35,0.492,18.652,85.812,37.4,17.05,0.71,440.8,222,106.0983046,0.312,11.038,51.5299735,66.47610055,88.24733764,104.7740785,145.2672443,172.0336137
ind109,A,p112220,16,5,SP28,7,0.42,12.689,94.405,34,13.97,0.67,507.19,NA,NA,0.467,71.678,13.20254313,12.88249338,11.64156428,NA,NA,
ind11,A,p105310,1,1,SP25,9,0.567,11.937,55.448,37.6,20.46,0.59,451.79,NA,NA,0.232,62.961,4.908738521,6.834927517,9.897980354,12.25417484,18.8574099,29.22466566
ind110,A,p112220,16,6,SP30,33,0.476,18.44,87.051,45,14.99,0.49,445.95,453,46.00023636,0.423,115.301,47.78362426,73.13824047,105.6831769,133.7552707,198.5565097,251.6494255
ind111,A,p112220,16,6,SP10,3,NA,4.932,55.271,43.3,18.37,0.52,450.45,703,77.64010504,0.213,36.113,0.950331778,1.130973355,1.327322896,1.327322896,1.130973355,1.767145868
ind112,A,p112220,16,7,SP30,37,0.503,26.388,95.444,38.8,14.25,0.5,444.51,443,44.92909778,0.205,44.085,81.71282492,114.9901451,138.9290811,186.2650284,280.5520779,339.7946614
ind113,A,p112220,16,8,SP8,27,0.503,11.065,139.522,57.9,18.18,0.76,467.07,NA,NA,0.219,30.79,52.16810951,76.20129331,155.039561,149.5712262,280.5520779,346.3605901
ind114,A,p112220,16,4,SP4,3,NA,13.221,109.684,36.6,18.59,0.43,439.77,758,132.323061,0.182,58.01,2.83528737,3.976078202,4.714352476,6.379396582,4.523893421,7.068583471
ind115,A,p112220,16,8,SP17,8,0.557,8.888,53.856,38.8,16.22,0.42,482.83,NA,NA,0.448,52.297,1.327322896,2.544690049,4.908738521,4.154756284,0.785398163,1.327322896
ind116,A,p112220,16,7,SP9,9,0.579,6.49,41.793,44.1,17.53,0.49,475.43,674,47.65313821,0.483,59.997,2.269800692,3.63050301,4.337361357,4.337361357,5.309291585,6.157521601
ind117,A,p112220,16,5,SP30,32,0.489,NA,NA,44.8,16.3,0.58,474.35,395,87.28846701,0.423,87.31,68.66147094,103.8689071,107.5131546,145.2672443,246.0573906,314.1592654
ind118,A,p112220,16,6,SP29,6,0.591,14.601,174.954,14.9,16.3,1.15,476.36,NA,NA,0.248,32.894,12.25417484,NA,12.25417484,16.98227179,11.94590607,12.56637061
ind119,A,p112220,16,7,SP4,8,0.496,18.706,124.218,38.8,23.71,0.56,458.38,771,174.3585666,0.417,78.037,20.83072279,29.70572204,34.73227028,45.96346402,45.36459792,50.26548246
ind12,A,p105310,1,1,SP25,7,0.565,15.858,68.533,33.4,19.1,0.65,434.37,NA,NA,0.499,111.113,5.515458602,8.295768101,9.079202769,8.295768101,9.079202769,11.94590607
ind120,A,p112220,16,8,SP17,11,0.591,6.056,37.409,46.5,17.73,0.45,478.6,NA,NA,0.469,47.509,6.157521601,16.98227179,23.75829444,50.26548246,75.42963961,70.88218425
ind121,A,p112220,16,5,SP8,16,0.477,16.676,131.626,52.1,19.59,0.75,444.17,394,68.00923232,0.448,93.17,80.91368229,101.1769549,106.5962022,111.2202339,172.0336137,191.134497
ind122,A,p112220,16,5,SP23,15,0.458,21.706,127.441,40.9,15.28,0.73,422.05,NA,NA,0.257,21.076,14.52201204,20.83072279,25.07187287,28.27433388,35.25652355,43.00840343
