Family,Species,Sub,Author
Calypogeiaceae,Calypogeia,fissa,(L.) Raddi
Conocephalaceae,Conocephallum,salebrosum,"Szweyk., Buczk. et Odrzyk."
Lophocoleaceae,Heteroscyphus,zollingeri,(Gottsche) Schiffn.
Marchantiaceae,Marchantia,emarginata,"Reinw., Blume et Nees"
Acrobolbaceae,Notoscyphus,lutescens,(Lehm. et Lindenb.) Mitt.
Polytrichaceae,Atrichum,subserratum,(Harv. et Hook. f.) Mitt.
Pottiaceae,Barbula,unguiculata,Hedw.
Bryaceae,Bryum,argenteum,Hedw.
Leucobryaceae,Campylopus,atrovirens,De Not.
Dicranellaceae,Dicranella,heteromalla,(Hedw.) Schimp.
Pottiaceae,Didymodon,constrictus,(Mitt.) K. Saito
Pottiaceae,Didymodon,ditrichoides,(Broth.) X.J. Li et S. He
Ditrichaceae,Ditrichum,pallidum,(Hedw.) Hampe
Entodontaceae,Entodon,spec.,sterile
Hypnaceae,Hypnum,cupressiforme,Hedw.
Hypnaceae,Hypnum,macrogynum,Besch.
Leucobryaceae,Leucobryum,juniperoideum,(Brid.) Müll. Hal.
Bartramiaceae,Philonotis,marchica,(Hedw.) Brid.
Bartramiaceae,Philonotis,mollis,(Dozy et Molk.) Mitt.
Bartramiaceae,Philonotis,roylei,(Hook. f.) Mitt.
Mniaceae,Plagiomnium,acutum,(Lindb.) T.J. Kop.
Polytrichaceae,Pogonatum,inflexum,(Lindb.) Sande Lac.
Thuidiaceae,Thuidium,glaucinoides,Broth.
Mniaceae,Trachycystis,microphylla,(Dozy et Molk.) Lindb.
Pottiaceae,Trichostomum,crispulum,Bruch
