Tree,Plot,NB_trophobioses,Eutrichosiphum.heterotrichum,Eutrichosiphum.tattakanum,Hemiptera_sum,Crematogaster.rogenhoferi,Polyrhachis.dives,Technomyrmex.brunneus,Tetramorium.wroughtonii,Ants_sum,Herbivory,Tree_species
t102340010404,A_B34,1,0,0,7,0,8,0,0,8,15,Quercus fabri
t102340010405,A_B34,0,0,0,0,0,0,0,0,0,8.25,Cinnamomum camphora
t102340010407,A_B34,0,0,0,0,0,0,0,0,0,14.64285714,Choerospondias axillaris
t102340010408,A_B34,0,0,0,0,0,0,0,0,0,10.47619048,Choerospondias axillaris
t102340010409,A_B34,0,0,0,0,0,0,0,0,0,3.69047619,Liquidambar formosana
t102340010410,A_B34,0,0,0,0,0,0,0,0,0,22.02380952,Sapindus saponaria
t102340010411,A_B34,0,0,0,0,0,0,0,0,0,4.880952381,Sapindus saponaria
t102340010412,A_B34,1,0,0,3,0,0,0,14,14,15.35714286,Castanopsis sclerophylla
t102340010414,A_B34,0,0,0,0,0,0,0,0,0,33.33333333,Castanea henryi
t102340010415,A_B34,0,0,0,0,0,0,0,0,0,12.85714286,Sapindus saponaria
t102340010505,A_B34,0,0,0,0,0,0,0,0,0,11.66666667,Choerospondias axillaris
t102340010506,A_B34,0,0,0,0,0,0,0,0,0,10.23809524,Liquidambar formosana
t102340010508,A_B34,2,0,0,13,0,0,0,6,6,15.47619048,Quercus serrata
t102340010509,A_B34,0,0,0,0,0,0,0,0,0,6.666666667,Schima superba
t102340010510,A_B34,1,0,0,1,0,1,0,0,1,1.666666667,Cyclobalanopsis glauca
t102340010511,A_B34,0,0,0,0,0,0,0,0,0,17.5,Castanea henryi
t102340010512,A_B34,0,0,0,0,0,0,0,0,0,18.0952381,Castanea henryi
t102340010513,A_B34,1,0,0,1,0,0,0,3,3,16.78571429,Quercus serrata
t102340010514,A_B34,1,0,0,1,0,0,0,6,6,8.333333333,Castanopsis sclerophylla
t102340010515,A_B34,1,0,0,100,0,18,0,0,18,9.047619048,Schima superba
t102340010604,A_B34,0,0,0,0,0,0,0,0,0,12.97619048,Castanea henryi
t102340010605,A_B34,0,0,0,0,0,0,0,0,0,12.97619048,Quercus fabri
t102340010607,A_B34,0,0,0,0,0,0,0,0,0,3.095238095,Liquidambar formosana
t102340010609,A_B34,0,0,0,0,0,0,0,0,0,6.547619048,Rhus chinensis
t102340010611,A_B34,0,0,0,0,0,0,0,0,0,0.476190476,Cinnamomum camphora
t102340010613,A_B34,0,0,0,0,0,0,0,0,0,0.476190476,Daphniphyllum oldhamii
t102340010614,A_B34,0,0,0,0,0,0,0,0,0,11.66666667,Liquidambar formosana
t102340010615,A_B34,0,0,0,0,0,0,0,0,0,13.33333333,Schima superba
t102340010704,A_B34,0,0,0,0,0,0,0,0,0,4.25,Acer davidii
t102340010705,A_B34,0,0,0,0,0,0,0,0,0,8.333333333,Quercus acutissima
t102340010706,A_B34,0,0,0,0,0,0,0,0,0,17.61904762,Quercus acutissima
t102340010707,A_B34,0,0,0,0,0,0,0,0,0,2.5,Sapindus saponaria
t102340010708,A_B34,1,0,0,3,0,4,0,0,4,6.547619048,Quercus acutissima
t102340010710,A_B34,1,0,0,20,0,12,0,0,12,10.5952381,Castanea henryi
t102340010713,A_B34,0,0,0,0,0,0,0,0,0,2.5,Sapindus saponaria
t102340010714,A_B34,1,0,0,1,0,8,0,0,8,7.380952381,Castanopsis sclerophylla
t102340010805,A_B34,0,0,0,0,0,0,0,0,0,3.928571429,Choerospondias axillaris
t102340010806,A_B34,0,0,0,0,0,0,0,0,0,33.33333333,Castanea henryi
t102340010808,A_B34,0,0,0,0,0,0,0,0,0,2.5,Acer davidii
t102340010809,A_B34,0,0,0,0,0,0,0,0,0,13.21428571,Castanopsis sclerophylla
t102340010810,A_B34,0,0,0,0,0,0,0,0,0,4.880952381,Sapindus saponaria
t102340010813,A_B34,0,0,0,0,0,0,0,0,0,21.19047619,Castanea henryi
t102340010814,A_B34,0,0,0,0,0,0,0,0,0,7.857142857,Quercus acutissima
t102340010905,A_B34,0,0,0,0,0,0,0,0,0,3.69047619,Sapindus saponaria
t102340010906,A_B34,0,0,0,0,0,0,0,0,0,2.380952381,Acer davidii
t102340010907,A_B34,0,0,0,0,0,0,0,0,0,4.880952381,Choerospondias axillaris
t102340010909,A_B34,0,0,0,0,0,0,0,0,0,10.23809524,Castanea henryi
t102340010911,A_B34,0,0,0,0,0,0,0,0,0,6.547619048,Liquidambar formosana
t102340010912,A_B34,0,0,0,0,0,0,0,0,0,24.28571429,Cyclobalanopsis glauca
t102340010913,A_B34,0,0,0,0,0,0,0,0,0,4.880952381,Schima superba
t102340010914,A_B34,3,0,0,14,0,8,0,0,8,14.64285714,Quercus serrata
t102340010915,A_B34,0,0,0,0,0,0,0,0,0,3.452380952,Cinnamomum camphora
t102340011005,A_B34,0,0,0,0,0,0,0,0,0,1.428571429,Acer davidii
t102340011008,A_B34,0,0,0,0,0,0,0,0,0,1.428571429,Cinnamomum camphora
t102340011009,A_B34,0,0,0,0,0,0,0,0,0,8.333333333,Liquidambar formosana
t102340011011,A_B34,0,0,0,0,0,0,0,0,0,6.785714286,Cinnamomum camphora
t102340011012,A_B34,0,0,0,0,0,0,0,0,0,8.571428571,Daphniphyllum oldhamii
t102340011013,A_B34,1,0,0,8,0,6,0,0,6,5.476190476,Castanea henryi
t102340011014,A_B34,2,0,0,5,0,2,0,0,2,8.452380952,Castanea henryi
t102340011015,A_B34,0,0,0,0,0,0,0,0,0,28.45238095,Castanea henryi
t102340011105,A_B34,0,0,0,0,0,0,0,0,0,8.80952381,Sapindus saponaria
t102340011109,A_B34,0,0,0,0,0,0,0,0,0,6.30952381,Schima superba
t102340011110,A_B34,0,0,0,0,0,0,0,0,0,23.80952381,Rhus chinensis
t102340011111,A_B34,0,0,0,0,0,0,0,0,0,4.880952381,Triadica cochinchinensis
t102340011112,A_B34,0,0,0,0,0,0,0,0,0,5.952380952,Rhus chinensis
t102340011204,A_B34,0,0,0,0,0,0,0,0,0,14.52380952,Quercus acutissima
t102340011210,A_B34,1,0,0,30,0,3,0,0,3,10.11904762,Liquidambar formosana
t102340011211,A_B34,0,0,0,0,0,0,0,0,0,3.095238095,Liquidambar formosana
t102340011212,A_B34,0,0,0,0,0,0,0,0,0,7.738095238,Quercus serrata
t102340011214,A_B34,0,0,0,0,0,0,0,0,0,14.28571429,Castanea henryi
t102340011215,A_B34,0,0,0,0,0,0,0,0,0,5.595238095,Quercus fabri
t102340011304,A_B34,0,0,0,0,0,0,0,0,0,6.428571429,Quercus serrata
t102340011308,A_B34,2,0,5,6,0,3,0,0,3,12.61904762,Castanopsis sclerophylla
t102340011310,A_B34,0,0,0,0,0,0,0,0,0,3.452380952,Liquidambar formosana
t102340011311,A_B34,0,0,0,0,0,0,0,0,0,7.023809524,Liquidambar formosana
t102340011312,A_B34,1,0,0,1,0,2,0,0,2,12.14285714,Quercus fabri
t102340011314,A_B34,0,0,0,0,0,0,0,0,0,3.80952381,Schima superba
t102340011315,A_B34,0,0,0,0,0,0,0,0,0,6.904761905,Schima superba
t102340011404,A_B34,0,0,0,0,0,0,0,0,0,21.42857143,Castanea henryi
t102340011405,A_B34,0,0,0,0,0,0,0,0,0,10.83333333,Castanea henryi
t102340011408,A_B34,0,0,0,0,0,0,0,0,0,8.333333333,Choerospondias axillaris
t102340011410,A_B34,0,0,0,0,0,0,0,0,0,4.761904762,Rhus chinensis
t102340011411,A_B34,0,0,0,0,0,0,0,0,0,5.833333333,Schima superba
t102340011412,A_B34,0,0,0,0,0,0,0,0,0,3.333333333,Cinnamomum camphora
t102340011413,A_B34,0,0,0,0,0,0,0,0,0,11.30952381,Rhus chinensis
t102340011414,A_B34,1,0,0,3,0,0,0,17,17,12.38095238,Quercus acutissima
t102340011415,A_B34,0,0,0,0,0,0,0,0,0,14.28571429,Choerospondias axillaris
t102340011504,A_B34,0,0,0,0,0,0,0,0,0,17.61904762,Quercus fabri
t102340011506,A_B34,1,0,0,1,0,3,0,0,3,3.452380952,Castanopsis sclerophylla
t102340011508,A_B34,1,0,0,1,0,0,0,8,8,5,Cyclobalanopsis myrsinifolia
t102340011509,A_B34,0,0,0,0,0,0,0,0,0,24.88095238,Choerospondias axillaris
t102340011510,A_B34,0,0,0,0,0,0,0,0,0,4.404761905,Cinnamomum camphora
t102340011511,A_B34,0,0,0,0,0,0,0,0,0,5.833333333,Rhus chinensis
t102340011512,A_B34,0,0,0,0,0,0,0,0,0,6.375,Castanea henryi
t102340011514,A_B34,0,0,0,0,0,0,0,0,0,11.30952381,Quercus acutissima
t102340011515,A_B34,0,0,0,0,0,0,0,0,0,5.714285714,Schima superba
t102350010604,A_B35,0,0,0,0,0,0,0,0,0,6.30952381,Lithocarpus glaber
t102350010608,A_B35,0,0,0,0,0,0,0,0,0,3.333333333,Schima superba
t102350010609,A_B35,0,0,0,0,0,0,0,0,0,12.73809524,Lithocarpus glaber
t102350010611,A_B35,0,0,0,0,0,0,0,0,0,3.571428571,Lithocarpus glaber
t102350010704,A_B35,0,0,0,0,0,0,0,0,0,4.880952381,Schima superba
t102350010706,A_B35,0,0,0,0,0,0,0,0,0,8.095238095,Schima superba
t102350010709,A_B35,0,0,0,0,0,0,0,0,0,3.452380952,Schima superba
t102350010710,A_B35,0,0,0,0,0,0,0,0,0,4.285714286,Schima superba
t102350010713,A_B35,0,0,0,0,0,0,0,0,0,17.73809524,Lithocarpus glaber
t102350010810,A_B35,0,0,0,0,0,0,0,0,0,4.404761905,Schima superba
t102350010812,A_B35,0,0,0,0,0,0,0,0,0,2.023809524,Schima superba
t102350010905,A_B35,0,0,0,0,0,0,0,0,0,4.047619048,Lithocarpus glaber
t102350010908,A_B35,0,0,0,0,0,0,0,0,0,7.261904762,Lithocarpus glaber
t102350010910,A_B35,0,0,0,0,0,0,0,0,0,3.333333333,Schima superba
t102350011004,A_B35,0,0,0,0,0,0,0,0,0,11.66666667,Schima superba
t102350011011,A_B35,0,0,0,0,0,0,0,0,0,6.30952381,Schima superba
t102350011106,A_B35,0,0,0,0,0,0,0,0,0,1.785714286,Schima superba
t102350011111,A_B35,0,0,0,0,0,0,0,0,0,6.071428571,Schima superba
t102350011207,A_B35,2,12,0,12,0,1,0,0,2,9.642857143,Lithocarpus glaber
t102350011213,A_B35,0,0,0,0,0,0,0,0,0,7.75,Lithocarpus glaber
t102350011305,A_B35,0,0,0,0,0,0,0,0,0,33.45238095,Lithocarpus glaber
t102350011306,A_B35,0,0,0,0,0,0,0,0,0,4.404761905,Schima superba
t102350011406,A_B35,0,0,0,0,0,0,0,0,0,6.904761905,Lithocarpus glaber
t102350011407,A_B35,0,0,0,0,0,0,0,0,0,5,Lithocarpus glaber
t102350011408,A_B35,1,0,0,30,0,0,0,0,10,5.357142857,Schima superba
t102350011410,A_B35,0,0,0,0,0,0,0,0,0,13.57142857,Lithocarpus glaber
t102350011411,A_B35,1,30,0,30,0,0,0,15,15,2.380952381,Schima superba
t102361010710,A_B36,0,0,0,0,0,0,0,0,0,5.952380952,Daphniphyllum oldhamii
t102361010712,A_B36,0,0,0,0,0,0,0,0,0,0.476190476,Daphniphyllum oldhamii
t102361010810,A_B36,0,0,0,0,0,0,0,0,0,3.69047619,Daphniphyllum oldhamii
t102361010812,A_B36,0,0,0,0,0,0,0,0,0,3.095238095,Daphniphyllum oldhamii
t102361010910,A_B36,0,0,0,0,0,0,0,0,0,0.714285714,Daphniphyllum oldhamii
