rownr,date,Date,start,end,plotignore,CSP,working condition,protoc.first,protoc.sur,meas.first,meas.sur,entered.first,entered.sur,entered.date,page,Central_subplot,CWD-Id,CWD_CSP_original,Idaddon,CWD_CSP,Species,specunpolished,TagAFCW,TagMBa,TagAFCW original,TagMBa original,DBH,dbh.comment,dbhpostmean,dbhpostsd,stemsGrEq10,stemsCnSm10,height,BD,lookup tag,dbase.remark.kn,dtop,dtop.remark.kn,length,len.rem.kn,height_length,hei.len.rem.kn,broken at,broken diam,neigh.label,reference is self,neigh.dist,neigh.azimut,direction CWD,pos.cw,pos.af_original,plot estimate,pos.af,alive,sc,mc,dc,ter,rot,fungi,valid,crown_origin,remark,vol_factor,Allometrie,comment Karin,meandbh,meanGr10,meanSm10Cn,ice_storm_representative
2,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,1,CSP27_1,1,CSP27_1,Rhododendron latoucheae,Rhododendron latoucheae,,,,,,,,,,,,5.6,,,3,,2.2,,2.2,,,,,,,,,7b,9,,9,d,10,5,1,,,,,,,,,,,,,no
3,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,2,CSP27_2,1,CSP27_2,Machilus thunbergii,Machilus thunbergii,,,,,,,,,,,,9.3,,,8.7,,0.8,,0.8,,,,,,,,,8,11,,11,d,100,5,3,,,,,,,,,,,,,no
4,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,3,CSP27_3,1,CSP27_3,Camellia chekiangoleosa,Camellia chekiang-oleosa,,,,,,,,,,,,7.2,,,3,,3.5,,3.5,,,,,,,,,7b,9,,9,d,30,5,2,,,,,,,,,,,,,no
5,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,4,CSP27_4,1,CSP27_4,Camellia chekiangoleosa,Camellia chekiang-oleosa,,,,,,,,,,,,7.2,,,3,,3.3,,3.3,,,,,,,,,7b,9,,9,d,10,5,1,,,,,,,,,,,,,no
6,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,5,CSP27_5,1,CSP27_5,Lithocarpus glaber,Lithocarpus glaber,,,,,,,,,,,,6.2,,,5.2,,1.7,,1.7,,,,,,,,,7b,9,,9,d,60,5,1,,,,,,,,,,,,,no
7,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,6,CSP27_6,1,CSP27_6,Castanopsis eyrei,Castanopsis eyrei,376995,,376995,,,,,,,,,10.2,,,3,,6.5,,6.5,,,,370761,,0,270,,7b,9,,9,d,5,1,1,,,,,,,,,,,,,no
8,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,7,CSP27_7,1,CSP27_7,NA,nn,,,,,,,,,,,,13.2,,,7.8,,1.8,,1.8,,,,,,,,,8,11,,11,d,100,5,3,,,,,,,,,,,,,no
9,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,8,CSP27_8,1,CSP27_8,Meliosma oldhamii,Meliosma oldhamii,,,,,,,,,,,,6,,,3,,2.4,,2.4,,,,,,,,,7b,9,,9,d,50,5,1,,,,,,,,,,,,,no
10,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,9,CSP27_9,1,CSP27_9,Castanopsis eyrei,Castanopsis eyrei,,,,,,,,,,,,6,,,3,,1.6,,1.6,,,,,,,,,7b,9,,9,d,0,1,1,,,,,,,,,,,,,no
11,2008-09-28 00:00:00,28.9.08,1899-12-30 10:00:00,1899-12-30 16:00:00,,CSP27,"sunny, best weather",Karin,Nadrowski,Christian,Wirth,Anja,Fankhaenel,2008-12-10 00:00:00,1,c,9,CSP27_9,2,CSP27_9,Castanopsis eyrei,Castanopsis eyrei,,,,,,,,,,,,3.2,,,3,,0.5,,0.5,,,,,,,,,,9,,9,,,,,,,,,,"changed pos.af from """" to 9",,,,,,,no
