CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP01,1,-4,e,Ah,10 YR 4/3,h4,"19,4",ko2,,koh-pol,g,"f3,gri2",,"Wf3,Wg1",,uhg,Ut2,,1,,Lhg,,,qh,01-1-1,
CSP01,2,-12,f,Bv+Ah,10 YR 5/3,h3,"20,2",ko2,,koh-pol,g,"f3,gri2-3",,"Wf3,Wg1",,uhg,Ut3,,2,,Lhg,Bhk,,qh,01-1-2,
CSP01,3,-35,e,Ah+Bv,"10 YR 6/6, 10 YR4/4",h2,"24,9",ko3,Vw,koh-pol,g,"f2,gri2",,"Wf2,Wg2",,uhg,Ut4,,2,,Lhg,"Bhk, Bvh",,qh,01-1-3,
CSP01,4,-53,e,Bv,10 YR6/6,h0,"22,6",ko3,,koh-pol,g,"f2,gri3",,"Wf2,Wg1",,uhg,Ut4,,3,,Lhg,,,qh,01-1-4,
CSP01,5,-83,e,II ilCv,"7,5 YrR6/6",h0,"23,6",ko2,,koh-pol,g,"f2,gri3",,"Wf0,Wg0",,"uhg, cc",Tu2,"mGr4, mX4",20,,Xhg,,,q,01-1-5,
CSP01,6,-105,e,III ilCv,10 YR6/6,h0,24.5,ko3,,koh-pol,g,"f2,gri2",,"Wf0,Wg0",,"uhg, cc",Ut4,fGr,2,,Lhg,,,q,01-1-6,
CSP01,7,-130+,e,IV iCj,10 YR6/6,h0,,ko3,,koh-pol,g,"f2,gri2",,"Wf0,Wg0",,"uhg, cc",Ut4,fGr,20,,Lhg,,,q,,
CSP01,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP02,1,-11,,Ah,10 YR3/3,h4,feu2-3,ko2-3,,koh-sub,,,,"Wf3-4, Wg2","Rwu, Rre",Ut2,"Gr1, X1",1,,,,,,,"02-1-1, 02-1-2",
CSP02,2,-36,"w,di",Bhv(Bv+Ah),10 YR4/4,h3,feu2-3,ko2-3,Humus fleckenhaft,koh-sub,,,,"Wf2, Wg2","Rre, Rwu",Ut3,"Gr1, X1",1,,,*Ma*Gn,Bhk,,,02-1-3,
CSP02,3,-56,"w,di",Bv,10 YR5/6,h0,feu2-3,ko2-3,,koh-sub,,,,"Wf1, Wg1",Rwu,Uls,"Gr1-2, X1-2",2,,,*Ma*Gn,,,,02-1-4,
CSP02,4,-70,"w,di",Bv-Cv1,10 YR5/6,h0,feu2-3,ko2-3,,koh-sub,,,,"Wf0, Wg1",Rwu,Slu,"Gr, X",2,,,*Ma*Gn,,,,02-1-5,
CSP02,5,-78,"w,di",Bv-Cv2,10 YR4/6,h0,feu2-3,ko2-3,,koh,,,,"Wf0, Wg0",,Ls2,"Gr, X",5,,,*Ma*Gn,,,,02-1-6,
CSP02,6,-100+,"w,di",II imCv,10 YR5/6,h0,feu2-3,ko2-3,,,,,,"Wf0, Wg0",,Ls3,X,6,,,*Ma*Gn,,,,02-1-7,
CSP02,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP02,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP03,1,-6,"e,de",Ah,"7,5YR 3/3",h5,,VFR,Vw,kru,VF,gri2f4 gri3f3,,Wf3  Wg1,,Ut3,fGr1,2,,,Lhg,,,q,03-1-1,LD03-1-1
CSP03,2,-25,"e,di",Bv+Ah,"7,5YR 5/6",h3,,FR,Vw,sub,ME,gri4f3  gri2f3,,Wf2  Wg1,,Ut3,fGr1,2,,,Lhg,,,q,03-1-2,LD03-1-2
CSP03,3,-38,"e,di",II Bv,"7,5YR 6/8",h2,,FI,Vw,sub,ME,gri3f3  gr4f2,,Wf2   Wg1,,Ut4,fGr2       mGr2,10,,,Xhg,,,"q,t",03-1-3,LD03-1-3
CSP03,4,-100+,,III ilCv,5YR 5/8,h0,,FI,"M, Vw",pol,CO,,,Wf0  Wg0,,Tu3,fX5,65,,,Xhg,,,"q,t",03-1-4,LD03-1-4
CSP03,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP03,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP03,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP03,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP04,1,-5,"e, g",Ah,10 YR 5/4,h4,21.2,ko4,,koh-sub,o,,,"Wf3, Wg3",,"cc, uk",Tu2,fGr2,20,,"Csa, Tuk",Bhk,,q,04-1-1,
CSP04,2,-40,"e, g",M,10 YR 5/6,h2,28.3,ko4,,koh-sub,o,"f2, gri2",,"Wf2, Wg2",,"cc, uk",Tu2,fX3,30,,"Csa, Tuk",Bhk,,q,04-1-2,
CSP04,3,-60,"e, g",II fBhv,10 YR 4/4,h3,28.3,ko4,,koh-sub,o,"f2, gri3",,"Wf3, Wg3",,"cc, uk",Tu2,fX1,20,,"Csa, Tuk","Bhk, Bvh, Bvz",,q,04-1-3,
CSP04,4,-80,"e, g",II ilCv1,"7,5 YR 6/8",h0,28.3,ko4,,koh-sub,o,f2. gri3,,"Wf0, Wg0",,cc,Tt,fX4,40,,Csa,Bhk,,"q, t",04-1-4,
CSP04,5,-110+,"e, g",II ilCv2,"7,5 YR 6/8",h0,25.7,ko4-5,,koh-sub,o,"f2, gri3",,"Wf0, Wg0",,cc,Tt,fX4,40,,Csa,Bhk,,"q, t",04-1-5,
CSP04,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP04,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP04,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP05,1,-5,t,Ah,10 YR 4/2,h4,23.86,ko3,,kru-sub,h,"f4, gri2",,"Wf3, Wg2",R,uhg,Ut3,,5,,Xhg,Bhk,,q,05-1-1,
CSP05,2,-13,,Bv+Ah,10 YR 5/4,h2,,,,sub,,"f3, gri2",,"Wf2, Wg1",R,uhg,Ut3,,7,,Xhg,,,q,05-1-2,
CSP05,3,-32,t,II Ah+Al-Bv,10 YR 6/6,h1,25.86,ko4,"Hu, Vw",sub,g,"f2, gri2",,"Wf2, Wg1",,uhg,Ut4,fGr1,3,,Xhg,"Bvh, Bvz",,q,05-1-3,
CSP05,4,-52,e,III Bt,"7,5 YR 6/6",h0,27.36,ko4,,sub,g,"f3, gri2",,"Wf1, Wg1",,"uhg, cc",Ts2,mGr3,15,,"Xhg, Csa",,,qt,05-1-4,
CSP05,5,-90,,III ilCv1,"7,5 YR 6/6",h0,25.86,ko4,,sub,g,"f4, gri2",,"Wf0, Wg0",,"uhg, cc",Ts3,"mGr3, gX4",90,,Csa,,,qt,05-1-5,
CSP05,6,-145,,III ilCv2,"7,5 YR 6/6",h0,,ko1,,,,,,"Wf0, Wg0",,cc,Su2,,,,Csa,,,,,
