objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1,7,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,27,Poor,Park,Waterloo Neighborhood Park,3116131.02598,10072645.3270
2,63,1201 RED RIVER ST,Ulmus americana,American Elm,22,8,Fair,Park,Waterloo Neighborhood Park,3116227.97821,10072923.9685
3,82,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,34,30,Poor,Park,Waterloo Neighborhood Park,3116226.42670,10072723.5907
4,93,1201 RED RIVER ST,Carya illinoinensis,Pecan,30,8,Poor,Park,Waterloo Neighborhood Park,3116310.15587,10072891.5405
5,94,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,20,8,Fair,Park,Waterloo Neighborhood Park,3116359.91200,10072813.4274
6,102,1201 RED RIVER ST,Ulmus americana,American Elm,24,8,Fair,Park,Waterloo Neighborhood Park,3116397.55989,10072702.2196
7,117,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,30,Fair,Park,Waterloo Neighborhood Park,3116262.00931,10072662.8733
8,119,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,27,8,Poor,Park,Waterloo Neighborhood Park,3116260.34396,10072713.8167
9,125,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,19,18,Poor,Park,Waterloo Neighborhood Park,3116157.65256,10072634.3540
10,127,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,33,35,Poor,Park,Waterloo Neighborhood Park,3116172.42091,10072615.4170
11,144,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,36,32,Fair,Park,Waterloo Neighborhood Park,3116249.23342,10072603.4826
12,148,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,29,35,Good,Park,Waterloo Neighborhood Park,3116273.89905,10072559.3052
13,175,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,31,35,Fair,Park,Waterloo Neighborhood Park,3116373.45331,10072542.2748
14,185,900 GUADALUPE ST,Carya illinoinensis,Pecan,24,43,Fair,Park,Wooldridge Square,3113486.09295,10072320.5154
16,188,900 GUADALUPE ST,Carya illinoinensis,Pecan,25,42,Fair,Park,Wooldridge Square,3113471.85183,10072402.8735
17,189,900 GUADALUPE ST,Carya illinoinensis,Pecan,33,37,Fair,Park,Wooldridge Square,3113519.85567,10072374.3893
18,194,900 GUADALUPE ST,Carya illinoinensis,Pecan,30,42,Fair,Park,Wooldridge Square,3113373.57546,10072457.9619
19,195,900 GUADALUPE ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Wooldridge Square,3113335.82028,10072466.2273
20,199,900 GUADALUPE ST,Quercus stellata,Post Oak,25,8,Fair,Park,Wooldridge Square,3113379.13844,10072235.7570
21,200,900 GUADALUPE ST,Quercus stellata,Post Oak,28,38,Fair,Park,Wooldridge Square,3113336.33176,10072330.0983
22,201,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,19,36,Poor,Park,Wooldridge Square,3113315.79998,10072376.2616
23,202,900 GUADALUPE ST,Quercus stellata,Post Oak,36,8,Fair,Park,Wooldridge Square,3113294.56282,10072408.8754
24,204,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,20,36,Fair,Park,Wooldridge Square,3113225.93008,10072238.7763
25,205,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,26,45,Fair,Park,Wooldridge Square,3113266.46412,10072237.1851
26,206,900 GUADALUPE ST,Carya illinoinensis,Pecan,20,35,Fair,Park,Wooldridge Square,3113317.76782,10072230.8856
27,211,900 GUADALUPE ST,Carya illinoinensis,Pecan,23,45,Poor,Park,Wooldridge Square,3113437.39718,10072176.4323
28,212,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,28,48,Fair,Park,Wooldridge Square,3113433.37127,10072226.8656
29,213,900 GUADALUPE ST,Carya illinoinensis,Pecan,26,36,Fair,Park,Wooldridge Square,3113479.80949,10072223.9368
30,252,1401 TRINITY ST,Carya illinoinensis,Pecan,21,55,Poor,Park,Waterloo Neighborhood Park,3116601.96664,10073543.3141
31,254,1401 TRINITY ST,Carya illinoinensis,Pecan,24,60,Good,Park,Waterloo Neighborhood Park,3116599.45024,10073507.4205
32,257,1401 TRINITY ST,Carya illinoinensis,Pecan,25,50,Good,Park,Waterloo Neighborhood Park,3116605.70318,10073476.3749
33,261,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116685.04915,10073490.3644
35,277,1401 TRINITY ST,Carya illinoinensis,Pecan,19,50,Good,Park,Waterloo Neighborhood Park,3116593.94762,10073326.5081
36,283,1401 TRINITY ST,Ulmus americana,American Elm,21,40,Fair,Park,Waterloo Neighborhood Park,3116627.78417,10073267.8642
37,318,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,28,Poor,Park,Waterloo Neighborhood Park,3116660.19815,10072932.3967
38,320,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,19,25,Good,Park,Waterloo Neighborhood Park,3116652.02067,10072868.8381
39,323,1401 TRINITY ST,Carya illinoinensis,Pecan,20,20,Poor,Park,Waterloo Neighborhood Park,3116627.27236,10072800.0515
40,324,1401 TRINITY ST,Carya illinoinensis,Pecan,21,47,Good,Park,Waterloo Neighborhood Park,3116635.01283,10072789.9035
41,327,1401 TRINITY ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Waterloo Neighborhood Park,3116676.78473,10072703.2725
42,328,1401 TRINITY ST,Carya illinoinensis,Pecan,22,47,Poor,Park,Waterloo Neighborhood Park,3116663.87465,10072714.8784
