lcdb2_name,lcdb1_name,gen_veg,wetland,minor_clsa,minor_clsb,minor_clsc,uncertain1,uncertain2,comments,class_cor,bound_cor,wetld_cor,field_com,photo_1,photo1_id,photo_east1,photo_nth1,photo_2,photo2_id,photo_east2,photo_nth2,district,id
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,Yes,,,LCDB2 = IF (tightly packed tanekaha) CLSA= Man/Kan,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0171.JPG,,2720924,6427664,,,,,Hauraki,24
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0170.JPG,,2722235,6424702,,,,,Hauraki,25
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0170.JPG,,2722235,6424702,,,,,Hauraki,26
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,Yes,Yes,,"South side of road= Man/Kan. North side = Patches of Man/Kan, some areas of ring fern, pasture, and MES.",\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\IMGP0170.JPG,,2722235,6424702,,,,,Hauraki,27
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,0,0,,,,,Hauraki,28
Other Exotic Forest,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,0,0,,,,,Hauraki,29
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,0,0,,,,,Hauraki,30
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Hauraki,1
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,\\ew\gis_store\GIS\RES_INFO\RIG GIS data\Biodiversity_Vegetation\Hauraki\Data_from_Daimen\Photos\ID1-48.JPG,,0,0,,,,,Hauraki,2
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Hauraki,3
