objectid,townname,plant,bryop,fern,tree,herp,mamml,fish,beark_f,beark_m,moosemor,shapestare,shapestlen
1,CANAAN,9,0,0,5,1,7,4,10,14,29,86286665.182220458984375,63059.572280579151993
2,FRANKLIN,29,6,7,0,7,12,0,0,1,-999999,106010613.36882019042968,42589.883884518501873
3,BERKSHIRE,18,0,5,9,3,3,13,4,5,-999999,108619320.91247558593750,41947.896222124159976
4,HIGHGATE,21,0,1,18,25,3,6,-999999,-999999,-999999,154926054.89545440673828,57511.415148403058993
5,RICHFORD,0,3,10,10,6,2,8,25,24,-999999,111999650.57842254638671,42428.881672953830275
6,SWANTON,25,0,5,0,16,6,3,-999999,-999999,1,159764357.59315490722656,68325.363539200101513
7,ALBURG,3,0,0,9,16,5,0,-999999,-999999,-999999,123090111.65757751464843,56006.332375810205122
8,NORTON,14,0,9,10,4,5,0,26,13,34,99738314.547210693359375,43724.499670844867069
9,AVERILL,7,0,6,9,12,2,0,4,7,23,98838609.137695312500000,39883.924965167185292
10,HOLLAND,4,0,1,9,6,5,0,12,30,1,100238398.25784301757812,40818.192703635046200
11,JAY,6,15,4,8,7,8,4,33,36,5,88075165.482330322265625,37695.668868260065210
12,TROY,0,0,0,7,5,5,19,10,13,2,94482091.275863647460938,48014.901154747094552
13,DERBY,15,3,3,14,3,8,0,13,4,9,147950902.83851623535156,64438.471219052407832
14,NEWPORT TOWN,10,2,3,14,5,4,0,10,4,-999999,112811029.90808105468750,52271.328656274759851
15,NEWPORT CITY,0,0,0,0,3,1,0,-999999,-999999,-999999,20141850.132507324218750,25071.790271521949762
16,LEMINGTON,7,2,15,16,1,4,5,11,16,10,91376723.882583618164062,43995.469936529079860
17,AVERYS GORE,5,0,1,8,4,2,0,0,2,4,46153164.626388549804688,30669.509314088711108
18,ISLE LA MOTTE,4,1,1,4,10,2,0,-999999,-999999,-999999,47770832.416114807128906,37468.919651257609075
19,WARRENS GORE,5,0,1,10,7,3,0,1,0,19,27232904.957412719726562,22802.397179993535246
20,WARNERS GRANT,0,0,0,0,0,2,0,1,0,-999999,8288810.196533203125000,14083.914460543232053
21,COVENTRY,4,0,6,16,6,5,0,14,18,5,72398029.422058105468750,34418.703071585085127
22,SHELDON,1,0,2,0,8,2,0,-999999,-999999,-999999,101882272.14146423339843,45796.813945373316528
23,LEWIS,2,0,1,14,1,3,0,11,7,9,102767010.25811767578125,40737.329843626212096
24,MORGAN,4,0,6,12,2,12,0,16,20,27,88381071.288238525390625,45378.298194841387158
25,NORTH HERO,44,0,1,0,15,10,0,-999999,-999999,-999999,119151231.93547821044921,55606.350269944661704
26,ENOSBURG,11,1,3,7,6,4,13,6,13,2,125157416.06940460205078,46220.881833892628492
27,WESTFIELD,4,0,6,6,5,5,0,17,11,1,103632712.57573699951171,40797.128205268723832
28,MONTGOMERY,3,1,4,10,14,6,13,48,76,4,147594204.14600372314453,51792.754518147841736
29,CHARLESTON,10,0,0,9,13,7,5,22,9,15,99751413.385696411132812,42610.129935308010317
30,ST. ALBANS TOWN,11,0,8,6,15,5,9,-999999,-999999,-999999,157493686.00434112548828,78023.801575571895228
31,BROWNINGTON,5,1,3,7,9,5,0,18,12,8,73436003.981925964355469,35837.553532775367785
32,FAIRFIELD,0,0,2,13,13,5,8,0,5,1,177333900.03388214111328,63929.814276581528247
33,BLOOMFIELD,8,0,0,13,5,7,13,20,28,21,104171881.54650878906250,42639.910982766661618
34,BRIGHTON,19,0,8,7,10,22,0,29,22,26,140892687.54376220703125,48226.246557743914309
35,IRASBURG,4,0,5,10,6,5,0,24,41,4,105587009.57212066650390,41529.538097792537883
36,LOWELL,8,1,6,15,8,13,0,25,31,8,145995840.12762451171875,52230.400874509614368
37,BAKERSFIELD,2,7,3,19,3,4,0,10,21,-999999,116086244.46491241455078,49243.362749379048182
38,ST. ALBANS CITY,0,0,1,0,1,0,5,-999999,-999999,-999999,5154555.168685913085938,12115.862654978398496
39,BARTON,13,0,10,18,9,4,0,8,10,8,114878801.28662872314453,47478.003540375459124
40,WESTMORE,101,118,36,11,10,16,0,18,19,6,97320140.633598327636719,39492.896124671759026
41,FERDINAND,6,3,2,0,9,14,0,8,15,50,137551600.09938049316406,55269.378238235789468
42,BRUNSWICK,16,0,1,11,6,4,0,7,13,25,65195714.277252197265625,45976.572657310505747
43,BELVIDERE,6,3,7,8,1,4,7,18,34,15,82681652.545143127441406,36678.488242971980071
44,GEORGIA,0,0,3,13,14,3,8,-999999,-999999,1,117111171.48701477050781,47306.747450137176202
45,ALBANY,1,0,1,11,4,4,0,21,25,6,100965204.88623809814453,40197.857871842723398
46,EDEN,9,15,3,9,17,8,0,30,28,17,165621741.69275665283203,54010.067188116678153
47,WATERVILLE,2,0,2,0,0,5,0,2,16,2,42052921.466331481933594,33372.644912997173378
48,GRAND ISLE,9,3,0,0,16,2,0,-999999,-999999,-999999,90728465.259910583496094,42676.314142610317504
49,FAIRFAX,2,0,1,7,5,5,21,0,4,2,104689928.70064544677734,46284.704247889181715
50,NEWARK,1,1,0,10,11,4,8,9,26,27,96423219.095588684082031,39244.028704624877719
51,FLETCHER,0,0,0,8,9,5,0,3,6,-999999,98520807.448539733886719,50735.595651703093608
52,SUTTON,10,3,9,9,4,6,0,25,35,8,99698110.641731262207031,45948.731567360919144
53,GLOVER,4,0,3,19,8,5,0,9,11,6,99990089.675743103027344,39996.004118529417610
54,MILTON,27,4,12,13,17,10,27,-999999,-999999,5,158368024.84545135498046,54983.964961141864478
55,MAIDSTONE,8,1,1,0,10,10,0,18,24,1,83206710.298019409179688,57380.776555969554465
56,EAST HAVEN,0,0,0,6,4,6,5,0,1,5,96418992.834274291992188,39211.783915073734534
57,JOHNSON,71,29,14,10,18,5,0,18,24,8,119232549.15078735351562,47213.887226061524416
58,CRAFTSBURY,3,0,2,7,8,5,0,9,15,4,102840677.25137329101562,40536.870528202758578
59,CAMBRIDGE,32,11,24,14,10,16,3,20,30,4,164579587.91225433349609,56402.976523251141771
60,SHEFFIELD,0,17,1,16,0,4,0,14,15,36,84987348.712440490722656,36343.588207998422149
61,SOUTH HERO,54,3,9,0,19,6,0,-999999,-999999,-999999,122951152.14448547363281,46542.401857156386541
62,HYDE PARK,19,13,1,0,5,4,5,12,3,4,100452646.30857849121093,44050.764414765297261
63,BURKE,6,1,0,22,2,24,3,8,8,19,87346801.053558349609375,40394.870637561369222
64,GRANBY,3,0,11,13,4,4,5,17,28,9,100536904.22706604003906,40083.835444903539610
65,GREENSBORO,6,1,9,14,9,5,6,8,11,2,101612660.22794342041015,40328.204025124636246
66,WESTFORD,1,0,4,20,8,7,14,1,3,-999999,100947344.22867584228515,40948.520812517839659
67,WOLCOTT,1,12,2,16,4,5,0,7,13,6,101706062.98831939697265,40366.286817563304794
68,UNDERHILL,70,31,45,19,21,14,12,16,8,5,132948036.87433624267578,50152.484438995139499
69,WHEELOCK,0,0,0,7,2,10,0,6,20,3,103706322.70677185058593,47693.841207874203974
70,COLCHESTER,240,46,43,0,11,7,26,-999999,-999999,8,151355358.36785125732421,68482.539406439405866
71,GUILDHALL,20,0,3,15,3,4,0,28,76,10,85411369.847496032714844,46439.923602372058667
72,VICTORY,7,0,6,12,12,13,8,21,19,14,111661241.88252258300781,43268.353416673642641
73,MORRISTOWN,17,4,2,16,11,13,0,8,19,2,132239305.27030181884765,59896.336111467455339
74,LYNDON,5,1,2,15,4,18,9,16,9,12,102834138.30661773681640,40484.640927148429910
75,HARDWICK,20,0,4,16,7,20,2,9,12,1,100227715.85628509521484,39989.132848322682548
76,STANNARD,0,0,0,0,3,3,0,3,8,4,32902910.441406250000000,26863.567224589070975
77,KIRBY,7,0,1,0,5,3,0,17,18,2,64117358.482437133789062,36031.059952390089165
78,ESSEX,48,4,8,0,13,9,23,-999999,-999999,4,103358927.66286468505859,49738.851259884700994
79,STOWE,95,213,29,17,18,16,9,26,32,8,188432503.31609344482421,62701.617100617906544
80,ELMORE,3,7,0,10,9,21,7,12,22,34,101783996.15824127197265,40406.546528031118214
81,JERICHO,11,21,15,20,20,6,20,3,3,2,91904107.342292785644531,41148.597980538012052
