date_and_time_of_initial_call,date_and_time_of_ranger_response,borough,property,location,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311sr_number,final_ranger_action,of_animals,pep_response,animal_monitored,rehabilitator,hours_spent_monitoring,police_response,esu_response,acc_intake_number
2018-09-24T11:00:00,2018-09-24T11:30:00,Queens,Cunningham Park,Comfort Station Near 73rd Avenue and Francis Lewis Blvd.,Chicken,Employee,Domestic,Injured,1,Juvenile,"Domestic;#Birds",1-1-1619568601,ACC,1,false,false,,,false,false,42420
2018-09-23T12:45:00,2018-09-23T12:50:00,Queens,Southern Stables,Behind the barn,Raccoon,Central,Native,,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
2018-09-21T18:30:00,2018-09-22T10:30:00,Queens,Alley Pond Park,73rd Street & Springfield Avenue,raccoon,Central,Native,Injured,0.5,Adult,Small Mammals-RVS,1-1-1620474184,Unfounded,1,false,false,,,false,false,
2018-09-21T09:00:00,2018-09-21T10:30:00,Brooklyn,Bedford Playground,,N/A,Public,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-09-20T14:00:00,2018-09-20T14:10:00,Manhattan,Central Park,"Harlem Meer, 106 street and 5 Avenue",Double crested cormorant,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Birds,1-1-1618901740,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
2018-09-09T11:55:00,2018-09-20T11:40:00,Queens,Baisley Pond Park,158th Street near water,Canada goose,Central,Native,Injured,1.75,Adult,Birds,1-1-1620277070,ACC,1,false,false,,,false,false,42056
2018-09-20T11:30:00,2018-09-20T11:35:00,Manhattan,Central Park,Harlem Meer,Cormorant,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Birds,,Unfounded,1,false,false,,,false,false,
2018-09-19T13:31:00,2018-09-19T16:48:00,Staten Island,Willowbrook Park,Willowbrook Pond,Turtle,Employee,N/A,N/A,1,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,false,false,,,false,false,
2018-09-19T14:48:00,2018-09-19T15:00:00,Manhattan,Central Park,Met museum on 84st/5ave by flagpole/vendors,Raccoon,Central,Native,Healthy,2,Adult,Small Mammals-RVS,1-1-1617694790,Relocated/Condition Corrected,1,false,true,,2,false,false,
2018-09-17T09:15:00,2018-09-17T09:30:00,Queens,PS 153,Back playground perimeter near a garbage can.,Skunk,Central,Native,,1,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
2018-09-19T12:00:00,2018-09-19T12:15:00,Manhattan,Central Park,W90th / CPW drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1,Juvenile,Small Mammals-RVS,1-1-1619568077,ACC,1,false,false,,,false,false,41959
