objectid,hab_code,hab_type,mega_id,mega,ind_id,ind,sed_id,sed,mes_mac_id,mes_mac,mod_id,mod,hab_desc,shape_area
1,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),883.204383106
2,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),1403.00376448
3,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),1766.51203339
4,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),1031.08847573
5,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),476.199011469
6,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),18226.8248960
7,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),2386.15515127
8,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),40113.8266509
9,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),14530.8077658
10,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),8496.75194038
