county,name_of_the_aquaculture_production_business_farm,address_or_location_of_the_farm,column_d,longitude_decimal_degrees,latitude_decimal_degrees,no_susceptible_or_vector_species_present,susceptible_species_present,vector_species_present,no_susceptible_or_vector_species_present_2,susceptible_species_present_2,vector_species_present_2,no_susceptible_or_vector_species_present_3,susceptible_species_present_3,vector_species_present_3,no_susceptible_or_vector_species_present_4,susceptible_species_present_4,vector_species_present_4,declared_disease_free,under_surveillance_programme,not_known_to_be_infected,other,declared_disease_free_2,under_surveillance_programme_2,not_known_to_be_infected_2,other_2,declared_disease_free_3,under_surveillance_programme_3,not_known_to_be_infected_3,other_3,declared_disease_free_4,under_surveillance_programme_4,not_known_to_be_infected_4,other_4,declared_disease_free_5,under_surveillance_programme_5,not_known_to_be_infected_5,other_5,declared_disease_free_6,under_surveillance_programme_6,not_known_to_be_infected_6,other_6,declared_disease_free_7,under_surveillance_programme_7,not_known_to_be_infected_7,other_7,declared_disease_free_8,under_surveillance_programme_8,not_known_to_be_infected_8,other_8,saltwater_cages_enclosures_pens,saltwater_ponds,saltwater_tanks_raceways,saltwater_closed_recirculation,freshwater_cages_enclosures_pens,freshwater_ponds,freshwater_tanks_raceways,freshwater_closed_recirculation,research_facility,quarantine_facility,other_9,hatchery,nursery,brood_stock,grow_out_for_human_consumption,put_take_fisheries,other_10
Cavan,PDS Irish Waters Ltd,"Knockaughey, Corlesmore, Ballinagh, Co. Cavan",002 - FHA,-7.50854,53.90173,a,,,a,,,a,,,a,,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,a,a,,,,,a,a,a,,,
Clare,City Analysts Ltd,"Shannon Town Centre, Shannon, Co. Clare",602 - FHA,-8.92303,52.70043,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,a,,,,a,,a,,,,,,,,a
Clare,"Scariff, Whitegate & Mountshannon Angling Club ","Cappabane, Scariff, Co. Clare",005 - FHA,-8.50244,52.94531,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
Cork,Aquaculture & Fisheries Development Centre,"Aquaculture & Fisheries Development Centre, UCC, Co. Cork",006 - FHA,-8.49156,51.89173,a,,,,a,,a,,,,,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,a,,,,a,a,,,,,,,,a
Cork,Araglen Valley Trout Farm Ltd.,"Araglen, Kilworth, Co. Cork",007 - FHA,-8.13331,52.20090,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,a,a,,,,,a,,,a,,
Cork,Daiti O Murchu Research Station,"Daiti O Murchu Research Station, Gearhies, Bantry, Co. Cork",008 - FHA,-9.58389,51.63500,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,a,,,,,,,a,,,,,,,
Cork,Douglas Valley Hatchery Ltd,"Kilclough, Kilworth, Co. Cork",009 - FHA,-8.22554,52.17282,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,a,,,,
Cork,ESB Fisheries Conservation," ESB Salmon Hatchery,Carrigadrohid, Macroom Co. Cork",010 - FHA,-8.86081,51.89698,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,a,a,,,
Cork,Murphys Irish Seafood Ltd,"Cuan Boui, Gearhies, Bantry, Co Cork",011 - FHA,-9.58607,51.65015,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Cork,Murphys Irish Seafood Ltd,"Borlin Hatchery, Derrynafinchin, Borlin, Co. Cork",012 - FHA,-9.39422,51.79640,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
