vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_b_ppm,st_dev_b_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,0.71,0.27,0.56,0.78,0.5800000000000001,0.22612680808195487
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.71,0.27,0.56,0.78,0.5800000000000001,0.22612680808195487
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.64,0.29,0.26,0.27,0.365,0.18375708603116966
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.22,0.22,0.26,0.23,0.23249999999999998,0.018929694486000917
IPOPES,SW,INT,,,IPOPES:SW:INT,0.55,0.54,0.2,0.81,0.525,0.2501332977967282
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.43,0.15,0.22,0.25,0.26249999999999996,0.11926860441876573
IPOPES,SE,INT,,,IPOPES:SE:INT,1.5,0.5,0.4,0.2,0.65,0.5802298395176404
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.19,0.34,0.53,0.3,0.34,0.1416568624058385
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.18,0.65,0.14,0.51,0.37,0.24966644414765343
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.63,0.42,0.47,0.62,0.535,0.10598742063723107
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.22,0.72,0.15,0.48,0.39249999999999996,0.2604323328621083
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.46,0.49,0.76,0.56,0.5675,0.13500000000000031
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.22,0.36,0.35,0.35,0.31999999999999995,0.06683312551921174
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.24,0.2,0.34,0.27,0.2625,0.05909032633745282
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.2,0.46,0.27,0.29,0.305,0.11030261405182878
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.22,0.15,0.34,0.28,0.2475,0.0813941029804986
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.25,0.37,0.14,0.16,0.23,0.10488088481701516
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.2,0.37,0.16,0.43,0.29000000000000004,0.13038404810405282
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.26,0.28,0.14,0.15,0.20750000000000002,0.07274384280931731
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.19,0.3,0.1,0.65,0.31,0.24097026095903754
LZVEG,,,,,LZVEG,6.05,9.99,6.39,2.86,6.3225,2.916520472526581
COCNUC,,,,,COCNUC,7.75,9.45,17.46,4.1,9.69,5.640395967187647
TUOARG,,,,,TUOARG,2.95,1.92,0.87,1.93,1.9175,0.8492104175840834
CASEQU,,,,,CASEQU,0.62,1.23,1.44,2.35,1.4100000000000001,0.71670542530852
Desert,,,,,Desert,0.2,0.09,0.07,0.07,0.10750000000000001,0.06238322424070967
