vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_mg_total_bases,st_dev_mg_total_bases
IPOPES,NW,INT,,,IPOPES:NW:INT,10.523765947138937,8.93563145890752,7.066563047839366,10.033358994098025,9.139829861995961,1.5333846732183525
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,9.415787699272746,9.073652063733702,6.440507663545244,6.556634819755425,7.871645561576779,1.59233617754161
IPOPES,NE,INT ,,,IPOPES:NE:INT,9.496130306661055,7.617644881371254,5.607362711037972,8.660635969769729,7.845443467210002,1.6783129947484163
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,6.471768770819109,6.901816801775761,6.184384823741079,6.722429014760116,6.570099852774016,0.3118147917951274
IPOPES,SW,INT,,,IPOPES:SW:INT,8.61241068203244,9.045342381246146,8.067927409287401,8.159404008750665,8.471271120329162,0.45071255918077957
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,9.244008731766135,8.555517871404659,7.190341771104388,8.349527002498451,8.33484884419341,0.8534983712977304
IPOPES,SE,INT,,,IPOPES:SE:INT,7.79269957581938,7.741623800642297,9.60573887621863,6.417200065649106,7.8893155795823535,1.309501245175469
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,6.160463531552681,8.875873967129756,9.90366511596491,7.756982275989858,8.174246222659301,1.6033923546160793
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,5.754569805433728,7.778029751461116,6.053146939754933,6.354190027659415,6.484984131077297,0.8961143008934462
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,10.99499811946164,8.21552839925367,7.5062103812233385,10.250315680011886,9.241763144987633,1.6488695360543426
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,6.671330341756386,7.623585932046747,5.014191915737639,5.313239955292686,6.155587036208365,1.2156402073478052
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,8.215839129247126,7.860497281996848,7.644183773216032,12.082911641777208,8.950857956559304,2.101292997627774
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,5.178853676412153,8.056971650174946,9.247652609919351,8.01551442792597,7.6247480911081045,1.7277860689353604
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,7.624121081182265,7.226288164411917,7.926275501929877,7.983078324002728,7.689940767881696,0.3469340480974016
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,6.70775380313343,7.8238806447998215,7.512498414882047,7.577901212076577,7.40550851872297,0.48410155876886873
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,6.47444787117339,5.93431277319087,8.182381303154088,7.032468963160473,6.905902727669705,0.9618657041526765
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,6.586261496479467,7.307659960191008,5.552689006811867,5.21486302648777,6.1653683724925274,0.9593083465116431
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,6.6085251664807485,6.479812731754811,5.6492277462326435,7.423270719658567,6.540209091031693,0.7261681171537192
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,6.702263513803063,5.436848203939746,5.371198835095496,5.04379458469318,5.638526284382872,0.7296987280478721
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,6.8400589539608045,6.461314737085633,5.356702499794499,10.074398531353667,7.183118680548651,2.0276411705720987
LZVEG,,,,,LZVEG,23.43298314884016,27.725411088697356,27.605140587524534,22.62332169379826,25.346714129715078,2.698019144679711
COCNUC,,,,,COCNUC,21.323344062669662,29.869977743938154,29.770638099358738,23.444468039923553,26.102106986472524,4.380052907721028
TUOARG,,,,,TUOARG,23.1299980102071,17.797103912024955,11.840352081398635,15.915054583345771,17.170627146744117,4.68667860216347
CASEQU,,,,,CASEQU,9.510605176104301,10.691239199387509,12.575146582222112,9.953600776601485,10.682647933578851,1.3523829496374395
Desert,,,,,Desert,6.2629343208800785,5.603525491741607,5.918592858332198,5.9253197551069885,5.927593106515218,0.26929520455610184
