vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_mn_ppm,st_dev_mn_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,1,1,1,1,1,0
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,1,1,1,1,1,0
IPOPES,NE,INT ,,,IPOPES:NE:INT,1,1,1,1,1,0
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,1,1,1,1,1,0
IPOPES,SW,INT,,,IPOPES:SW:INT,1,1,1,1,1,0
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,1,1,1,1,1,0
IPOPES,SE,INT,,,IPOPES:SE:INT,1,1,1,1,1,0
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,1,1,1,1,1,0
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,1,1,1,1,1,0
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,1,1,1,1,1,0
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,1,1,1,1,1,0
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,1,1,1,1,1,0
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,1,1,1,1,1,0
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,1,1,1,1,1,0
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,1,1,1,1,1,0
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,1,1,1,1,1,0
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,1,1,1,1,1,0
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,1,1,1,1,1,0
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,1,1,1,1,1,0
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,1,1,1,1,1,0
LZVEG,,,,,LZVEG,1,1,1,1,1,0
COCNUC,,,,,COCNUC,1,1,1,1,1,0
TUOARG,,,,,TUOARG,1,1,1,1,1,0
CASEQU,,,,,CASEQU,1,1,1,1,1,0
Desert,,,,,Desert,1,1,1,1,1,0
