vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_na_meq_100g,st_dev_na_meq_100g
IPOPES,NW,INT,,,IPOPES:NW:INT,0.12,0.07,0.04,0.1,0.0825,0.035
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.1,0.09,0.08,0.07,0.085,0.012909944487358016
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.08,0.11,0.09,0.04,0.08,0.029439202887759478
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.05,0.07,0.05,0.04,0.052500000000000005,0.012583057392117935
IPOPES,SW,INT,,,IPOPES:SW:INT,0.08,0.1,0.04,0.11,0.0825,0.030956959368344514
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.06,0.06,0.04,0.05,0.052500000000000005,0.009574271077563368
IPOPES,SE,INT,,,IPOPES:SE:INT,0.21,0.11,0.09,0.1,0.1275,0.05560275772537427
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.07,0.1,0.12,0.11,0.1,0.021602468994692856
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.08,0.09,0.08,0.11,0.09,0.014142135623730989
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.13,0.14,0.11,0.21,0.1475,0.04349329450233301
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.06,0.11,0.06,0.09,0.07999999999999999,0.024494897427831824
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.15,0.12,0.1,0.08,0.1125,0.029860788111948217
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.08,0.07,0.26,0.12,0.1325,0.08770214744615246
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.13,0.12,0.18,0.33,0.19,0.09695359714832663
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.04,0.1,0.07,0.03,0.060000000000000005,0.031622776601683805
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.03,0.06,0.08,0.1,0.0675,0.029860788111948196
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.04,0.12,0.09,0.04,0.0725,0.03947573094109005
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.04,0.05,0.09,0.11,0.0725,0.03304037933599835
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.03,0.06,0.23,0.07,0.0975,0.0899536917900909
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.05,0.04,0.08,0.07,0.06,0.018257418583505547
LZVEG,,,,,LZVEG,4.8,7.2,1.91,1.41,3.83,2.6981845748576947
COCNUC,,,,,COCNUC,8.22,1.73,3.76,0.45,3.54,3.4046536779335823
TUOARG,,,,,TUOARG,0.67,0.48,0.34,0.49,0.495,0.13527749258468705
CASEQU,,,,,CASEQU,0.24,0.48,0.6,0.74,0.5149999999999999,0.21189620100417111
Desert,,,,,Desert,0.14,0.1,0.12,0.12,0.12,0.016329931618554613
