vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_na_total_bases,st_dev_na_total_bases
IPOPES,NW,INT,,,IPOPES:NW:INT,1.5785648920708404,1.2509884042470532,0.7066563047839366,1.4333369991568607,1.2423866500646727,0.38147033053979235
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,1.883157539854549,1.6332573714720664,1.2881015327090486,1.1474110934571995,1.4879818843732158,0.3332713531260786
IPOPES,NE,INT ,,,IPOPES:NE:INT,1.2661507075548073,1.6758818739016756,1.2616566099835436,0.6928508775815784,1.2241350172554013,0.4039435800995541
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.8089710963523886,1.2078179403107583,0.7730481029676348,0.6722429014760116,0.8655200102766984,0.23542355234721724
IPOPES,SW,INT,,,IPOPES:SW:INT,1.3779857091251904,1.5075570635410243,0.8067927409287401,1.495890734937622,1.2970565621331442,0.3320409766793918
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.9244008731766135,1.2833276807106988,0.7190341771104389,0.8349527002498451,0.9404288578118991,0.24356882907698976
IPOPES,SE,INT,,,IPOPES:SE:INT,2.727444851536783,1.7031572361413054,1.4408608314327946,1.6043000164122765,1.8689407338807897,0.5824661936905784
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,1.0780811180217191,1.7751747934259514,1.9807330231929823,1.7065361007177688,1.6351312588396054,0.3892112887761933
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,1.5345519481156606,1.4000453552630008,1.2106293879509866,1.3979218060850713,1.38578712435368,0.1331186852149042
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,1.7866871944125164,2.3003479517910277,1.6513662838691345,3.5876104880041595,2.3315029795192093,0.8828338600016511
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,1.0006995512634578,1.6771889050502842,1.0028383831475276,1.1954789899408544,1.2190514573505309,0.31878479185431496
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,2.4647517387741376,1.8865193476792435,1.5288367546432062,1.2082911641777208,1.772099751318577,0.5384903676769982
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,1.381027647043241,1.1279760310244926,4.0073161309650525,1.923723462702233,2.110010817933755,1.3077052695106095
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,1.982271481107389,2.167886449323575,2.8534591806947556,5.2688316938418005,3.06811220124188,1.514232333368773
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.5030815352350072,0.9388656773759786,3.4557492708457413,1.060906169690721,1.489650663286862,1.3324223955592842
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.8093059838966737,0.7912417030921159,1.309181008504654,1.230682068553083,1.0351026910116317,0.27314376642612515
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.6586261496479466,2.192297988057302,1.66580670204356,0.6953150701983692,1.3030114774867947,0.7543160803025702
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.6608525166480749,0.8099765914693514,1.694768323869793,1.6331195583248848,1.199679247578026,0.5401191543189281
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.6702263513803063,1.812282734646582,1.2532797281889492,0.504379458469318,1.0600420681712888,0.5955177138217262
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.5130044215470603,0.9691972105628449,1.4284539999452,1.2592998164192084,1.0424888621185784,0.4007083380371036
LZVEG,,,,,LZVEG,33.08185856306846,34.41775169631396,15.064519577763388,15.949441794127775,24.628392907818398,10.55279572090663
COCNUC,,,,,COCNUC,38.95064182114326,11.483346999336224,17.767872897395055,4.395837757485666,18.14942486884005,14.90451789666031
TUOARG,,,,,TUOARG,4.696090505102654,5.695073251847986,4.473021897417262,5.198917830559618,5.01577587123188,0.5452114323780093
CASEQU,,,,,CASEQU,3.2607789175214745,5.701994239673338,5.803913807179437,4.910443049790066,4.919282503541078,1.1755739713063005
Desert,,,,,Desert,1.7536216098464223,1.4008813729354017,1.7755778574996592,1.7775959265320966,1.6769191917033948,0.18434521566131207
