vegetation_class,dir,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,ave_nh4_n,st_dev_of_nh4_n,sample_1_2,sample_2_2,sample_3_2,sample_4_2,ave_nh4_n_2,st_dev_of_nh4_n_2
IPOPES,NE,INT ,,,IPOPES:NE:INT,4,3.5,2.5,2,3,0.9128709291752769,2,1.75,1.25,1,1.5,0.45643546458763845
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,1.5,2.5,3,1.5,2.125,0.75,0.75,1.25,1.5,0.75,1.0625,0.375
IPOPES,NW,INT,,,IPOPES:NW:INT,4.5,1.5,2,2.5,2.625,1.3149778198382918,2.25,0.75,1,1.25,1.3125,0.6574889099191459
ERAVAR,NW,INT B,B,ERAVAR:NW:INT:B,ERAVAR:NW:INT:B,3,5.5,3.5,6,4.5,1.4719601443879744,1.5,2.75,1.75,3,2.25,0.7359800721939872
ERAVAR,NW,EXT B,B,ERAVAR:NW:EXT:B,ERAVAR:NW:EXT:B,4.5,13.5,3.5,2,5.875,5.186119294167203,2.25,6.75,1.75,1,2.9375,2.5930596470836016
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,1,1.5,0.5,1.5,1.125,0.47871355387816905,0.5,0.75,0.25,0.75,0.5625,0.23935677693908453
ERAVAR,SE,INT B,B,ERAVAR:SE:INT:B,ERAVAR:SE:INT:B,2,2,1.5,1.5,1.75,0.28867513459481287,1,1,0.75,0.75,0.875,0.14433756729740643
ERAVAR,SE,EXT B,B,ERAVAR:SE:EXT:B,ERAVAR:SE:EXT:B,5.5,2.5,3.5,3.5,3.75,1.2583057392117916,2.75,1.25,1.75,1.75,1.875,0.6291528696058958
IPOPES,SE,INT,,,IPOPES:SE:INT,4.5,3.5,3,1.5,3.125,1.25,2.25,1.75,1.5,0.75,1.5625,0.625
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,1.5,3,3,3.5,2.75,0.8660254037844386,0.75,1.5,1.5,1.75,1.375,0.4330127018922193
ERAVAR,SW,INT B,B,ERAVAR:SW:INT:B,ERAVAR:SW:INT:B,1.5,4.5,2,1.5,2.375,1.4361406616345072,0.75,2.25,1,0.75,1.1875,0.7180703308172536
ERAVAR,SW,EXT B,B,ERAVAR:SW:EXT:B,ERAVAR:SW:EXT:B,1.5,1.5,1.5,5,2.375,1.75,0.75,0.75,0.75,2.5,1.1875,0.875
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,3,5.5,4.5,5.5,4.625,1.181453906563152,1.5,2.75,2.25,2.75,2.3125,0.590726953281576
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,5.5,6,9.5,2,5.75,3.068658773253661,2.75,3,4.75,1,2.875,1.5343293866268306
IPOPES,SW,INT,,,IPOPES:SW:INT,4.5,4,4,4,4.125,0.25,2.25,2,2,2,2.0625,0.125
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,4,1.5,3,4.5,3.25,1.3228756555322954,2,0.75,1.5,2.25,1.625,0.6614378277661477
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,1.5,2,1.5,2.5,1.875,0.47871355387816905,0.75,1,0.75,1.25,0.9375,0.23935677693908453
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,4.5,3.5,3.5,3.5,3.75,0.5,2.25,1.75,1.75,1.75,1.875,0.25
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,1.5,2.5,2.5,0.5,1.75,0.9574271077563381,0.75,1.25,1.25,0.25,0.875,0.47871355387816905
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,2,4,1.5,3,2.625,1.1086778913041726,1,2,0.75,1.5,1.3125,0.5543389456520863
LZVEG,,,,,LZVEG,18.5,17.5,20.5,20.5,19.25,1.5,9.25,8.75,10.25,10.25,9.625,0.75
COCNUC,,,,,COCNUC,26.5,24.5,25.5,22.5,24.75,1.707825127659933,13.25,12.25,12.75,11.25,12.375,0.8539125638299665
TUOARG,,,,,TUOARG,26.5,21,25.5,26.5,24.875,2.6259918760981216,13.25,10.5,12.75,13.25,12.4375,1.3129959380490608
CASEQU,,,,,CASEQU,24,24.5,24.5,28.5,25.375,2.0966242709015206,12,12.25,12.25,14.25,12.6875,1.0483121354507603
Desert,,,,,Desert,17.5,16.5,16.5,23,18.375,3.1191612120354835,8.75,8.25,8.25,11.5,9.1875,1.5595806060177417
