column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n,column_o,column_p,column_q,column_r,column_s
ERAVAR,NW,INT B,B,ERAVAR:NW:INT:B,ERAVAR:NW:INT:B,19,49,18,46.5,33.125,16.923233536571352,9.5,24.5,9,23.25,16.5625,8.461616768285676,ERAVAR:NW
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,7.5,8.5,5.5,68,22.375,30.442226703489787,3.75,4.25,2.75,34,11.1875,15.221113351744894,ERAVAR:NW
ERAVAR,NW,EXT B,B,ERAVAR:NW:EXT:B,ERAVAR:NW:EXT:B,22.5,57,47.5,32,39.75,15.440746959479217,11.25,28.5,23.75,16,19.875,7.720373479739608,ERAVAR:NW
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,19,21,49.5,15.5,26.25,15.665780116759798,9.5,10.5,24.75,7.75,13.125,7.832890058379899,ERAVAR:NW
ERAVAR,SE,INT B,B,ERAVAR:SE:INT:B,ERAVAR:SE:INT:B,68,46,32.5,93.5,60,26.698938805378265,34,23,16.25,46.75,30,13.349469402689133,ERAVAR:SE
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,10.5,81,74,42,51.875,32.389234322533774,5.25,40.5,37,21,25.9375,16.194617161266887,ERAVAR:SE
ERAVAR,SE,EXT B,B,ERAVAR:SE:EXT:B,ERAVAR:SE:EXT:B,53,7.5,78.5,9.5,37.125,34.66356155965512,26.5,3.75,39.25,4.75,18.5625,17.33178077982756,ERAVAR:SE
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,55.5,17,28,12,28.125,19.43525576540393,27.75,8.5,14,6,14.0625,9.717627882701965,ERAVAR:SE
ERAVAR,SW,INT B,B,ERAVAR:SW:INT:B,ERAVAR:SW:INT:B,17,16,7,15,13.75,4.573474244670748,8.5,8,3.5,7.5,6.875,2.286737122335374,ERAVAR:SW
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,15.5,33,7.5,28.5,21.125,11.7287041057399,7.75,16.5,3.75,14.25,10.5625,5.86435205286995,ERAVAR:SW
ERAVAR,SW,EXT B,B,ERAVAR:SW:EXT:B,ERAVAR:SW:EXT:B,25,12,10.5,41.5,22.25,14.390390312056631,12.5,6,5.25,20.75,11.125,7.195195156028316,ERAVAR:SW
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,12.5,25.5,4,17.5,14.875,9.01272248916312,6.25,12.75,2,8.75,7.4375,4.50636124458156,ERAVAR:SW
IPOPES,NE,INT ,,,IPOPES:NE:INT,25.5,37,12.5,15,22.5,11.18779096455894,12.75,18.5,6.25,7.5,11.25,5.59389548227947,IPOPES:NE
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,4,6.5,4.5,8,5.75,1.848422751068236,2,3.25,2.25,4,2.875,0.924211375534118,IPOPES:NE
IPOPES,NW,INT,,,IPOPES:NW:INT,46,12,14.5,42,28.625,17.85765475456767,23,6,7.25,21,14.3125,8.928827377283834,IPOPES:NW
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,3.5,4,3,29.5,10,13.006408676751114,1.75,2,1.5,14.75,5,6.503204338375557,IPOPES:NW
IPOPES,SE,INT,,,IPOPES:SE:INT,127,47.5,23,10,51.875,52.44103831924002,63.5,23.75,11.5,5,25.9375,26.22051915962001,IPOPES:SE
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,4.5,13,29,0.5,11.75,12.626031311012445,2.25,6.5,14.5,0.25,5.875,6.313015655506223,IPOPES:SE
IPOPES,SW,INT,,,IPOPES:SW:INT,18.5,45,16,32,27.875,13.406310703048272,9.25,22.5,8,16,13.9375,6.703155351524136,IPOPES:SW
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,23.5,0.5,13.5,72.5,27.5,31.44307024873154,11.75,0.25,6.75,36.25,13.75,15.72153512436577,IPOPES:SW
LZVEG,,,,,LZVEG,145.5,308.5,205,164,205.75,72.87260573539736,72.75,154.25,102.5,82,102.875,36.43630286769868,LZVEG
COCNUC,,,,,COCNUC,421,313,317,191.5,310.625,93.84328692026936,210.5,156.5,158.5,95.75,155.3125,46.92164346013468,COCNUC
TUOARG,,,,,TUOARG,116,447.5,570.5,1267.5,600.375,484.4027895254114,58,223.75,285.25,633.75,300.1875,242.2013947627057,TUOARG
CASEQU,,,,,CASEQU,455,481.5,572,817,581.375,164.87640573067654,227.5,240.75,286,408.5,290.6875,82.43820286533827,CASEQU
Desert,,,,,Desert,41,6.5,7.5,9,16,16.698303307022943,20.5,3.25,3.75,4.5,8,8.349151653511472,Desert
