column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n,column_o,column_p,column_q,column_r
ERAVAR,NW,EXT A,A,7,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.82,0.87,0.8,0.43,0.7300000000000001,0.20215505600075023,0.77125,0.29029234033495066,0.755625,0.4657892048269618,ERAVAR:NW
ERAVAR,NW,EXT B,B,10,ERAVAR:NW:EXT,ERAVAR:NW:EXT:B,0.63,0.51,1.38,0.73,0.8125,0.38887658710701506,,,,,ERAVAR:NW
ERAVAR,NW,INT A,A,1,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.84,0.76,0.26,2.08,0.9850000000000001,0.7738001464633272,0.7400000000000001,0.6165109198430424,,,ERAVAR:NW
ERAVAR,NW,INT B,B,4,ERAVAR:NW:INT,ERAVAR:NW:INT:B,0.28,0.92,0.13,0.65,0.495,0.3578174581170312,,,,,ERAVAR:NW
ERAVAR,SE,EXT A,A,9,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.46,0.38,0.23,0.08,0.28750000000000003,0.1680029761641144,0.2675,0.1170775079045624,0.36312500000000003,0.22123046053079276,ERAVAR:SE
ERAVAR,SE,EXT B,B,12,ERAVAR:SE:EXT,ERAVAR:SE:EXT:B,0.32,0.21,0.25,0.21,0.2475,0.051881274720911266,,,,,ERAVAR:SE
ERAVAR,SE,INT A,A,3,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.39,0.95,0.43,0.27,0.51,0.3011090610836324,0.45875,0.26508421842339625,,,ERAVAR:SE
ERAVAR,SE,INT B,B,6,ERAVAR:SE:INT,ERAVAR:SE:INT:B,0.58,0.65,0.31,0.09,0.40750000000000003,0.2574716812907133,,,,,ERAVAR:SE
ERAVAR,SW,EXT A,A,8,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.54,0.68,0.28,0.66,0.54,0.1840289832245636,0.5325,0.18553012847359482,0.5299999999999999,0.18029605283163216,ERAVAR:SW
ERAVAR,SW,EXT B,B,11,ERAVAR:SW:EXT,ERAVAR:SW:EXT:B,0.55,0.82,0.36,0.37,0.525,0.21517434791349999,,,,,ERAVAR:SW
ERAVAR,SW,INT A,A,2,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.68,0.64,0.54,0.26,0.53,0.18938496948455733,0.5275,0.1876737290390655,,,ERAVAR:SW
ERAVAR,SW,INT B,B,5,ERAVAR:SW:INT,ERAVAR:SW:INT:B,0.55,0.82,0.36,0.37,0.525,0.21517434791349999,,,,,ERAVAR:SW
IPOPES,NE,EXT ,,19,IPOPES:NE:EXT,IPOPES:NE:EXT,0.55,0.54,0.9,0.1,0.5225000000000001,0.32765581535100713,0.5225000000000001,0.32765581535100713,0.41375,0.2596666819487739,IPOPES:NE
IPOPES,NE,INT ,,15,IPOPES:NE:INT,IPOPES:NE:INT,0.45,0.28,0.13,0.36,0.305,0.13576941236277543,0.305,0.13576941236277543,,,IPOPES:NE
IPOPES,NW,EXT ,,17,IPOPES:NW:EXT,IPOPES:NW:EXT,0.1,0.22,0.08,0.41,0.2025,0.15152007567755935,0.2025,0.15152007567755935,0.46625,0.3725179765556863,IPOPES:NW
IPOPES,NW,INT,,13,IPOPES:NW:INT,IPOPES:NW:INT,0.96,0.3,0.62,1.04,0.73,0.3396076167186677,0.73,0.3396076167186677,,,IPOPES:NW
IPOPES,SE,EXT ,,20,IPOPES:SE:EXT,IPOPES:SE:EXT,0.21,0.33,0.39,0.12,0.2625,0.12093386622447833,0.2625,0.12093386622447833,0.58,0.7032374116490513,IPOPES:SE
IPOPES,SE,INT,,16,IPOPES:SE:INT,IPOPES:SE:INT,2.25,0.65,0.58,0.11,0.8975,0.9330014290807207,0.8975,0.9330014290807207,,,IPOPES:SE
IPOPES,SW,EXT ,,18,IPOPES:SW:EXT,IPOPES:SW:EXT,0.46,0.19,0.57,0.88,0.525,0.2854820484724039,0.525,0.2854820484724039,0.72875,0.48859675164115224,IPOPES:SW
IPOPES,SW,INT,,14,IPOPES:SW:INT,IPOPES:SW:INT,0.77,0.83,0.35,1.78,0.9325000000000001,0.6040074502851763,0.9325000000000001,0.6040074502851763,,,IPOPES:SW
LZVEG,,,,21,LZVEG,LZVEG,1.56,3.35,2.79,1.52,2.305,0.9125970268050041,2.305,0.9125970268050041,2.305,0.9125970268050041,LZVEG
COCNUC,,,,22,COCNUC,COCNUC,2.52,3.07,4.46,2.47,3.1300000000000003,0.927397793110736,3.1300000000000003,0.927397793110736,3.1300000000000003,0.927397793110736,COCNUC
TUOARG,,,,23,TUOARG,TUOARG,3.09,2.7,1.38,1.37,2.135,0.8919080670113936,2.135,0.8919080670113936,2.135,0.8919080670113936,TUOARG
CASEQU,,,,24,CASEQU,CASEQU,0.76,2.36,1.95,3.75,2.205,1.2334369325857997,2.205,1.2334369325857997,2.205,1.2334369325857997,CASEQU
Desert,,,,25,Desert,Desert,0.15,0.09,0.1,0.01,0.0875,0.05795112883571238,0.0875,0.05795112883571238,0.0875,0.05795112883571238,Desert
