vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_ph,st_dev_ph
IPOPES,NW,INT,,,IPOPES:NW:INT,7.8,8.2,7.9,7.9,7.949999999999999,0.17320508075688737
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,8.8,8.3,8.7,8.3,8.525,0.262995563967658
IPOPES,NE,INT ,,,IPOPES:NE:INT,8,8.3,8.5,8.1,8.225,0.22173557826083465
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,8.7,8.6,8.6,8.7,8.649999999999999,0.05773502691896237
IPOPES,SW,INT,,,IPOPES:SW:INT,7.9,7.7,8.1,7.8,7.875000000000001,0.17078251276599313
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,8,8.7,8.1,7.7,8.125,0.4193248541803038
IPOPES,SE,INT,,,IPOPES:SE:INT,7.5,7.9,7.9,8.4,7.925000000000001,0.36855573979159983
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,8.6,8.3,8.4,8.8,8.524999999999999,0.22173557826083445
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,8,7.9,8.4,7.7,8,0.29439202887759497
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,7.9,7.9,7.8,8.1,7.925000000000001,0.12583057392117902
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,8,7.8,8.4,7.8,8,0.2828427124746193
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,8,7.8,7.7,7.9,7.85,0.12909944487358055
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,8.2,7.7,8.2,8.3,8.1,0.2708012801545319
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,8,8.4,8.3,8.4,8.275,0.1892969448600093
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,7.9,7.8,8.3,8.1,8.025,0.22173557826083473
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,8.1,8.4,8.1,8.6,8.3,0.2449489742783179
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,8,7.8,8.2,8.1,8.025,0.17078251276599307
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,8.1,7.9,8.3,7.8,8.025,0.22173557826083476
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,8,8,8.2,8.3,8.125,0.15000000000000016
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,8,7.9,8.4,7.6,7.975,0.33040379335998377
LZVEG,,,,,LZVEG,8.1,8,8.2,8.2,8.125,0.09574271077563348
COCNUC,,,,,COCNUC,8,8,8,7.8,7.95,0.10000000000000009
TUOARG,,,,,TUOARG,7.7,7.6,7.5,7.7,7.625,0.09574271077563393
CASEQU,,,,,CASEQU,7.7,7.6,7.5,7.4,7.550000000000001,0.12909944487358047
Desert,,,,,Desert,8.7,8.5,8.6,8.6,8.6,0.08164965809277232
