vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_p_bicar_ppm,st_dev_p_bicar_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,101,58,115,130,101,31.016124838541646
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,17,40,21,53,32.75,16.82012683265696
IPOPES,NE,INT ,,,IPOPES:NE:INT,72,47,46,58,55.75,12.120918557051139
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,31,41,56,41,42.25,10.307764064044152
IPOPES,SW,INT,,,IPOPES:SW:INT,11,95,64,114,71,44.99629614386796
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,109,21,81,49,65,38.22738983155053
IPOPES,SE,INT,,,IPOPES:SE:INT,160,76,61,49,86.5,50.22947341949744
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,36,57,59,21,43.25,18.117670931993437
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,67,125,44,123,89.75,40.6560778564124
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,66,61,51,59,59.25,6.238322424070967
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,41,81,49,41,53,19.043809142780933
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,84,81,129,111,101.25,22.89650628371062
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,50,90,48,104,73,28.307831660749528
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,84,39,52,18,48.25,27.64507189355817
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,70,129,50,128,94.25,40.38460927960882
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,55,61,48,58,55.5,5.5677643628300215
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,69,83,70,37,64.75,19.56825660774783
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,89,95,140,129,113.25,25.064915718988566
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,69,84,41,120,78.5,32.90896534380867
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,64,32,52,19,41.75,20.1059692628831
LZVEG,,,,,LZVEG,90,122,117,69,99.5,24.71841418861655
COCNUC,,,,,COCNUC,171,143,158,127,149.75,18.997806890972093
TUOARG,,,,,TUOARG,101,132,80,71,96,27.09243436828813
CASEQU,,,,,CASEQU,107,103,126,154,122.5,23.27373340628157
Desert,,,,,Desert,36,14,10,15,18.75,11.7011395456454
