vegetation_class,dir_quad,int_ext,a_b,column_e,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_so4_s_ppm,st_dev_so4_s_ppm
ERAVAR,NW,INT A,A,1,ERAVAR:NW:INT,ERAVAR:NW:INT:A,6,11,8,17,10.5,4.795831523312719
ERAVAR,SW,INT A,A,2,ERAVAR:SW:INT,ERAVAR:SW:INT:A,12,9,5,7,8.25,2.9860788111948193
ERAVAR,SE,INT A,A,3,ERAVAR:SE:INT,ERAVAR:SE:INT:A,6,14,19,11,12.5,5.446711546122731
ERAVAR,NW,INT B,B,4,,ERAVAR:NW:INT:B,8,16,6,14,11,4.760952285695233
ERAVAR,SW,INT B,B,5,,ERAVAR:SW:INT:B,9,6,4,6,6.25,2.0615528128088303
ERAVAR,SE,INT B,B,6,,ERAVAR:SE:INT:B,13,16,10,17,14,3.1622776601683795
ERAVAR,NW,EXT A,A,7,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,10,10,13,11,11,1.4142135623730951
ERAVAR,SW,EXT A,A,8,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,7,8,5,9,7.25,1.707825127659933
ERAVAR,SE,EXT A,A,9,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,13,11,13,13,12.5,1
ERAVAR,NW,EXT B,B,10,,ERAVAR:NW:EXT:B,12,14,17,10,13.25,2.9860788111948193
ERAVAR,SW,EXT B,B,11,,ERAVAR:SW:EXT:B,9,6,4,10,7.25,2.753785273643051
ERAVAR,SE,EXT B,B,12,,ERAVAR:SE:EXT:B,10,7,13,7,9.25,2.8722813232690143
IPOPES,NW,INT,,13,,IPOPES:NW:INT,12,7,10,13,10.5,2.6457513110645907
IPOPES,SW,INT,,14,,IPOPES:SW:INT,10,11,8,12,10.25,1.707825127659933
IPOPES,NE,INT ,,15,,IPOPES:NE:INT,10,7,10,6,8.25,2.0615528128088303
IPOPES,SE,INT,,16,,IPOPES:SE:INT,24,11,8,6,12.25,8.098353742170895
IPOPES,NW,EXT ,,17,,IPOPES:NW:EXT,6,6,5,8,6.25,1.2583057392117916
IPOPES,SW,EXT ,,18,,IPOPES:SW:EXT,12,4,7,10,8.25,3.5
IPOPES,NE,EXT ,,19,,IPOPES:NE:EXT,6,6,5,6,5.75,0.5
IPOPES,SE,EXT ,,20,,IPOPES:SE:EXT,6,7,11,6,7.5,2.3804761428476167
LZVEG,,,,21,,LZVEG,118,184,65,64,107.75,56.74724662924184
COCNUC,,,,22,,COCNUC,258,70,107,35,117.5,98.17161843764555
TUOARG,,,,23,,TUOARG,41,47,43,122,63.25,39.24601890638081
CASEQU,,,,24,,CASEQU,43,67,79,154,85.75,47.89832982474441
Desert,,,,25,,Desert,7,5,4,4,5,1.4142135623730951
