vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_ca_meq_100g,st_dev_ca_meq_100g
IPOPES,NW,INT,,,IPOPES:NW:INT,6.6,5,5.2,6.1,5.725,0.7544313531837539
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,4.7,4.9,5.7,5.6,5.225,0.49916597106239774
IPOPES,NE,INT ,,,IPOPES:NE:INT,5.6,5.9,6.6,5.2,5.825,0.5909032633745277
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,5.7,5.3,6,5.5,5.625,0.29860788111948205
IPOPES,SW,INT,,,IPOPES:SW:INT,5.2,5.9,4.5,6.6,5.550000000000001,0.9036961141150566
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,5.8,4.2,5.1,5.4,5.125,0.6800735254367694
IPOPES,SE,INT,,,IPOPES:SE:INT,6.8,5.8,5.5,5.7,5.95,0.5802298395176402
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,6,5,5.3,5.8,5.525,0.4573474244670748
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,4.8,5.8,6.1,7.2,5.975,0.9878427675158311
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,6.3,5.4,6,5,5.675,0.5852349955359811
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,5.5,5.9,5.6,7,6,0.6879922480183431
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,5.4,5.7,5.9,5.7,5.675,0.206155281280883
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,5.4,5.6,5.6,5.6,5.550000000000001,0.09999999999999966
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,5.9,5,5.6,5.4,5.475,0.37749172176353757
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,5.5,5.8,5.9,6,5.800000000000001,0.21602468994692872
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,5.7,4.7,5.5,5.2,5.275,0.4349329450233296
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,5.6,4.9,5,5.4,5.225,0.33040379335998327
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,5.6,5.7,4.9,6.1,5.575000000000001,0.49916597106239763
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,5.5,5.1,5.2,5.6,5.35,0.23804761428476162
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,5.4,5.7,5.2,7,5.825,0.8098353742170897
LZVEG,,,,,LZVEG,6,7.5,7.1,5.3,6.4750000000000005,1.0078855755160545
COCNUC,,,,,COCNUC,8,8.6,10.8,7.3,8.675,1.5129992289048433
TUOARG,,,,,TUOARG,10.2,6.3,6.2,7.1,7.449999999999999,1.8770544300401468
CASEQU,,,,,CASEQU,6.3,6.9,8.2,12.5,8.475,2.798064807445798
Desert,,,,,Desert,7.3,6.6,6.2,6.2,6.574999999999999,0.5188127472091125
