vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_ss_mmho_cm,st_dev_ss_mmho_cm
IPOPES,NW,INT,,,IPOPES:NW:INT,0.4,0.22,0.25,0.36,0.3075,0.08616843969807052
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.23,0.19,0.18,0.29,0.22250000000000003,0.049916597106239545
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.31,0.26,0.28,0.25,0.275,0.026457513110645904
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.18,0.23,0.21,0.23,0.2125,0.02362907813126305
IPOPES,SW,INT,,,IPOPES:SW:INT,0.35,0.54,0.27,0.4,0.39,0.11343133018115699
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.32,0.18,0.25,0.52,0.3175,0.14660036380127667
IPOPES,SE,INT,,,IPOPES:SE:INT,1.01,0.52,0.34,0.25,0.53,0.3391164991562633
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.19,0.28,0.38,0.23,0.27,0.08205689083394113
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.26,0.32,0.25,0.61,0.36,0.16950909513454832
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.37,0.37,0.49,0.41,0.41,0.056568542494923955
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.3,0.5,0.26,0.48,0.385,0.1226104943849967
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.42,0.53,0.54,0.4,0.47250000000000003,0.0727438428093175
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.31,0.65,0.83,0.55,0.585,0.21687169786150845
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.56,0.48,0.63,0.71,0.595,0.09814954576223663
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.47,0.61,0.42,0.68,0.545,0.12069244660154428
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.46,0.25,0.69,0.28,0.42,0.20248456731316597
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.32,0.46,0.24,0.31,0.3325,0.09215023964519385
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.26,0.36,0.21,0.37,0.3,0.07788880963698613
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.28,0.27,0.21,0.28,0.26,0.033665016461206995
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.32,0.3,0.22,0.51,0.3375,0.12284814474246915
LZVEG,,,,,LZVEG,6.8,9.02,2.34,2.4,5.14,3.3245350552119817
COCNUC,,,,,COCNUC,9.58,2.78,3.82,1.41,4.3975,3.5932007551299807
TUOARG,,,,,TUOARG,1.12,2.19,2.49,4.8,2.6500000000000004,1.5492578868606726
CASEQU,,,,,CASEQU,2.02,2.42,2.82,4.34,2.9,1.0140348448976826
Desert,,,,,Desert,0.3,0.25,0.24,0.23,0.255,0.031091263510296122
