vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_zn_ppm,st_dev_zn_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,1.7,0.8,1.4,1.8,1.425,0.45
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.3,0.9,0.3,0.8,0.575,0.3201562118716426
IPOPES,NE,INT ,,,IPOPES:NE:INT,1.2,0.6,0.5,0.7,0.75,0.3109126351029603
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.3,0.4,0.4,0.4,0.375,0.05000000000000021
IPOPES,SW,INT,,,IPOPES:SW:INT,1.6,1.3,0.5,1.7,1.2750000000000001,0.5439056290693571
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,1.2,0.1,0.7,0.5,0.625,0.45734742446707477
IPOPES,SE,INT,,,IPOPES:SE:INT,2.9,0.9,0.8,0.5,1.275,1.0965856099730658
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.3,0.6,0.7,0.2,0.44999999999999996,0.2380476142847618
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.5,1.5,0.4,1.3,0.925,0.5560275772537426
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,1.3,1,1.3,2.8,1.5999999999999999,0.8124038404635961
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.6,1.7,0.4,1.2,0.9749999999999999,0.590903263374528
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,1,1.3,1.9,2.7,1.7249999999999999,0.7500000000000008
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.5,0.8,0.5,0.4,0.55,0.1732050807568878
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.8,0.4,0.6,0.2,0.5000000000000001,0.258198889747161
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.6,1,0.5,0.3,0.6,0.2943920288775949
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.6,0.2,0.6,0.2,0.39999999999999997,0.2309401076758504
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.7,0.9,0.4,0.5,0.625,0.22173557826083448
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.4,1,0.3,1,0.675,0.3774917217635374
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.7,0.8,0.4,0.5,0.6,0.18257418583505544
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.5,0.8,0.3,1.5,0.775,0.5251983752196242
LZVEG,,,,,LZVEG,3.8,3.4,2,1.4,2.65,1.1357816691600549
COCNUC,,,,,COCNUC,2.8,2.3,2.6,1.8,2.375,0.4349329450233306
TUOARG,,,,,TUOARG,2.4,1,0.8,1,1.3,0.7393691004272944
CASEQU,,,,,CASEQU,10,3.2,3.2,3.5,4.975,3.3529837458597993
Desert,,,,,Desert,0.4,0.2,0.1,0.2,0.22500000000000003,0.12583057392117913
