vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_ca_total_bases,st_dev_ca_total_bases
IPOPES,NW,INT,,,IPOPES:NW:INT,86.82106906389623,89.35631458907521,91.86531962191175,87.43355694856851,88.86906505586293,2.2708239797779477
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,88.50840437316381,88.9217902245903,91.77723420551972,91.79288747657596,90.25007906996245,1.7804720903723779
IPOPES,NE,INT ,,,IPOPES:NE:INT,88.63054952883651,89.88820960018079,92.52148473212652,90.07061408560519,90.27771448668726,1.6270896252133553
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,92.2227049841723,91.44907262352883,92.76577235611617,92.43339895295159,92.21773722919224,0.5590833074556381
IPOPES,SW,INT,,,IPOPES:SW:INT,89.56907109313738,88.94586674892042,90.76418335448327,89.75344409625733,89.7581413231996,0.7544711544224224
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,89.3587510737393,89.83293764974891,91.67685758158095,90.17489162698327,90.26085948301309,1.0015584131550215
IPOPES,SE,INT,,,IPOPES:SE:INT,88.3172618592863,89.80283608745064,88.05260636533745,91.44510093549975,89.40445131189354,1.5633752994839412
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,92.4069529732902,88.75873967129758,87.48237519102338,89.98099440148236,89.65726555927338,2.09786225503883
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,92.07311688693964,90.22514511694894,92.31049083126273,91.50033639829557,91.52727230836172,0.932315812809833
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,86.58561019076042,88.72770671193963,90.07452457468007,85.41929733343237,87.70178470270312,2.0926860411996917
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,91.7307921991503,89.95831399815161,93.59824909376925,92.98169921762201,92.06726362717329,1.6063406143191705
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,88.73106259586896,89.60966901476407,90.20136852394917,86.09074544766261,88.65821139556121,1.8151027716577433
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,93.21936617541876,90.2380824819594,86.31142435924727,89.77376159277087,89.88565865234908,2.8299281580383986
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,89.96462875795073,90.32860205514896,88.77428562161462,86.21724589922945,88.82119058348594,1.8585360007131442
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,92.23161479308466,90.75701547967793,88.64748129560816,90.93481454491894,90.64273152832241,1.4836831232116665
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,92.2608821642208,92.97090011332362,90.00619433469497,91.42209652108615,91.66501828333138,1.274243434826397
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,92.20766095071254,89.51883451233985,92.54481678019778,93.86753447677985,92.0347116800075,1.8238234555129285
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,92.51935233073048,92.33733142750606,92.2707198551332,90.56390277983452,91.92282659830107,0.9120235496648234
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,92.15612331479211,92.42641946697567,93.10077980832193,94.15083224760603,92.95853870942393,0.8885977277209209
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,92.34079587847086,92.07373500347026,92.84950999643799,88.15098714934459,91.35375700693092,2.1592919993765354
LZVEG,,,,,LZVEG,41.352323203835574,35.851824683660375,55.998999477549766,59.95180248856539,48.288737463402775,11.521948162517452
COCNUC,,,,,COCNUC,37.90816722252384,57.0848463550818,51.03537959890069,71.31025695476747,54.33466253281844,13.861810044049337
TUOARG,,,,,TUOARG,71.4927211224583,74.74783643050482,81.56686989407949,75.33125836116999,75.78467145205316,4.208533661802507
CASEQU,,,,,CASEQU,85.5954465849387,81.96616719530424,79.32015536478562,82.94667313834572,82.45711057084357,2.5929608434931306
Desert,,,,,Desert,91.43884108484914,92.45817061373651,91.73818930414906,91.84245620415832,91.86941430172327,0.42816430998603033
