vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_cu_ppm,st_dev_cu_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,0.3,0.1,0.2,0.3,0.22500000000000003,0.0957427107756337
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.1,0.1,0.1,0.1,0.1,0
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.2,0.1,0.1,0.1,0.125,0.050000000000000024
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.1,0.1,0.1,0.1,0.1,0
IPOPES,SW,INT,,,IPOPES:SW:INT,0.4,0.2,0.1,0.3,0.25,0.1290994448735806
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.1,0.1,0.1,0.1,0.1,0
IPOPES,SE,INT,,,IPOPES:SE:INT,0.9,0.1,0.1,0.1,0.30000000000000004,0.4
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.1,0.2,0.1,0.1,0.125,0.050000000000000024
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.1,0.3,0.1,0.2,0.175,0.09574271077563387
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.1,0.1,0.1,0.2,0.125,0.050000000000000024
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.1,0.3,0.1,0.2,0.175,0.09574271077563387
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.1,0.1,0.4,0.4,0.25,0.1732050807568878
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.1,0.1,0.1,0.1,0.1,0
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.1,0.1,0.1,0.1,0.1,0
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.1,0.1,0.1,0.1,0.1,0
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.1,0.1,0.1,0.1,0.1,0
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.1,0.2,0.1,0.1,0.125,0.050000000000000024
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.2,0.2,0.1,0.2,0.175,0.05000000000000016
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.1,0.2,0.1,0.1,0.125,0.050000000000000024
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.1,0.1,0.1,0.3,0.15000000000000002,0.09999999999999995
LZVEG,,,,,LZVEG,0.6,0.8,1.3,0.3,0.75,0.42031734043061647
COCNUC,,,,,COCNUC,0.7,0.8,0.7,0.4,0.65,0.1732050807568878
TUOARG,,,,,TUOARG,0.2,0.1,0.1,0.1,0.125,0.050000000000000024
CASEQU,,,,,CASEQU,0.1,0.2,0.2,0.3,0.2,0.08164965809277258
Desert,,,,,Desert,0.1,0.1,0.1,0.1,0.1,0
