vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_fe_ppm,st_dev_fe_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,4,1,2,2,2.25,1.2583057392117916
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,1,1,1,1,1,0
IPOPES,NE,INT ,,,IPOPES:NE:INT,2,1,1,1,1.25,0.5
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,1,1,1,1,1,0
IPOPES,SW,INT,,,IPOPES:SW:INT,2,1,1,2,1.5,0.5773502691896257
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,2,1,1,1,1.25,0.5
IPOPES,SE,INT,,,IPOPES:SE:INT,3,1,1,1,1.5,1
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,1,1,1,1,1,0
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,1,2,1,2,1.5,0.5773502691896257
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,1,1,2,1,1.25,0.5
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,1,3,1,2,1.75,0.9574271077563381
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,1,2,3,2,2,0.816496580927726
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,1,1,1,1,1,0
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,1,1,1,1,1,0
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,1,1,1,1,1,0
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,1,1,1,1,1,0
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,2,1,1,1,1.25,0.5
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,1,1,1,1,1,0
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,2,1,1,1,1.25,0.5
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,1,1,1,1,1,0
LZVEG,,,,,LZVEG,2,3,3,2,2.5,0.5773502691896257
COCNUC,,,,,COCNUC,3,4,3,3,3.25,0.5
TUOARG,,,,,TUOARG,1,1,1,1,1,0
CASEQU,,,,,CASEQU,1,1,1,2,1.25,0.5
Desert,,,,,Desert,1,1,1,1,1,0
