vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_k_acet_ppm,st_dev_k_acet_ppm
IPOPES,NW,INT,,,IPOPES:NW:INT,32,10,8,30,20,12.754084313139327
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,4,8,12,12,9,3.8297084310253524
IPOPES,NE,INT ,,,IPOPES:NE:INT,15,21,17,13,16.5,3.415650255319866
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,12,10,7,4,8.25,3.5
IPOPES,SW,INT,,,IPOPES:SW:INT,10,13,7,17,11.75,4.272001872658765
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,12,6,9,15,10.5,3.872983346207417
IPOPES,SE,INT,,,IPOPES:SE:INT,35,19,22,13,22.25,9.287087810503355
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,9,13,15,14,12.75,2.6299556396765835
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,13,15,11,23,15.5,5.259911279353167
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,18,18,20,17,18.25,1.2583057392117916
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,14,19,9,15,14.25,4.112987559751022
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,14,16,16,16,15.5,1
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,5,14,11,7,9.25,4.031128874149275
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,11,6,11,13,10.25,2.9860788111948193
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,13,12,10,11,11.5,1.2909944487358056
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,11,6,12,7,9,2.943920288775949
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,13,21,5,5,11,7.659416862050705
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,5,9,8,10,8,2.160246899469287
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,14,16,16,16,15.5,1
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,7,12,8,16,10.75,4.112987559751022
LZVEG,,,,,LZVEG,121,164,66,51,100.5,51.93906686364963
COCNUC,,,,,COCNUC,150,92,118,34,98.5,49.10872291830308
TUOARG,,,,,TUOARG,38,58,63,131,72.5,40.468094428409486
CASEQU,,,,,CASEQU,47,54,93,129,80.75,38.00328933131973
Desert,,,,,Desert,17,15,15,12,14.75,2.0615528128088303
