vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_k_total_bases,st_dev_k_total_bases
IPOPES,NW,INT,,,IPOPES:NW:INT,1.0766000968940088,0.4570655477702057,0.3614610254649292,1.0997470581766196,0.7487184320764408,0.3940208058656034
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.1926503877089053,0.3713003402039367,0.49415659822597774,0.5030666102114137,0.3902934840875584,0.14483192271848874
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.6071694569476377,0.8182636445462727,0.6094959468519534,0.5758990670435113,0.6527070288473438,0.11142908665735239
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.4965551486561976,0.44129263438463945,0.27679471717511217,0.17192913081227917,0.3466429077570571,0.149260314332555
IPOPES,SW,INT,,,IPOPES:SW:INT,0.44053251570498414,0.5012338062924121,0.361096495300587,0.591261160054396,0.4735309943380948,0.09722526056479931
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.47283932131796086,0.3282167981357286,0.41376647020421675,0.6406286702684233,0.46386281498158244,0.1319548292756447
IPOPES,SE,INT,,,IPOPES:SE:INT,1.1625937133575375,0.7523828757657475,0.9007939270111248,0.5333989824388643,0.8372923746433185,0.26420586982348604
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.35450237713538446,0.5902115681467357,0.6332266698187283,0.5554872218100154,0.533356959227716,0.12340328967285978
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.6377613595109843,0.5967797763269398,0.42573284103135717,0.7475517679599313,0.6019564362073031,0.13361829523583596
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.6327044953654397,0.7564169370156831,0.7678987602274515,0.7427764985515858,0.72494917279004,0.06234789839650133
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.5971779078298555,0.7409111647513462,0.3847206073455989,0.5095818371444392,0.55809787926781,0.14984595506074463
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.5883465361097686,0.6433143555598444,0.6256109481915935,0.618051746382466,0.6188308965609182,0.022915149077869262
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.22075250112583775,0.5769698368411725,0.4336068998683413,0.2870005166009299,0.37958243860907037,0.15882777750217575
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.42897867975961596,0.2772233311155467,0.44597969576076035,0.5308440829260126,0.4207564473904839,0.10555387302049259
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.5575498685468964,0.4802381981462806,0.38427101866404334,0.42637807331377164,0.462109289667748,0.07477316290931914
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.4553639807091259,0.3035454103933949,0.5022433536462867,0.31475244720027695,0.39397629798727113,0.09990723513267641
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.5474514031600579,0.9812075394118359,0.2366875109467974,0.22228742653400552,0.49690847001317423,0.3560111617026038
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.2112699861406889,0.3728792492697781,0.3852840747643747,0.3797069421820239,0.3372850630892164,0.08416306920844503
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.4713868200245121,0.32444959443800697,0.2747416283936315,0.30099370923147706,0.3428929380219069,0.08803594154649758
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.3061407460212636,0.4957530488812506,0.3653335038223018,0.5153145028825405,0.42063545040183914,0.10128198129749597
LZVEG,,,,,LZVEG,2.1328350842557993,2.005012531328321,1.3313403571623084,1.4754340235085823,1.7361554990637529,0.392211585769126
COCNUC,,,,,COCNUC,1.817846893663228,1.5618289016438252,1.4261094043455247,0.8494372478233171,1.4138056118689737,0.40980616774055156
TUOARG,,,,,TUOARG,0.6811903622319381,1.7599864056222463,2.119756127104615,3.554769224924631,2.0289255299708575,1.186755733610405
CASEQU,,,,,CASEQU,1.633169321435521,1.640599365634912,2.3007842458128205,2.1892830352627306,1.9409589920364962,0.3540665804620052
Desert,,,,,Desert,0.5446029844243546,0.5374225215864713,0.5676399800190726,0.45462811420258226,0.5260734000581202,0.0493435490443633
