vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_mg_meq_100g,st_dev_mg_meq_100g
IPOPES,NW,INT,,,IPOPES:NW:INT,0.8,0.5,0.4,0.7,0.6000000000000001,0.18257418583505525
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,0.5,0.5,0.4,0.4,0.44999999999999996,0.05773502691896324
IPOPES,NE,INT ,,,IPOPES:NE:INT,0.5,0.5,0.4,0.4,0.44999999999999996,0.05773502691896324
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,0.4,0.4,0.4,0.4,0.4,0
IPOPES,SW,INT,,,IPOPES:SW:INT,0.5,0.6,0.4,0.6,0.525,0.09574271077563357
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,0.6,0.4,0.4,0.5,0.475,0.09574271077563394
IPOPES,SE,INT,,,IPOPES:SE:INT,0.6,0.5,0.6,0.4,0.525,0.09574271077563357
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,0.4,0.5,0.6,0.5,0.5,0.08164965809277264
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,0.3,0.5,0.4,0.5,0.42500000000000004,0.09574271077563357
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,0.8,0.5,0.5,0.6,0.6,0.14142135623730956
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,0.4,0.5,0.3,0.4,0.4,0.08164965809277241
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,0.5,0.5,0.5,0.8,0.575,0.15000000000000038
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,0.3,0.5,0.6,0.5,0.475,0.12583057392117913
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,0.5,0.4,0.5,0.5,0.475,0.04999999999999999
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,0.4,0.3,0.3,0.3,0.325,0.049999999999999656
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,0.4,0.4,0.3,0.8,0.47500000000000003,0.22173557826083465
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,0.4,0.4,0.3,0.3,0.35000000000000003,0.05773502691896228
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,0.4,0.4,0.3,0.5,0.4,0.08164965809277241
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,0.4,0.5,0.5,0.5,0.475,0.04999999999999999
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,0.4,0.3,0.5,0.4,0.4,0.08164965809277241
LZVEG,,,,,LZVEG,3.4,5.8,3.5,2,3.675,1.5734781006843839
COCNUC,,,,,COCNUC,4.5,4.5,6.3,2.4,4.425,1.5945218719101986
TUOARG,,,,,TUOARG,3.3,1.5,0.9,1.5,1.8,1.039230484541326
CASEQU,,,,,CASEQU,0.7,0.9,1.3,1.5,1.1,0.3651483716701105
Desert,,,,,Desert,0.5,0.4,0.4,0.4,0.42500000000000004,0.049999999999999836
