,keywords,labels,X0,X1
0,Forest restoration,0,-0.6802419786685028,0.14557145997975768
1,HFC gas emissions,3,-0.6226916404561422,0.09724937882420706
2,High-throughput sequencing,3,-0.6379725985285412,0.06513400532588569
3,Laser precipitation monitor ,3,-0.6306265155372225,0.06341269842843802
4,Leaf dry matter content,3,-0.6352164718743565,0.07971034459144512
5,Leaf stomata density,3,-0.6004788694469568,0.06605181063378023
6,Leaf stomata size,3,-0.6176937178876757,0.07469707200093528
7,Living status,2,-0.6793027248961712,0.07073554336054554
8,Phylogenetic signals,0,-0.68628573819317,0.08551573389419866
9,Taxon richness,0,-0.6764970440679484,0.12857311069952615
10,Taxonomic family,2,-0.6688260319733642,0.047708816179050366
11,Vegetation layer height,3,-0.6294318713201185,0.06845907317664073
12,abiotic element,2,-0.6685316877966974,0.07404585809643906
13,above ground,0,-0.671585075350789,0.10368431519598341
14,above-ground,0,-0.671585075350789,0.10368431519598341
15,above-ground biomass,3,-0.6295133937211681,0.08416605880562028
16,aboveground dry matter biomass,3,-0.6346514298501271,0.07628271766091568
17,aboveground wood,2,-0.6791773834351666,0.059266203805120085
18,african coast,3,-0.6214061063887243,0.10996082136086459
19,agricultural land,0,-0.6783026821872231,0.12374988583049532
20,air pollution,0,-0.6502620742707474,0.14631739457292772
21,algal bloom,2,-0.6675238306359816,0.07336438348736898
22,alive tree,3,-0.6273555663667046,0.08956892707930918
23,aquatic animal,2,-0.6899860974386186,0.038176132035126535
24,aquatic food,0,-0.6771781289262226,0.08172710451444025
25,arable land,2,-0.6758557903888226,0.07056600324977469
26,atmospheric carbon dioxide,1,-0.56005207961941,0.0827126333851564
27,atmospheric co2 concentration,3,-0.5952870385780239,0.08002897103783314
28,below ground biomass,3,-0.6264837892886406,0.0814248610297006
29,below-ground,0,-0.6561041313702098,0.08928886914469965
30,below-ground biomass,3,-0.6264837892886406,0.0814248610297006
31,below-ground carbon,3,-0.6275074969329868,0.07866456282181027
32,beta-diversity,0,-0.6694409675431631,0.08291986069582662
33,biodiversity conservation,0,-0.6823008805194333,0.11305879028855315
34,biodiversity conservation policy,3,-0.6068304845471248,0.036151950796117896
35,biodiversity crisis,2,-0.6851710886605737,0.0570818781990531
36,biodiversity los,3,-0.6519457475196481,0.0726177688370722
37,biological community,3,-0.6527272035977612,0.07652275025201817
38,biological organization,0,-0.6590234435925649,0.08301464624526024
39,biomass_above,3,-0.6465671493739887,0.073221236697738
40,biomass_below,3,-0.63355832776991,0.08724833668584502
41,broad-leaved,3,-0.6308560723302526,0.0775851592861215
42,broad-leaved forest,3,-0.6329651649873606,0.06088064989095608
43,carbon content,3,-0.6339637178708933,0.07399335243518583
44,carbon flux,2,-0.6765824441645704,0.007826024904490107
45,carbon nitrogen ratio,3,-0.6182254843229934,0.08042512150380912
46,carbon to nitrogen ratio,3,-0.6182254843229934,0.08042512150380912
47,chemical element,0,-0.6594393497828694,0.09973024138734661
48,chemical leaf composition,3,-0.6162510568069905,0.07858086896358095
49,climate change,2,-0.6701965292890962,0.06611841783552068
50,climate condition,3,-0.6136950857872713,0.06426161661225288
51,climatic condition,3,-0.6446202744003776,0.08929498553907479
52,climatic conditions,2,-0.6144211097197029,-0.012451475527974988
53,co2 concentration,0,-0.6840918478863853,0.07717143967207561
54,coarse material,2,-0.6575861226077319,0.0423155419413571
55,coarse sand,2,-0.6622503894883883,0.01770007466973899
56,coarse silt,2,-0.674231825015533,0.02645998087525757
57,coarse-grained soil,3,-0.60179991903335,0.06538317560170356
58,coastal saline soil,3,-0.6005522965838118,0.06116444580258198
59,coastal water,3,-0.6420485363330385,0.06305122288512457
60,community composition,3,-0.6003090739078335,0.06450671645988044
61,community disassembly,0,-0.6609932172420154,0.08314310194167444
62,community growth,3,-0.6315660837984959,0.08908511552603844
63,community level,3,-0.619526670286112,0.06060209558069996
64,community structure,2,-0.658017898960654,0.06933253042971041
65,conservation effort,3,-0.6233962145613534,0.0933280863559744
66,contents of carbon,3,-0.6356391702212074,0.08445963517943525
67,cooked leaf,2,-0.6754945070722506,0.03483695718027653
68,coverage,1,-0.5100749061056861,0.11878575432931046
69,crown width,2,-0.6777638346634357,0.05783024934071313
70,cultivated area,0,-0.6566674657584322,0.0924802151472015
71,cytochrome c,0,-0.6715033773227961,0.12294286744493874
72,data set,0,-0.6767704301600325,0.096964424019929
73,date time,0,-0.6496019778114783,0.09071181263698477
74,dead wood,0,-0.6608037066240237,0.07862462977566176
75,deep sea system,3,-0.6266540004316835,0.08327895378183556
76,direction,1,-0.5226431828626538,-0.0012909354261977782
77,dissolved inorganic nitrogen,3,-0.6036300786332753,0.07027356302843607
78,diverse tree community,3,-0.6298826715612377,0.06042742527847888
79,drinking water,3,-0.6543266080113689,0.07480688121889038
80,drought resistance,0,-0.6831651687712827,0.1471179318693264
81,drought-sensitive specy,0,-0.6509161089852238,0.10330711393185393
82,dry matter content,3,-0.6312814164344305,0.08027035408763365
83,dry period,2,-0.6552242492933209,0.05893856793656331
84,dry season,3,-0.6407011079575841,0.08320072314717121
85,ecological community,0,-0.6803738863760989,0.09952347782070106
86,ecological recovery,3,-0.6442049537474313,0.06383238176166839
87,energy efficiency,2,-0.6759373869723292,0.04708968675412817
88,environmental background,0,-0.6535047140836262,0.09525660201626499
89,environmental change,0,-0.689016962921337,0.09138109198853815
90,environmental stress,2,-0.6711208984758275,0.0739071860525335
91,environmental upgrading,0,-0.6861162919609988,0.10788578464558703
92,event,1,-0.525077483763267,-0.06644405850347504
