,climate,composition,depth,distance,distribution,grassland,groundwater,habitat,plot,precipitation,rainfall,rate,size,temperature,weather,abundance,biomass,carbon,decomposition,ecosystem,fish,forest,pollination,richness,soil,species,taxon,vegetation,water
climate,0.0,0.038225752691392945,0.019979725150605754,0.030585232027863896,0.006620091002272677,1.912482364868683,1.7443277261561874,1.8076551073434781,0.050908186156107926,1.343707662238776,1.406311628600739,0.0004609397583049679,0.03315063437161314,0.5023477237163871,0.7922206646550501,0.0822837986771453,1.8460174047760687,0.7457115601755343,0.49596018525088825,1.5711309156912603,1.1639944933792736,1.7575669174954678,1.992090226156809,0.12165082568373264,1.034775687023531,1.7023405139653338,1.0141302581814646,1.9809408463466527,0.7935918724220543
composition,0.038225752691392945,0.0,0.0029749064205119025,0.0004329048528188828,0.013134898191056177,1.765568245545211,1.8987519470251608,1.6153086081470698,0.0009273304856108888,1.5877292871636524,1.6410003908262354,0.04698268116886739,0.00018393209921707676,0.7588963627183481,1.0680303121401982,0.008583485371902677,1.6676766114254435,0.49059003317570016,0.7517408099701475,1.3245120564065311,0.8875896154150565,1.5498549095696807,1.9197921181519604,0.02432379622636971,1.307124287376848,1.4805599060068078,0.7397738947720183,1.890234031592719,1.0694285906049048
depth,0.019979725150605754,0.0029749064205119025,0.0,0.001138786696922911,0.003619106552796958,1.8128790138714135,1.8622829778768808,1.6742373724814152,0.0072181168971642284,1.5236205920877859,1.5799332593754172,0.026469782130729924,0.0016800266402082764,0.6848098208979398,0.9909288563947749,0.021610089800483734,1.7230708967646016,0.5584326371872381,0.6778147367585842,1.3964529828926173,0.9645131386286148,1.61259902759809,1.9473015506183504,0.04412304493420938,1.2328581877883218,1.5467244400485303,0.8149701827906022,1.922694798112575,0.9923304000569809
distance,0.030585232027863896,0.0004329048528188828,0.001138786696922911,0.0,0.008809183096551654,1.7841652616078565,1.8854628146140073,1.6382347722659676,0.002626598080956888,1.5636711990741363,1.6181407351214054,0.038483021552621066,5.248596642470904e-05,0.7304472292800595,1.0386475636794352,0.012859275086713584,1.6892904190455829,0.5161284303510028,0.7233479014562094,1.3522007898873083,0.9168732611217083,1.5741914487298998,1.9309390926955137,0.03119584543969689,1.2789918283611903,1.5061533686572113,0.7682943709943127,1.9032502206467017,1.0400480710131748
distribution,0.006620091002272677,0.013134898191056177,0.003619106552796958,0.008809183096551654,0.0,1.8594442818916055,1.8161156659667916,1.734571485620667,0.021005560310297544,1.4493090928391,1.5085874281422829,0.0105654779553227,0.010218129558186795,0.6052824597245211,0.9059645055822119,0.042726443763612565,1.7791702693179525,0.6362957129161064,0.5985126039995391,1.4730534765589478,1.049588708574915,1.677565978813131,1.9711025552479828,0.0725528879356635,1.1493513807102178,1.615917924138007,0.8991727883093982,1.9521258808857889,0.9073599796929103
grassland,1.912482364868683,1.765568245545211,1.8128790138714135,1.7841652616078565,1.8594442818916055,0.0,0.5940277086694291,0.02179156701098961,1.7371581663741598,1.0705641586470378,1.0030712718399613,1.9244821069826785,1.7777662710189777,1.808956616095141,1.5897823576204502,1.674883955527573,0.009901661841213216,0.8363659662000317,1.8132729543535262,0.14302653347315553,0.44678079536274085,0.04167998073192991,0.04338012780147915,1.6059126504710757,1.3771363816449007,0.06790104066826963,0.5780311940163043,0.025414828855454985,1.588649905205203
groundwater,1.7443277261561874,1.8987519470251608,1.8622829778768808,1.8854628146140073,1.8161156659667916,0.5940277086694291,0.0,0.7926202006273226,1.9167966388299007,0.11703980155247529,0.08736577552426872,1.723710474960059,1.8901775042015376,0.7911696799312008,0.5014159661921451,1.9483620319118704,0.7263346262794159,1.835136342889973,0.7983924832403185,1.1230729766368603,1.5367075028285677,0.8720428828613689,0.34538837280786794,1.9730080674816461,0.30670490211712675,0.952606330165153,1.6572303066151113,0.399619301588669,0.5002014976239302
habitat,1.8076551073434781,1.6153086081470698,1.6742373724814152,1.6382347722659676,1.734571485620667,0.02179156701098961,0.7926202006273226,0.0,1.580797723826455,1.2761341870237746,1.2106286561774886,1.8251841507370186,1.6303139009116236,1.9133845206148732,1.744600421149356,1.5069655168281435,0.00233195219809057,0.6351050750124827,1.9163639605440332,0.0546994476180126,0.28587702451748875,0.003245365540816336,0.12471572118528984,1.4275364710648497,1.5612117584726781,0.013010286056939102,0.39899131741721783,0.0931642210929069,1.7436641121808185
plot,0.050908186156107926,0.0009273304856108888,0.0072181168971642284,0.002626598080956888,0.021005560310297544,1.7371581663741598,1.9167966388299007,1.580797723826455,0.0,1.6220188840434142,1.6734530362396387,0.06090872275000192,0.0019368548867376711,0.8009055624783872,1.110923265988981,0.00387368505572383,1.6350045099978732,0.4540118858878941,0.7936788981053452,1.283485448932391,0.8449109605926164,1.5133822254072558,1.9020438171735097,0.015790023961266275,1.3478143598126828,1.4423559809210171,0.6984427913318187,1.8697964308035377,1.1123161001919863
precipitation,1.343707662238776,1.5877292871636524,1.5236205920877859,1.5636711990741363,1.4493090928391,1.0705641586470378,0.11703980155247529,1.2761341870237746,1.6220188840434142,0.0,0.002280740058276276,1.3150398325675134,1.5721043456499255,0.3565137231446569,0.15283332122227655,1.6884617923321876,1.2098910333774529,1.9956086516260987,0.36218019178495964,1.5745474747256718,1.8699966124591525,1.3526078112877762,0.7768903014900523,1.7507923985919684,0.04953864010903353,1.427073606356836,1.9341262643537758,0.8453119178637707,0.1520894491274365
