,climate,composition,depth,distance,distribution,grassland,groundwater,habitat,plot,precipitation,rainfall,rate,size,temperature,weather,abundance,biomass,carbon,decomposition,ecosystem,fish,forest,pollination,richness,soil,species,taxon,vegetation,water
climate,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True
composition,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True
depth,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True
distance,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True
distribution,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True
grassland,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True
groundwater,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,False
habitat,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True
plot,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True
precipitation,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
rainfall,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
rate,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True
size,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True
temperature,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
weather,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
abundance,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True
biomass,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True
carbon,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True
decomposition,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
ecosystem,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True
fish,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True
forest,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True
pollination,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,True
richness,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True
soil,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
species,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True
taxon,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True
vegetation,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,False,True
water,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
