Keywords,Categories
nutrient content,Quality
rRNA,Material
Forest Reserve,Environment
tropical forest,Environment
Oxygen Uptake,Process
dry matter,Quality
seawater,Material
permafrost,Material
Leaf Area Index,Quality
species distribution,Quality
boreal,Environment
Abundance,Quality
distance,Quality
CHCl3,Material
salinity,Quality
Chlorophyll,Material
detritu,Material
Shannon-Wiener index,Quality
glaciation,Process
Habitat Fragmentation,Process
cation,Material
Peatland,Environment
hemicellulose,Material
1mhcl,Material
oxygen,Material
dead organic matter,Material
microhabitat,Environment
old,Quality
Pyropheophytin,Material
pack ice,Environment
Tetradecanoic acid,Material
Carbon dioxide,Material
Chromium,Material
fluorescence,Process
degradation,Process
Docosahexaenoic acid,Material
reproduction,Process
small,Quality
herb,Environment
Cation,Material
Sulfur,Material
Plant height,Quality
Fragmentation,Process
DNA,Material
magnetic,Quality
Reproduction,Process
pasture,Environment
seed,Material
C,Material
drop,Environment
Aboveground,Environment
Iron oxide,Material
Chloroform,Material
rhizosphere,Environment
nitrogen uptake,Process
As,Material
dry weight,Quality
Volume,Quality
Bromide,Material
P,Material
water,Material
herb layer,Environment
charcoal,Material
high temperature,Quality
bottom water,Environment
ocean acidification,Process
understory,Environment
vegetation,Environment
Forest,Environment
pattern,Quality
Phosphorus concentration,Quality
short,Quality
angular distance,Quality
rock,Material
carbon,Material
ammonium,Material
air,Material
Fe sulphide,Material
Phosphoru,Material
nitrogen,Material
coastal erosion,Process
angle,Quality
position,Quality
belowground,Environment
heavy,Quality
shallow,Quality
Sediment,Material
slope,Environment
macronutrient,Material
DEPTH,Quality
B,Material
Strontium,Material
trait,Quality
Na,Material
Deadwood,Material
xylosidase,Material
climate,Process
combustion,Process
large-sized,Quality
storm,Process
rhizodeposition,Process
wet mas,Quality
Cr,Material
Pb,Material
Aluminium,Material
carbon uptake,Material
pH,Quality
Woodland,Environment
climatic,Process
Fatty acid methyl ester,Material
landscape,Environment
PO4,Material
dense,Quality
rainfall,Process
temperature,Quality
acidification,Process
rain forest,Environment
Planet,Environment
National Nature Reserve,Environment
retreat,Process
Zinc,Material
Enzyme measurement,Quality
long,Quality
completenes,Quality
rate,Quality
tropic,Environment
plastic,Material
Lead,Material
Fe oxide,Material
phophatase,Material
Bromine,Material
solubility,Quality
haematite,Material
National Forest Reserve,Environment
phosphatase,Material
Calcium,Material
Copper,Material
coastal,Environment
Nitrogen oxide,Material
fossil,Material
cellulose,Material
respiration,Process
Climate,Environment
wavelength,Quality
Carbon,Material
Belowground,Environment
K2SO4,Material
Cryosphere,Environment
Alkalinity,Quality
Soil profile,Environment
biomas,Quality
growth rate,Quality
soil,Material
speed,Quality
Growth,Process
standard deviation,Quality
Slope,Environment
pH,Material
benthic,Environment
Age-depth,Quality
well,Environment
current,Environment
permanent,Quality
light condition,Quality
Adaptive radiation,Process
sea floor,Environment
Pressure,Quality
HNO3,Material
N-Acetyl-betaglucosaminidase,Material
damaged,Quality
field,Environment
Niobium,Material
median age,Quality
strong,Quality
older,Quality
carbonate,Material
Aboveground plant biomas,Quality
Soil depth,Quality
mineral,Material
pond,Environment
fresh,Quality
NH4Cl,Material
sulphur,Material
deforestation,Process
NO3,Material
sediment,Material
count,Quality
fertilization,Process
dry weigth,Quality
polarity,Quality
,Material
vegetation layer,Environment
nitrate content,Quality
herb,Material
H2,Material
canopy,Environment
climatic,Environment
subtropical,Quality
dead wood,Material
Dry volume,Quality
riparian buffer strip,Environment
Silicon,Material
Rubidium,Material
LATITUDE,Quality
diameter,Quality
odor,Quality
lowland,Environment
aboveground,Environment
climate,Environment
Water,Environment
dry,Environment
Carbon storage,Process
Tropical,Environment
hydrogen,Material
Freezing,Process
dead wood,Quality
morphology,Quality
Ti,Material
Sodium,Material
synthesi,Process
Water,Material
spatial scale,Quality
Desert,Environment
mean age,Quality
soil depth,Quality
formation,Material
bioirrigation,Process
flood,Environment
island,Environment
frequent,Quality
soil profile,Environment
Seawater,Environment
4-methylumbelliferone,Material
growth,Quality
Age,Quality
weather,Environment
hcl,Material
Ocean acidification,Process
continental shelf,Environment
Rb,Material
Dry,Quality
coastline,Environment
acidity,Quality
Dissimilarity,Quality
ion,Material
dryland,Environment
biomas,Material
Pyrophytin,Material
Titanium dioxide,Material
NO3-,Material
Ocean,Environment
Decomposition,Process
shape,Quality
resin,Material
transient,Quality
breeding,Process
tree ring,Quality
dissolved,Quality
lake,Environment
damage,Quality
deep,Quality
habitat  fragmentation,Process
Latitude,Quality
N2,Material
above ground,Environment
metal,Material
shrub,Environment
biome,Environment
retreat rate,Quality
wide,Quality
reef,Environment
mesocosm,Material
rain,Process
β-N-acetylglucosaminidase,Material
po,Material
Sea,Environment
large,Quality
garden,Environment
NH3,Material
precipitation,Process
rhiszosphere,Environment
deep sea,Environment
cold,Quality
Phaeophytin,Material
subtropical,Environment
nitrate,Material
air,Environment
Biogeochemical Cycle,Process
soil horizon,Environment
saturation,Environment
part of,Quality
Climate,Process
iceberg,Environment
Chlorine,Material
nutrient,Material
ratio,Material
Arsenic,Material
age,Environment
ice,Environment
Salinity,Quality
mas,Quality
glacial,Environment
meadow,Environment
p,Material
median,Quality
fluorescent,Quality
field,Material
Bicarbonate ion,Material
uptake,Process
ratio,Quality
decomposition,Process
Nutrient,Material
area,Quality
Fe2O3,Material
abundance,Quality
tropical,Environment
Nitrate,Material
saturation,Quality
resilient,Quality
breastheight,Quality
beta-glucosidase,Material
15N,Material
content,Environment
Park,Environment
litter,Material
Titanium,Material
precipitation,Quality
Phosphate,Material
mainland,Environment
soil layer,Environment
groundwater,Environment
Nature Reserve,Environment
enzyme,Material
NO2,Material
N-cycling,Process
mixed forest,Environment
seawater,Environment
plot,Environment
conductivity,Quality
Soil moisture,Quality
age,Quality
susceptibility,Quality
basin,Environment
heat combustion,Process
spatial variability,Quality
resilient,Material
extinction,Process
Standard Deviation,Quality
Seed,Material
ice-free,Material
direction,Quality
soil,Environment
Fe,Material
sea,Environment
sand,Material
river,Environment
plant height,Quality
erosion,Process
dry mas,Quality
correlation,Quality
depth,Quality
growth,Process
arable field,Environment
size,Quality
Carbonate ion,Material
soil depth,Environment
Gene,Material
chitinase,Material
Botanical Garden,Environment
Height,Quality
regression,Quality
anion,Material
bioirrigation index,Quality
tree layer,Environment
nutrient acquisition,Process
frequency,Quality
carbon uptake,Process
recolonizing,Process
peatland,Environment
s,Material
small-sized,Quality
soil base,Quality
shoreline,Environment
Mediterranean,Quality
ocean,Environment
tropic,Quality
Cl,Material
redox,Process
Peninsular,Environment
buffer strip,Environment
S content,Quality
composition,Quality
deadwood,Material
Si,Material
Organic matter,Material
NH4,Material
proportion,Quality
molybdenum,Material
Mu,Material
hc,Material
mesocosm,Environment
mountain,Environment
pH value,Quality
H,Material
porosity,Quality
habitat,Environment
Zn,Material
KCl,Material
content,Quality
carbon content,Quality
variance,Quality
naoh,Material
Ca,Material
Mas,Quality
pool,Environment
saturation state,Material
bulk soil,Environment
climate change,Process
richnes,Quality
O2,Material
gravel,Material
Glucose,Material
coniferous forest,Environment
old-growth forest,Environment
S,Material
12-methyl-Tetradecanoic acid,Material
CO2,Material
backwater,Environment
Wildgras,Environment
temperate,Quality
warm,Quality
Learning,Process
nutrient cycling,Process
pH-value,Quality
fragmented,Quality
micronutrient,Material
nahco3,Material
Aquarium,Environment
leaf number,Quality
Morphology,Quality
rainfall rate,Quality
canopy layer,Environment
ammonium content,Quality
Temperature,Quality
height,Quality
life,Process
H20,Material
Calibration,Process
humidity,Quality
Short distance,Quality
lead,Material
pollination,Process
Calcite,Material
thermal conductivity,Quality
Magnesium,Material
sulphur content,Quality
pus,Material
plantation,Environment
oxide,Material
distribution,Quality
Functional,Quality
greigite,Material
pH measurement,Quality
Br,Material
dioxide,Material
Habitat,Environment
Small,Quality
organic matter,Material
Potassium,Material
dispersion,Process
LONGITUDE,Quality
rock,Environment
Bromide concentration,Quality
forest,Environment
Species diversity,Quality
irrigation rate,Quality
intensification,Process
Dam,Environment
D-Glucose,Material
rainforest,Environment
Cu,Material
Nitrite,Material
H2O,Material
young,Quality
length,Quality
heat combustion,Quality
bioturbation,Process
glucosidase,Material
treatment,Process
soil base,Environment
Carbon Nitrogen ratio,Quality
K,Material
SiO2,Material
Short,Quality
ice,Material
Barium,Material
Climate change,Process
pressure,Quality
sedimentary,Material
alcohol,Material
Earth,Environment
Nitrogen,Material
magnetization,Quality
Mn,Material
acidic,Quality
mineral,Quality
nitrogen content,Quality
Ba,Material
lead,Environment
ecosystem,Environment
grassland,Environment
slope,Quality
thick,Quality
13-methyl-Tetradecanoic acid,Material
Entropy,Quality
water depth,Quality
Tropical,Quality
radiu,Quality
wet,Quality
"all-cis-4,7,10,13,16,19-Docosahexaenoic acid",Material
wood,Material
coastal change,Process
species richnes,Quality
TiO2,Material
burrow,Environment
flowering,Process
fluorescence,Quality
tropical,Quality
S,Quality
Diameter,Quality
Aragonite,Material
ground,Environment
mineral soil,Environment
subtropic,Environment
Longitude,Quality
bioirrigation rate,Quality
broad,Quality
body mas,Quality
Silva,Environment
phosphorou,Material
cropland,Environment
soil fertility,Quality
density,Quality
N,Material
weight,Quality
resettlement,Process
Sr,Material
temperate rainforest,Environment
stream,Environment
ethanol,Material
Rainforest,Environment
dry,Quality
Island,Environment
Ammonium,Material
detrital,Material
dry-weight,Quality
Al,Material
nutrient retention,Process
Iron,Material
Land,Environment
water content,Quality
Grain size,Quality
NOx,Material
glass house,Environment
Fugacity,Quality
Nitrogen concentration,Quality
Shore,Environment
tree population,Quality
Coastline retreat,Process
mud,Material
fossil,Environment
Ecosystem,Environment
NH4+,Material
Mg,Material
ice nucleation,Process
abundant,Quality
intensity,Quality
Soil,Environment
