Keywords,Categories
ALTITUDE,Thing
Abundance,Thing
Age,Thing
Altitude,Thing
Ant,Thing
Ants,Thing
Area,Thing
Ascomycota,Thing
Bacteria,Thing
Basal area,Thing
Bent,Thing
Biodiversity,Thing
Biological,Thing
Biomass,Thing
Biomass_Above,Thing
Biomass_Below,Thing
Botanical,Thing
Botanical Garden,Thing
Botany,Thing
C,Thing
CNS,Thing
CSP,Thing
Calcium,Thing
Carbon,Thing
Carbon Nitrogen ratio,Thing
Carbon content,Thing
Chemical,Thing
Chemistry,Thing
Coarse,Thing
Coarse material,Thing
Community,Thing
Community Composition,Thing
Composition,Thing
Conservation,Thing
Contents of carbon,Thing
Crusts,Thing
DNA,Thing
Date,Thing
Date time,Thing
Dead,Thing
Dead wood,Thing
Decay,Thing
Density,Thing
Depth,Thing
Diameter,Thing
Distance,Thing
Diversity,Thing
Ecology,Thing
Ecosystem,Thing
Energy,Thing
Environmental,Thing
Experiment,Thing
Family,Thing
Flora,Thing
Forest,Thing
Forest Reserve,Thing
Functional biodiversity,Thing
Functional diversity,Thing
Functional trait,Thing
Fungal,Thing
Fungal communities,Thing
Fungal diversity,Thing
Fungi,Thing
Garden,Thing
H2O,Thing
Height,Thing
Herb,Thing
Herb layer,Thing
Herbivore,Thing
Herbivory,Thing
Herblayer,Thing
Individual,Thing
KCL,Thing
KCl,Thing
Kinetic energy,Thing
Landscape,Thing
Leaf,Thing
Leaf trait,Thing
Leaf traits,Thing
Leaves,Thing
Lipid,Thing
Lipids,Thing
Living,Thing
Living status,Thing
Location,Thing
Mass,Thing
Metal,Thing
Microbial,Thing
Microbial biomass,Thing
Month,Thing
N,Thing
National Forest,Thing
National Forest Reserve,Thing
National Nature Reserve,Thing
Nature,Thing
Nature Conservation,Thing
Nature Reserve,Thing
Nitrogen,Thing
Nitrogen concentration,Thing
Organic,Thing
Organism,Thing
Organisms,Thing
Phylogenetic,Thing
Phylum,Thing
Plant,Thing
Plant family name,Thing
Plant height,Thing
Plant leaf,Thing
Planted_Species,Thing
Plot,Thing
Plots,Thing
Position,Thing
Precipitation,Thing
Rain,Thing
Rainfall,Thing
Reasearch plot,Thing
Research plot,Thing
Reserve,Thing
Rock,Thing
Rock fragments,Thing
Rockmaterial,Thing
Root,Thing
Root intensity,Thing
S content,Thing
SLOPE,Thing
Samples,Thing
Sand,Thing
Scientific plant,Thing
Scientific plant species name,Thing
Scientific species,Thing
Secondary,Thing
Seedling,Thing
Site,Thing
Sites,Thing
Size,Thing
Slope,Thing
Soil,Thing
Soil Crusts,Thing
Soil Ecology,Thing
Soil colour,Thing
Soil depth,Thing
Soil horizon,Thing
Soil horizons,Thing
Soil moisture,Thing
Soil profile,Thing
Soil structure,Thing
Species,Thing
Species name,Thing
Stem,Thing
Subplot,Thing
Subplots,Thing
Sulphur,Thing
TAG,Thing
THEACEAE,Thing
TREE,Thing
Tag,Thing
Tannin,Thing
Taxa,Thing
Taxon,Thing
Taxonomic,Thing
Taxonomy,Thing
The Gutianshan National Nature Reserve,Thing
Treatment,Thing
Tree,Thing
Tree species,Thing
Trees,Thing
Weather,Thing
Wind,Thing
Wood,Thing
Woody,Thing
Young,Thing
aboveground,Thing
aboveground dry matter biomass,Thing
aboveground wood,Thing
abundance,Thing
abundant,Thing
acetic,Thing
acetic acid,Thing
acid,Thing
acidity,Thing
age,Thing
ages,Thing
agricultural,Thing
alive,Thing
alive trees,Thing
altitude,Thing
ant,Thing
ants,Thing
area,Thing
areas,Thing
average temperature,Thing
bacteria,Thing
bacterial,Thing
basal area,Thing
base,Thing
below ground biomass,Thing
bent,Thing
biodiversity,Thing
biodiversity relationships,Thing
biodiversityâ€“ecosystem functioning,Thing
biological,Thing
biological mechanisms,Thing
biomass,Thing
broad,Thing
broad-leaved,Thing
broad-leaved forests,Thing
calcium,Thing
canopy,Thing
canopy layer,Thing
carbon,Thing
