Keywords,Categories
aboveground,Thing
aboveground dry matter biomas,Thing
aboveground wood,Thing
abundance,Thing
abundant,Thing
acetic,Thing
acetic acid,Thing
acid,Thing
acidity,Thing
age,Thing
agricultural,Thing
alive,Thing
alive tree,Thing
altitude,Thing
ant,Thing
area,Thing
ascomycotum,Thing
average temperature,Thing
bacterial,Thing
bacterium,Thing
basal area,Thing
base,Thing
below ground biomas,Thing
bent,Thing
biodiversity,Thing
biodiversity relationship,Thing
biodiversityâ€“ecosystem functioning,Thing
biological,Thing
biological mechanism,Thing
biomas,Thing
biomass_above,Thing
biomass_below,Thing
botanical,Thing
botanical garden,Thing
botany,Thing
broad,Thing
broad-leaved,Thing
broad-leaved forest,Thing
c,Thing
calcium,Thing
canopy,Thing
canopy layer,Thing
carbon,Thing
carbon content,Thing
carbon nitrogen ratio,Thing
caterpillar,Thing
charcoal,Thing
chemical,Thing
chemical leaf composition,Thing
chemistry,Thing
clay,Thing
climate,Thing
climate change,Thing
climatic,Thing
climatic condition,Thing
cn,Thing
coarse,Thing
coarse material,Thing
coarse sand,Thing
coarse silt,Thing
coarse-grained soil,Thing
community,Thing
community composition,Thing
community growth,Thing
community level,Thing
community structure,Thing
completenes,Thing
composition,Thing
compound,Thing
concentration,Thing
conservation,Thing
content,Thing
contents of carbon,Thing
cotton,Thing
count,Thing
crust,Thing
csp,Thing
curved,Thing
damaged,Thing
dataset,Thing
date,Thing
date time,Thing
dead,Thing
dead wood,Thing
deadwood,Thing
decay,Thing
decayed,Thing
decomposition,Thing
deforestation,Thing
density,Thing
depth,Thing
development,Thing
diameter,Thing
direction,Thing
distance,Thing
distribution,Thing
diverse tree community,Thing
diversity,Thing
diverstiy,Thing
dna,Thing
drought resistance,Thing
drought-sensitive specy,Thing
dry,Thing
dry matter content,Thing
dry season,Thing
earth,Thing
ecological,Thing
ecology,Thing
ecosystem,Thing
ecosystem functioning,Thing
elevation,Thing
energy,Thing
environmental,Thing
erosion,Thing
ethanol,Thing
event,Thing
evolution,Thing
experiment,Thing
exposed,Thing
family,Thing
family name,Thing
fatty acid,Thing
fecundity,Thing
field,Thing
fine sand,Thing
fine-grained soil,Thing
flora,Thing
focal tree,Thing
forest,Thing
forest ecosystem,Thing
forest floor,Thing
forest reserve,Thing
fragment,Thing
fullname,Thing
functional,Thing
functional biodiversity,Thing
functional diversity,Thing
functional group,Thing
functional trait,Thing
fungal,Thing
fungal community,Thing
fungal diversity,Thing
fungal family,Thing
fungi,Thing
garden,Thing
genu,Thing
genus,Thing
glycerol,Thing
gravel,Thing
ground,Thing
group,Thing
growing,Thing
growth,Thing
h2o,Thing
height,Thing
herb,Thing
herb layer,Thing
herbaceou,Thing
herbivore,Thing
herbivore diversity,Thing
herbivory,Thing
herbivory class,Thing
herblayer,Thing
horizontal,Thing
humid,Thing
ice,Thing
ice storm,Thing
in th,Thing
individual,Thing
individual growth,Thing
individual tree,Thing
insect,Thing
intensity,Thing
interaction,Thing
iron,Thing
kcl,Thing
kinetic energy,Thing
landscape,Thing
large,Thing
layer,Thing
leaf,Thing
leaf area,Thing
leaf penetration strength,Thing
leaf trait,Thing
leave damage,Thing
length,Thing
lepidopteran phylogenetic diversity,Thing
light,Thing
light condition,Thing
lipid,Thing
live,Thing
living,Thing
living leaf,Thing
living statu,Thing
living tissue,Thing
location,Thing
magnesium,Thing
magnetic,Thing
magnetic field,Thing
mas,Thing
measurement,Thing
mechanism,Thing
metal,Thing
microbe,Thing
microbe biomas,Thing
microbial,Thing
microbial biomas,Thing
microbial community,Thing
microclimate,Thing
minimum temperature,Thing
mitigation,Thing
mixed broad-leaved forest,Thing
month,Thing
morphology,Thing
mortality rate,Thing
n,Thing
national forest,Thing
national forest reserve,Thing
national nature reserve,Thing
natural enemy,Thing
nature,Thing
nature conservation,Thing
nature reserve,Thing
nb_richnes,Thing
ndicate,Thing
neighbour diversity,Thing
neighbour richnes,Thing
nitrogen,Thing
nitrogen concentration,Thing
nitrogen content,Thing
observation,Thing
observed.div,Thing
old,Thing
organic,Thing
organic carbon,Thing
organic carbon content,Thing
organic compound,Thing
organic nitrogen,Thing
organic nitrogen content,Thing
organic soil,Thing
organism,Thing
penetration,Thing
perpendicular to,Thing
ph,Thing
ph value,Thing
ph-value,Thing
phosphoru,Thing
photosynthetically,Thing
phylogenetic,Thing
phylum,Thing
plant,Thing
plant community,Thing
