assembly,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,accessions,curator_notes
GCF_000967185.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Bin2,NZ_KQ033855.1-NZ_KQ033863.1,An isolate from Apis mellifera gut.
GCF_000967265.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Bin7,NZ_KQ033884.1-NZ_KQ033889.1,An isolate from Apis mellifera gut.
GCF_000771125.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,DSM 20089,NZ_JDTU01000001.1-NZ_JDTU01000115.1,An isolate from the hind gut of honey bee.  Genome assembly of isolate DSM_20089.
Not Available,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,DSM 20089,NC_010908.1,Plasmid pCIBAO89 assembly of isolate DSM_20089 only.
GCF_000970835.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Hma3,NZ_KQ034039.1-NZ_KQ034045.1,An isolate from Apis mellifera gut.
GCF_000304215.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,PRL2011,NC_018720.1,An isolate from the hindgut of Apis mellifera var. ligustica.
GCF_000219535.2,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus,LMG 15441,NZ_CP007806.1-NZ_CP007808.1,"Source of isolate uncertain.  1 complete chromome (NZ_CP007806.1) and two complete plasmids (NZ_CP007807.1, NZ_CP007808.1)."
GCF_000293805.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus alvei,DSM 29,NZ_AMBZ01000001.1-NZ_AMBZ01000025.1,none
GCF_000153605.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,BRL-230010,"NZ_AARF01000001.1-NZ_AARF01000024.1, NZ_AARF01000026.1-NZ_AARF01000038.1, NZ_AARF01000040.1, NZ_AARF01000042.1-NZ_AARF01000045.1, NZ_AARF01000056.1, NZ_AARF01000058.1, NZ_AARF01000064.1, NZ_AARF01000081.1, NZ_AARF01000085.1-NZ_AARF01000086.1, NZ_AARF01000089.1, NZ_AARF01000103.1, NZ_AARF01000112.1, NZ_AARF01000114.1, NZ_AARF01000119.1, NZ_AARF01000123.1, NZ_AARF01000134.1-NZ_AARF01000135.1, NZ_AARF01000140.1, NZ_AARF01000147.1, NZ_AARF01000151.1-NZ_AARF01000153.1, NZ_AARF01000156.1, NZ_AARF01000161.1, NZ_AARF01000167.1, NZ_AARF01000171.1, NZ_AARF01000173.1, NZ_AARF01000178.1, NZ_AARF01000185.1, NZ_AARF01000194.1, NZ_AARF01000211.1-NZ_AARF01000212.1, NZ_AARF01000214.1, NZ_AARF01000217.1-NZ_AARF01000218.1, NZ_AARF01000220.1-NZ_AARF01000221.1, NZ_AARF01000227.1, NZ_AARF01000231.1, NZ_AARF01000238.1, NZ_AARF01000241.1-NZ_AARF01000242.1, NZ_AARF01000244.1, NZ_AARF01000247.1, NZ_AARF01000250.1, NZ_AARF01000254.1, NZ_AARF01000259.1, NZ_AARF01000267.1, NZ_AARF01000270.1, NZ_AARF01000274.1-NZ_AARF01000275.1, NZ_AARF01000283.1, NZ_AARF01000285.1-NZ_AARF01000288.1, NZ_AARF01000293.1, NZ_AARF01000309.1, NZ_AARF01000316.1-NZ_AARF01000317.1, NZ_AARF01000321.1-NZ_AARF01000322.1, NZ_AARF01000324.1, NZ_AARF01000328.1, NZ_AARF01000341.1, NZ_AARF01000347.1, NZ_AARF01000349.1, NZ_AARF01000353.1, NZ_AARF01000359.1-NZ_AARF01000360.1, NZ_AARF01000365.1, NZ_AARF01000368.1, NZ_AARF01000370.1, NZ_AARF01000374.1-NZ_AARF01000375.1, NZ_AARF01000377.1, NZ_AARF01000383.1-NZ_AARF01000384.1, NZ_AARF01000387.1-NZ_AARF01000389.1, NZ_AARF01000392.1, NZ_AARF01000398.1, NZ_AARF01000400.1, NZ_AARF01000406.1, NZ_AARF01000408.1, NZ_AARF01000412.1, NZ_AARF01000416.1, NZ_AARF01000418.1, NZ_AARF01000421.1, NZ_AARF01000425.1, NZ_AARF01000427.1, NZ_AARF01000432.1, NZ_AARF01000445.1-NZ_AARF01000446.1, NZ_AARF01000448.1, NZ_AARF01000450.1-NZ_AARF01000451.1, NZ_AARF01000463.1-NZ_AARF01000464.1, NZ_AARF01000467.1-NZ_AARF01000468.1, NZ_AARF01000471.1-NZ_AARF01000473.1, NZ_AARF01000475.1, NZ_AARF01000480.1, NZ_AARF01000482.1, NZ_AARF01000492.1, NZ_AARF01000505.1-NZ_AARF01000506.1, NZ_AARF01000508.1, NZ_AARF01000512.1, NZ_AARF01000517.1, NZ_AARF01000522.1, NZ_AARF01000524.1-NZ_AARF01000525.1, NZ_AARF01000530.1-NZ_AARF01000531.1, NZ_AARF01000536.1, NZ_AARF01000543.1, NZ_AARF01000546.1, NZ_AARF01000553.1-NZ_AARF01000554.1, NZ_AARF01000559.1, NZ_AARF01000565.1-NZ_AARF01000567.1, NZ_AARF01000569.1-NZ_AARF01000570.1, NZ_AARF01000572.1-NZ_AARF01000574.1, NZ_AARF01000576.1-NZ_AARF01000579.1, NZ_AARF01000582.1, NZ_AARF01000584.1, NZ_AARF01000587.1, NZ_AARF01000589.1, NZ_AARF01000596.1-NZ_AARF01000597.1, NZ_AARF01000600.1-NZ_AARF01000602.1, NZ_AARF01000605.1, NZ_AARF01000607.1, NZ_AARF01000609.1, NZ_AARF01000613.1-NZ_AARF01000617.1, NZ_AARF01000620.1, NZ_AARF01000623.1, NZ_AARF01000626.1, NZ_AARF01000628.1-NZ_AARF01000631.1, NZ_AARF01000633.1-NZ_AARF01000634.1, NZ_AARF01000637.1-NZ_AARF01000638.1, NZ_AARF01000640.1-NZ_AARF01000642.1, NZ_AARF01000644.1-NZ_AARF01000646.1, NZ_CH981372.1-NZ_CH981523.1",none
GCF_000511405.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,DSM 25430,"NC_023134.1, NC_023147.1","Complete, representative genome; chromosomal (NC_023134.1) and plasmid pPLA2_10 (NC_023147.1)."
